"gene","Gene name","log2FoldChange","padj"
"ENSG00000127603","MACF1",3.13388119716859e-06,0.704444870563516
"ENSG00000155657","TTN",1.3780720974066e-08,0.999100922092983
"ENSG00000087460","GNAS",-9.37569170354225e-07,0.910315939414952
"ENSG00000128573","FOXP2",1.04673836419302e-06,0.630793077359596
"ENSG00000135679","MDM2",-2.10991959294043e-06,0.819574820879874
"ENSG00000100503","NIN",-8.81095461826082e-06,0.502587571218669
"ENSG00000112715","VEGFA",6.27456722823003e-07,0.692569442920343
"ENSG00000106069","CHN2",-1.16761474909401e-06,0.807114261461827
"ENSG00000107262","BAG1",-3.64655706796518e-06,0.419717002934764
"ENSG00000095787","WAC",-4.65827005455955e-07,0.980246838655706
"ENSG00000179915","NRXN1",1.21261301777182e-07,0.744875655049888
"ENSG00000091831","ESR1",3.77166904354809e-08,NA
"ENSG00000131018","SYNE1",5.74551930954476e-06,0.428852975140316
"ENSG00000049618","ARID1B",-8.63986048141374e-06,0.565994885551171
"ENSG00000048052","HDAC9",5.77200547179345e-07,0.950740768719352
"ENSG00000176406","RIMS2",-2.94202593835666e-07,0.935350326010707
"ENSG00000080503","SMARCA2",1.1639062654314e-06,0.929013074884207
"ENSG00000156515","HK1",-8.58011881086294e-07,0.938469926772059
"ENSG00000156113","KCNMA1",4.45744655848032e-07,0.674233634560478
"ENSG00000026103","FAS",1.05777679446415e-06,0.819408993847854
"ENSG00000007372","PAX6",-3.44275621778169e-06,0.905190171893719
"ENSG00000137752","CASP1",3.15775917876e-06,0.0988314583274531
"ENSG00000165795","NDRG2",-1.20506491191614e-07,0.983342314097469
"ENSG00000066427","ATXN3",-1.51205849532335e-06,0.899202521486911
"ENSG00000075151","EIF4G3",-8.54226049392824e-07,0.977522177110952
"ENSG00000117394","SLC2A1",3.12328500793562e-06,0.428275968871178
"ENSG00000152061","RABGAP1L",-6.47338942007167e-06,0.703234681708133
"ENSG00000115239","ASB3",2.02676704854872e-06,0.942527956026181
"ENSG00000064012","CASP8",4.26090748523175e-06,0.101616888072969
"ENSG00000132170","PPARG",1.73436862702341e-07,0.942527956026181
"ENSG00000151276","MAGI1",2.98117611377702e-07,0.988519897872914
"ENSG00000114861","FOXP1",6.21153700735891e-07,0.896379068731015
"ENSG00000109339","MAPK10",2.50703513465359e-06,0.565410116591429
"ENSG00000128512","DOCK4",-6.98080261234396e-06,0.658996147063171
"ENSG00000120913","PDLIM2",-6.54905824028381e-07,0.942527956026181
"ENSG00000107249","GLIS3",-2.30088018451792e-06,0.663570302120454
"ENSG00000137073","UBAP2",-4.8847360016873e-06,0.670150556533126
"ENSG00000138835","RGS3",-1.17579702838614e-06,0.883817468770347
"ENSG00000165995","CACNB2",1.41880135169363e-06,0.344352331482164
"ENSG00000075891","PAX2",-1.12216451365846e-06,NA
"ENSG00000066468","FGFR2",4.80878798136341e-07,0.913279644966082
"ENSG00000134899","ERCC5",-5.31516307110473e-07,0.942871396808196
"ENSG00000168781","PPIP5K1",2.04912814939773e-06,0.890803421756216
"ENSG00000173575","CHD2",-9.18682237786745e-06,0.688129415801384
"ENSG00000125779","PANK2",4.88372536593174e-06,0.911646911378334
"ENSG00000131051","RBM39",-5.77464890747509e-05,0.907266246683942
"ENSG00000100320","RBFOX2",-3.15810014086911e-06,0.736898588493501
