"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.112202410094114,3,69,15.8055555555556,"GO:0008235 Metalloexopeptidase activity ","https://amigo.geneontology.org/amigo/term/GO:0008235"," CPM  MMP15  MMP17"
0.112202410094114,2,22,34.3840155945419,"GO:0008373 Sialyltransferase activity ","https://amigo.geneontology.org/amigo/term/GO:0008373"," ST3GAL6  ST6GAL1"
0.112202410094114,2,19,38.4291938997821,"GO:0030228 Lipoprotein particle receptor activity ","https://amigo.geneontology.org/amigo/term/GO:0030228"," SCARB1  LRP2"
0.112202410094114,2,19,38.4291938997821,"GO:0097001 Ceramide binding ","https://amigo.geneontology.org/amigo/term/GO:0097001"," CERT1  CLN8"
0.118420229424845,3,104,10.6515700483092,"GO:0008238 Exopeptidase activity ","https://amigo.geneontology.org/amigo/term/GO:0008238"," CPM  MMP15  MMP17"
0.118420229424845,2,28,26.1318518518518,"GO:0046625 Sphingolipid binding ","https://amigo.geneontology.org/amigo/term/GO:0046625"," CERT1  CLN8"
0.118420229424845,2,26,29.6952861952862,"GO:0070006 Metalloaminopeptidase activity ","https://amigo.geneontology.org/amigo/term/GO:0070006"," MMP15  MMP17"
0.151349268795492,2,44,18.6656084656085,"GO:0001530 Lipopolysaccharide binding ","https://amigo.geneontology.org/amigo/term/GO:0001530"," SCARB1  P2RX7"
0.151349268795492,2,40,19.7968574635241,"GO:0004177 Aminopeptidase activity ","https://amigo.geneontology.org/amigo/term/GO:0004177"," MMP15  MMP17"
0.151349268795492,3,124,8.90858585858586,"GO:0015294 Solute:monoatomic cation symporter activity ","https://amigo.geneontology.org/amigo/term/GO:0015294"," SLC39A6  SLC2A13  SLC23A2"
0.168656167332712,6,658,3.58297785902905,"GO:0008047 Enzyme activator activity ","https://amigo.geneontology.org/amigo/term/GO:0008047"," RGCC  ERBB3  FBXW7  PPP1R12B  MMP15  MMP17"
0.168656167332712,4,298,5.28984855300645,"GO:0016757 Glycosyltransferase activity ","https://amigo.geneontology.org/amigo/term/GO:0016757"," ST3GAL6  ST6GAL1  ALG6  SIRT2"
0.171503159695323,4,291,5.14406532516769,"GO:0035091 Phosphatidylinositol binding ","https://amigo.geneontology.org/amigo/term/GO:0035091"," CERT1  PIK3C2B  GAB2  SCARB1"
0.175618810396829,7,902,2.9202261009413,"GO:0008289 Lipid binding ","https://amigo.geneontology.org/amigo/term/GO:0008289"," SCARB1  CERT1  CLN8  P2RX7  PIK3C2B  GAB2  S1PR2"
0.175618810396829,4,306,4.89360521570259,"GO:0015291 Secondary active transmembrane transporter activity ","https://amigo.geneontology.org/amigo/term/GO:0015291"," SLC39A6  SLC2A13  SLC23A2  SLC7A6"
0.175618810396829,3,154,7.10104669887279,"GO:0015293 Symporter activity ","https://amigo.geneontology.org/amigo/term/GO:0015293"," SLC39A6  SLC2A13  SLC23A2"
