"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00374214143795579,4,114,13.4700267277587,"P00018 EGF receptor signaling pathway","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P00018"," GAB2  SHC3  ERBB3  PIK3C2B"
0.0302300980651488,3,112,9.79944444444444,"P00004 Alzheimer disease-presenilin pathway","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P00004"," LRP2  MMP15  MMP17"
0.0606232563915342,3,164,6.57680835197614,"P00034 Integrin signalling pathway","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P00034"," COL5A3  ITGA9  PIK3C2B"
0.134597517894013,2,104,7.17908017908018,"P00021 FGF signaling pathway","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P00021"," SHC3  PIK3C2B"
0.139959547181519,1,26,16.3324074074074,"P00030 Hypoxia response via HIF activation","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P00030"," PIK3C2B"
0.139959547181519,2,125,5.99354400271831,"P00047 PDGF signaling pathway","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P00047"," GAB2  SHC3"
0.139959547181519,1,46,11.6660052910053,"P04398 p53 pathway feedback loops 2","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P04398"," PIK3C2B"
0.139959547181519,2,153,4.56850556850557,"P00012 Cadherin signaling pathway","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P00012"," CDH19  ERBB3"
0.139959547181519,1,35,12.0980795610425,"P00033 Insulin/IGF pathway-protein kinase B signaling cascade","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P00033"," PIK3C2B"
0.139959547181519,1,30,14.8476430976431,"P00009 Axon guidance mediated by netrin","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P00009"," PIK3C2B"
0.157402897468482,1,40,9.33280423280423,"P00045 Notch signaling pathway","https://www.pantherdb.org/pathway/pathDetail.do?clsAccession=P00045"," FBXW7"
