"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0224751533344476,24,1067,2.66334484646019,"GO:0034097 Response to cytokine ","https://amigo.geneontology.org/amigo/term/GO:0034097"," LEPR  IL22RA1  GBP5  TRIM56  IFNLR1  CD274  EGR1  CXCR4  SNCA  MCF2  PTK2B  CD70  ASS1  OASL  TANK  CMKLR1  SOCS3  TNFRSF18  MAP3K5  LAMP3  RBM47  LIMS1  BST2  NR1H3"
0.0224751533344476,24,1082,2.6166740839638,"GO:1901652 Response to peptide ","https://amigo.geneontology.org/amigo/term/GO:1901652"," LEPR  IL22RA1  GBP5  TRIM56  IFNLR1  CD274  EGR1  CXCR4  SNCA  MCF2  PTK2B  CD70  ASS1  OASL  TANK  CMKLR1  SOCS3  TNFRSF18  MAP3K5  LAMP3  RBM47  LIMS1  BST2  NR1H3"
0.0763852985035425,3,47,21.5372405372405,"GO:0002476 Antigen processing and presentation of endogenous peptide antigen via mhc class ib ","https://amigo.geneontology.org/amigo/term/GO:0002476"," HLA-C  HLA-F  HLA-B"
0.0763852985035425,3,40,21.5372405372405,"GO:0002484 Antigen processing and presentation of endogenous peptide antigen via mhc class i via er pathway ","https://amigo.geneontology.org/amigo/term/GO:0002484"," HLA-C  HLA-F  HLA-B"
0.0763852985035425,3,39,23.3320105820106,"GO:0002486 Antigen processing and presentation of endogenous peptide antigen via mhc class i via er pathway tap-independent ","https://amigo.geneontology.org/amigo/term/GO:0002486"," HLA-C  HLA-F  HLA-B"
0.0763852985035425,30,1936,1.94975018791175,"GO:0009607 Response to biotic stimulus ","https://amigo.geneontology.org/amigo/term/GO:0009607"," CD274  BST2  OASL  GBP5  TRIM56  NR1H3  PMAIP1  SNCA  SERPING1  IRF2  IFNLR1  HLA-F  HLA-B  PRDM1  ASS1  SCN7A  MMP7  IL22RA1  OCIAD2  BANK1  CLDN3  GJB2  DMBT1  MAP3K5  HLA-C  MOV10  RBM47  TANK  MMP9  CXCR4"
0.0763852985035425,15,605,3.07000139236981,"GO:0019221 Cytokine-mediated signaling pathway ","https://amigo.geneontology.org/amigo/term/GO:0019221"," LEPR  IL22RA1  TRIM56  IFNLR1  CXCR4  PTK2B  CD70  OASL  TANK  CMKLR1  TNFRSF18  EGR1  RBM47  LIMS1  NR1H3"
0.0763852985035425,30,1894,1.99988662131519,"GO:0043207 Response to external biotic stimulus ","https://amigo.geneontology.org/amigo/term/GO:0043207"," CD274  BST2  OASL  GBP5  TRIM56  NR1H3  PMAIP1  SNCA  SERPING1  IRF2  IFNLR1  HLA-F  HLA-B  PRDM1  ASS1  SCN7A  MMP7  IL22RA1  OCIAD2  BANK1  CLDN3  GJB2  DMBT1  MAP3K5  HLA-C  MOV10  RBM47  TANK  MMP9  CXCR4"
0.0763852985035425,3,14,21.5372405372405,"GO:0046618 Xenobiotic export from cell ","https://amigo.geneontology.org/amigo/term/GO:0046618"," ABCB1  ABCB11  PDZK1"
0.0763852985035425,30,1891,2.00418129551988,"GO:0051707 Response to other organism ","https://amigo.geneontology.org/amigo/term/GO:0051707"," CD274  BST2  OASL  GBP5  TRIM56  NR1H3  PMAIP1  SNCA  SERPING1  IRF2  IFNLR1  HLA-F  HLA-B  PRDM1  ASS1  SCN7A  MMP7  IL22RA1  OCIAD2  BANK1  CLDN3  GJB2  DMBT1  MAP3K5  HLA-C  MOV10  RBM47  TANK  MMP9  CXCR4"
0.0763852985035425,9,261,4.1997619047619,"GO:0052547 Regulation of peptidase activity ","https://amigo.geneontology.org/amigo/term/GO:0052547"," IFT57  PMAIP1  SNCA  MAP3K5  LAMP3  MMP9  TANK  CLDN3  PSMB8"
0.0763852985035425,20,966,2.46899582878419,"GO:0071345 Cellular response to cytokine stimulus ","https://amigo.geneontology.org/amigo/term/GO:0071345"," LEPR  IL22RA1  GBP5  TRIM56  IFNLR1  EGR1  CXCR4  MCF2  PTK2B  CD70  ASS1  OASL  TANK  CMKLR1  SOCS3  TNFRSF18  MAP3K5  RBM47  LIMS1  NR1H3"
0.0826735210597879,3,48,19.9988662131519,"GO:0002428 Antigen processing and presentation of peptide antigen via mhc class ib ","https://amigo.geneontology.org/amigo/term/GO:0002428"," HLA-C  HLA-F  HLA-B"
0.0826735210597879,3,19,19.9988662131519,"GO:0055003 Cardiac myofibril assembly ","https://amigo.geneontology.org/amigo/term/GO:0055003"," NEBL  NRAP  ADPRHL1"
0.0879523383892774,4,39,10.979769685652,"GO:0050974 Detection of mechanical stimulus involved in sensory perception ","https://amigo.geneontology.org/amigo/term/GO:0050974"," TMC1  CXCR4  CHRNA9  NTRK1"
0.157127744763671,3,65,15.5546737213404,"GO:0019885 Antigen processing and presentation of endogenous peptide antigen via mhc class i ","https://amigo.geneontology.org/amigo/term/GO:0019885"," HLA-C  HLA-F  HLA-B"
0.184156074361565,3,55,13.9992063492063,"GO:0002475 Antigen processing and presentation via mhc class ib ","https://amigo.geneontology.org/amigo/term/GO:0002475"," HLA-C  HLA-F  HLA-B"
0.184156074361565,3,74,13.9992063492063,"GO:0002483 Antigen processing and presentation of endogenous peptide antigen ","https://amigo.geneontology.org/amigo/term/GO:0002483"," HLA-C  HLA-F  HLA-B"
0.184156074361565,8,225,3.78997126205248,"GO:0009612 Response to mechanical stimulus ","https://amigo.geneontology.org/amigo/term/GO:0009612"," TMC1  CALB1  TACR1  PTK2B  CXCR4  CHRNA9  NTRK1  PPL"
0.184156074361565,4,49,8.29582598471487,"GO:0042908 Xenobiotic transport ","https://amigo.geneontology.org/amigo/term/GO:0042908"," ABCB1  ABCC3  ABCB11  PDZK1"
0.184156074361565,10,381,3.16366245179804,"GO:0051607 Defense response to virus ","https://amigo.geneontology.org/amigo/term/GO:0051607"," BST2  OASL  PMAIP1  GBP5  IRF2  TRIM56  IFNLR1  DMBT1  MOV10  TANK"
0.188072466757782,12,687,2.6538779808922,"GO:0002250 Adaptive immune response ","https://amigo.geneontology.org/amigo/term/GO:0002250"," TEC  HLA-C  HLA-F  HLA-B  CD274  PRDM1  PRKCQ  LAMP3  PTK2B  SERPING1  CD70  SOCS3"
0.188072466757782,22,1202,1.98955128993889,"GO:0009628 Response to abiotic stimulus ","https://amigo.geneontology.org/amigo/term/GO:0009628"," TMC1  HSBP1L1  INSRR  MYLK  MMP9  CALB1  TACR1  EGR1  PTK2B  CXCR4  SCN7A  STAC  NETO1  CHRNA9  NTRK1  PPP1CB  PPL  PMAIP1  CLDN3  TANK  CDS1  GMPR"
0.188072466757782,30,1934,1.73472197635766,"GO:0010647 Positive regulation of cell communication ","https://amigo.geneontology.org/amigo/term/GO:0010647"," BST2  CALB1  TPD52L1  ELAPOR2  NETO1  LIMS1  TRIM56  ADRA1B  NTRK1  ADRA2B  NR1H3  LMO3  OASL  PMAIP1  GBP5  DKK2  ITGA8  RASGRF2  TACR1  PTK2B  SNCA  BANK1  VSNL1  MAP3K5  ACP3  MMP9  CXCR4  RBM47  OCIAD2  INHA"
0.188072466757782,6,156,4.55258743063621,"GO:0010952 Positive regulation of peptidase activity ","https://amigo.geneontology.org/amigo/term/GO:0010952"," IFT57  PMAIP1  SNCA  MAP3K5  TANK  CLDN3"
0.188072466757782,10,349,3.05993581403417,"GO:0016053 Organic acid biosynthetic process ","https://amigo.geneontology.org/amigo/term/GO:0016053"," GGT5  ASS1  SDSL  THNSL2  CYP39A1  HACD2  GSTM1  HSD17B8  NR1H3  ABCB11"
