NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	3	1.1943252086639404	0.038153373	Yes	
row_1	CD70	CD70 molecule [Source:HGNC Symbol;Acc:HGNC:11937]	268	0.7029843330383301	0.043136466	Yes	
row_2	GCHFR	GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]	283	0.6981050372123718	0.06462176	Yes	
row_3	CLIC3	chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064]	292	0.6954410076141357	0.086421326	Yes	
row_4	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	322	0.6845579147338867	0.10647205	Yes	
row_5	TSPAN1	tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]	324	0.6842387318611145	0.12837832	Yes	
row_6	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	402	0.6420097947120667	0.1438642	Yes	
row_7	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	424	0.6377860307693481	0.16294603	Yes	
row_8	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	500	0.615002453327179	0.17769788	Yes	
row_9	CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	536	0.6041288375854492	0.19476599	Yes	
row_10	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	719	0.5553183555603027	0.20047121	Yes	
row_11	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	732	0.5529515743255615	0.21742848	Yes	
row_12	FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	884	0.5207574963569641	0.22408955	Yes	
row_13	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	893	0.5187100768089294	0.24021377	Yes	
row_14	KRT86	keratin 86 [Source:HGNC Symbol;Acc:HGNC:6463]	923	0.5124689936637878	0.2547382	Yes	
row_15	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	935	0.5098968148231506	0.2703795	Yes	
