NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1E2	ATPase H+ transporting V1 subunit E2 [Source:HGNC Symbol;Acc:HGNC:18125]	140	0.7854059338569641	0.008610135	No	
row_1	ATP6V0D2	ATPase H+ transporting V0 subunit d2 [Source:HGNC Symbol;Acc:HGNC:18266]	580	0.5908122062683105	-0.0072093126	No	
row_2	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	2070	0.37166717648506165	-0.098200314	No	
row_3	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	3085	0.28788670897483826	-0.15936904	No	
row_4	RPL39L	ribosomal protein L39 like [Source:HGNC Symbol;Acc:HGNC:17094]	3128	0.28541702032089233	-0.15564702	No	
row_5	ATF2	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]	3580	0.2583843767642975	-0.17987195	No	
row_6	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	3736	0.2466127723455429	-0.18458796	No	
row_7	RHEB	Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]	4031	0.22340433299541473	-0.19912253	No	
row_8	ATP6V1A	ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	4520	0.18973718583583832	-0.22738989	No	
row_9	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	4622	0.1835649311542511	-0.22993982	No	
row_10	LAMTOR4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4 [Source:HGNC Symbol;Acc:HGNC:33772]	4639	0.18189853429794312	-0.22684833	No	
row_11	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	5867	0.10028455406427383	-0.30654034	No	
row_12	WDR59	WD repeat domain 59 [Source:HGNC Symbol;Acc:HGNC:25706]	5918	0.09662780165672302	-0.30767107	No	
row_13	ATP6V0E1	ATPase H+ transporting V0 subunit e1 [Source:HGNC Symbol;Acc:HGNC:863]	6304	0.07524912804365158	-0.33167487	No	
row_14	SH3BP4	SH3 domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:10826]	6307	0.0750344768166542	-0.33009225	No	
row_15	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	6517	0.06442845612764359	-0.34258354	No	
row_16	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	6667	0.05526610091328621	-0.35127535	No	
row_17	SESN1	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]	6700	0.05338654667139053	-0.3521924	No	
row_18	ATP6V0E2	ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723]	6711	0.052809130400419235	-0.35165268	No	
row_19	CASTOR1	cytosolic arginine sensor for mTORC1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:34423]	6793	0.04855722188949585	-0.3559543	No	
