NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	3	1.1943252086639404	0.06862428	Yes	
row_1	PRSS8	serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]	204	0.7428284287452698	0.09814287	Yes	
row_2	KRT32	keratin 32 [Source:HGNC Symbol;Acc:HGNC:6449]	825	0.5329217314720154	0.08766221	Yes	
row_3	TGM5	transglutaminase 5 [Source:HGNC Symbol;Acc:HGNC:11781]	887	0.5197266340255737	0.113559105	Yes	
row_4	KRT86	keratin 86 [Source:HGNC Symbol;Acc:HGNC:6463]	923	0.5124689936637878	0.14076512	Yes	
row_5	KRT3	keratin 3 [Source:HGNC Symbol;Acc:HGNC:6440]	1216	0.4672725200653076	0.14829251	Yes	
row_6	KRT7	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]	1373	0.44790732860565186	0.16373932	Yes	
row_7	KRT81	keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458]	1767	0.3984558582305908	0.16059107	Yes	
row_8	DSC3	desmocollin 3 [Source:HGNC Symbol;Acc:HGNC:3037]	1777	0.3972944915294647	0.18288743	Yes	
row_9	KRT79	keratin 79 [Source:HGNC Symbol;Acc:HGNC:28930]	1883	0.3872123062610626	0.19822492	Yes	
row_10	KRTAP5-10	keratin associated protein 5-10 [Source:HGNC Symbol;Acc:HGNC:23605]	1894	0.38577309250831604	0.21979092	Yes	
row_11	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	2037	0.37452432513237	0.2319391	Yes	
row_12	KRT78	keratin 78 [Source:HGNC Symbol;Acc:HGNC:28926]	2073	0.3712759017944336	0.2510088	Yes	
row_13	LCE1C	late cornified envelope 1C [Source:HGNC Symbol;Acc:HGNC:29464]	2167	0.36180806159973145	0.2656796	Yes	
row_14	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	2302	0.34898144006729126	0.27688736	Yes	
row_15	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	2340	0.3455274999141693	0.2943404	Yes	
row_16	LORICRIN	loricrin cornified envelope precursor protein [Source:HGNC Symbol;Acc:HGNC:6663]	2359	0.3436093032360077	0.31294522	Yes	
row_17	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	2453	0.33668676018714905	0.32616836	Yes	
row_18	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	2466	0.3358154892921448	0.34472266	Yes	
row_19	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	2565	0.32858961820602417	0.35714704	Yes	
row_20	DSC1	desmocollin 1 [Source:HGNC Symbol;Acc:HGNC:3035]	2567	0.3284788727760315	0.37600937	Yes	
row_21	FLG	filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]	2591	0.32696083188056946	0.39332262	Yes	
row_22	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	2637	0.3226737976074219	0.40892723	Yes	
row_23	CDSN	corneodesmosin [Source:HGNC Symbol;Acc:HGNC:1802]	2707	0.31715279817581177	0.4226192	Yes	
row_24	KRT15	keratin 15 [Source:HGNC Symbol;Acc:HGNC:6421]	2792	0.310884952545166	0.43495345	Yes	
row_25	KRT23	keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]	2805	0.3094192445278168	0.45198664	Yes	
row_26	SPRR2D	small proline rich protein 2D [Source:HGNC Symbol;Acc:HGNC:11264]	2903	0.30132922530174255	0.46290657	Yes	
row_27	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	2930	0.2991516590118408	0.478418	Yes	
row_28	KRT14	keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]	2937	0.298409640789032	0.4952154	Yes	
row_29	KRT9	keratin 9 [Source:HGNC Symbol;Acc:HGNC:6447]	3163	0.2831929326057434	0.49658632	Yes	
row_30	KRT13	keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]	3258	0.2781860828399658	0.5063719	Yes	
row_31	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	3269	0.2777979075908661	0.5217158	Yes	
row_32	KRT20	keratin 20 [Source:HGNC Symbol;Acc:HGNC:20412]	3303	0.2761448919773102	0.5354364	Yes	
row_33	SPINK5	serine peptidase inhibitor Kazal type 5 [Source:HGNC Symbol;Acc:HGNC:15464]	3589	0.25767049193382263	0.53135043	No	
row_34	KRTAP4-7	keratin associated protein 4-7 [Source:HGNC Symbol;Acc:HGNC:18898]	4297	0.20508038997650146	0.4961978	No	
row_35	KRT75	keratin 75 [Source:HGNC Symbol;Acc:HGNC:24431]	4396	0.1990126073360443	0.50115526	No	
row_36	KRT80	keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]	4813	0.1707538217306137	0.4833575	No	
row_37	ST14	ST14 transmembrane serine protease matriptase [Source:HGNC Symbol;Acc:HGNC:11344]	4881	0.16672676801681519	0.48851395	No	
row_38	LCE1E	late cornified envelope 1E [Source:HGNC Symbol;Acc:HGNC:29466]	5870	0.10002494603395462	0.42863882	No	
row_39	CAPNS1	calpain small subunit 1 [Source:HGNC Symbol;Acc:HGNC:1481]	6336	0.07358483225107193	0.4019863	No	
row_40	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	6656	0.05580803379416466	0.38400906	No	
row_41	PI3	peptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:8947]	6991	0.03690757229924202	0.36394614	No	
row_42	KLK14	kallikrein related peptidase 14 [Source:HGNC Symbol;Acc:HGNC:6362]	7042	0.03439389169216156	0.3626063	No	
row_43	CAPN1	calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]	7431	0.013681069947779179	0.33761734	No	
row_44	LCE1D	late cornified envelope 1D [Source:HGNC Symbol;Acc:HGNC:29465]	7723	-0.0031872172839939594	0.31846803	No	
row_45	PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	7988	-0.0173091609030962	0.30192629	No	
row_46	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	9193	-0.08630575239658356	0.22691034	No	
row_47	KRT10	keratin 10 [Source:HGNC Symbol;Acc:HGNC:6413]	9247	-0.0895547941327095	0.22854984	No	
row_48	EVPL	envoplakin [Source:HGNC Symbol;Acc:HGNC:3503]	9450	-0.10024185478687286	0.22090618	No	
row_49	KRT12	keratin 12 [Source:HGNC Symbol;Acc:HGNC:6414]	9541	-0.10454950481653214	0.22095163	No	
row_50	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	9607	-0.10864035785198212	0.22289373	No	
row_51	KAZN	kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]	10800	-0.18095266819000244	0.15412907	No	
row_52	KRT34	keratin 34 [Source:HGNC Symbol;Acc:HGNC:6452]	12066	-0.26380422711372375	0.08528894	No	
row_53	KRTAP2-3	keratin associated protein 2-3 [Source:HGNC Symbol;Acc:HGNC:18906]	12768	-0.3159526288509369	0.05692399	No	
row_54	KRTAP5-9	keratin associated protein 5-9 [Source:HGNC Symbol;Acc:HGNC:23604]	13179	-0.3511638641357422	0.049921077	No	
row_55	PKP4	plakophilin 4 [Source:HGNC Symbol;Acc:HGNC:9026]	13441	-0.3775247633457184	0.054336242	No	
row_56	PKP1	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]	13498	-0.3829324245452881	0.072682485	No	
row_57	PCSK6	proprotein convertase subtilisin/kexin type 6 [Source:HGNC Symbol;Acc:HGNC:8569]	14763	-0.5948798656463623	0.022987181	No	
