NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMC2	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]	207	0.7389165759086609	0.0030830784	No	
row_1	ROBO3	roundabout guidance receptor 3 [Source:HGNC Symbol;Acc:HGNC:13433]	245	0.7110835313796997	0.016891737	No	
row_2	COL4A5	collagen type IV alpha 5 chain [Source:HGNC Symbol;Acc:HGNC:2207]	326	0.6835142970085144	0.027195003	No	
row_3	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]	1343	0.45049524307250977	-0.03039986	No	
row_4	PSMB1	proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]	1616	0.4147261381149292	-0.039084435	No	
row_5	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	1844	0.39083200693130493	-0.045308296	No	
row_6	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	2070	0.37166717648506165	-0.05183729	No	
row_7	PSMB3	proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]	2439	0.337476909160614	-0.06870733	No	
row_8	RPL39L	ribosomal protein L39 like [Source:HGNC Symbol;Acc:HGNC:17094]	3128	0.28541702032089233	-0.10815834	No	
row_9	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	3304	0.27612969279289246	-0.11353285	No	
row_10	LHX3	LIM homeobox 3 [Source:HGNC Symbol;Acc:HGNC:6595]	3404	0.27083513140678406	-0.11394871	No	
row_11	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	3506	0.26428619027137756	-0.11464821	No	
row_12	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	3534	0.26183024048805237	-0.11045775	No	
row_13	PSMD13	proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]	3890	0.2350093424320221	-0.12880507	No	
row_14	PSMD6	proteasome 26S subunit, non-ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9564]	4148	0.2159094512462616	-0.14103937	No	
row_15	MAGOH	mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]	4513	0.1899642050266266	-0.16101967	No	
row_16	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	4622	0.1835649311542511	-0.16403532	No	
row_17	PSMB4	proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541]	5269	0.1400252878665924	-0.20400809	No	
row_18	PSMA5	proteasome 20S subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:9534]	5580	0.11950632184743881	-0.22199227	No	
row_19	SEM1	SEM1 26S proteasome subunit [Source:HGNC Symbol;Acc:HGNC:10845]	5637	0.1155092865228653	-0.22309051	No	
row_20	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	5810	0.10479346662759781	-0.2321876	No	
row_21	PSMD12	proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]	6021	0.09148915857076645	-0.24412926	No	
row_22	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	6245	0.07888820022344589	-0.25722837	No	
row_23	EIF4G1	eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]	6451	0.06774043291807175	-0.26937962	No	
