NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]	1294	0.45653265714645386	-0.07348346	No	
row_1	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	2070	0.37166717648506165	-0.114749394	No	
row_2	SRPRA	SRP receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:11307]	2581	0.3274586498737335	-0.13958962	No	
row_3	RPL39L	ribosomal protein L39 like [Source:HGNC Symbol;Acc:HGNC:17094]	3128	0.28541702032089233	-0.1680036	No	
row_4	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	3926	0.2316630482673645	-0.21464711	No	
row_5	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	4096	0.2191622257232666	-0.21978714	No	
row_6	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	4622	0.1835649311542511	-0.2496471	No	
row_7	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	5652	0.11461849510669708	-0.31502205	No	
row_8	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	6517	0.06442845612764359	-0.37080288	No	
row_9	SRP68	signal recognition particle 68 [Source:HGNC Symbol;Acc:HGNC:11302]	7197	0.02563904970884323	-0.4153382	No	
row_10	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	7247	0.023187890648841858	-0.41795594	No	
row_11	SPCS2	signal peptidase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28962]	7952	-0.015312325209379196	-0.46444586	No	
row_12	RPS17	ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]	8011	-0.01843867264688015	-0.4677961	No	
row_13	FAU	FAU ubiquitin like and ribosomal protein S30 fusion [Source:HGNC Symbol;Acc:HGNC:3597]	8094	-0.0242924727499485	-0.47258225	No	
row_14	RPL24	ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]	8113	-0.025641238316893578	-0.4730655	No	
