NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	13	1.114200472831726	0.041268263	Yes	
row_1	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	54	0.909200131893158	0.072988994	Yes	
row_2	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	83	0.8554574847221375	0.10347552	Yes	
row_3	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	87	0.8473825454711914	0.13531925	Yes	
row_4	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	113	0.812630832195282	0.16438581	Yes	
row_5	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	166	0.766907274723053	0.1899278	Yes	
row_6	SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	173	0.7624118328094482	0.21835892	Yes	
row_7	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	176	0.7597024440765381	0.24695359	Yes	
row_8	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	363	0.664225697517395	0.25970137	Yes	
row_9	LIPG	lipase G, endothelial type [Source:HGNC Symbol;Acc:HGNC:6623]	471	0.6239634156227112	0.2761804	Yes	
row_10	RABL3	RAB, member of RAS oncogene family like 3 [Source:HGNC Symbol;Acc:HGNC:18072]	507	0.613494336605072	0.2970517	Yes	
row_11	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	535	0.6043711304664612	0.31811005	Yes	
row_12	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	539	0.6033596992492676	0.34072623	Yes	
row_13	GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	686	0.5637161135673523	0.3523334	Yes	
row_14	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	747	0.5484285354614258	0.36908174	Yes	
row_15	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	757	0.5458749532699585	0.38912514	Yes	
row_16	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	784	0.5410662889480591	0.40785617	Yes	
row_17	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	859	0.5255331993103027	0.42280766	Yes	
row_18	APOL1	apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]	883	0.5209469199180603	0.4409774	Yes	
row_19	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	1088	0.48715856671333313	0.44583246	Yes	
row_20	OAS3	2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]	1129	0.4799100160598755	0.46131986	Yes	
row_21	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	1243	0.46400049328804016	0.47135094	Yes	
row_22	CCL8	C-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635]	1358	0.4488621652126312	0.48074308	Yes	
row_23	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	1364	0.4487501084804535	0.49737978	Yes	
row_24	LGALS9	galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]	1718	0.40432459115982056	0.48919365	Yes	
row_25	OAS2	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	2120	0.3666486442089081	0.4763907	Yes	
row_26	ANO9	anoctamin 9 [Source:HGNC Symbol;Acc:HGNC:20679]	2274	0.3513239026069641	0.47950086	Yes	
row_27	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	2400	0.34036508202552795	0.48405874	Yes	
row_28	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	2593	0.3267352879047394	0.48364553	Yes	
row_29	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	2636	0.3227357268333435	0.49305648	Yes	
row_30	SLC15A3	solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068]	2794	0.3103885352611542	0.4943527	Yes	
row_31	PLA1A	phospholipase A1 member A [Source:HGNC Symbol;Acc:HGNC:17661]	2855	0.30512163043022156	0.50190055	Yes	
