NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGBL2	AGBL carboxypeptidase 2 [Source:HGNC Symbol;Acc:HGNC:26296]	4	1.186693549156189	0.012477048	Yes	
row_1	TTC12	tetratricopeptide repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:23700]	31	0.9641469717025757	0.021078493	Yes	
row_2	IFT57	intraflagellar transport 57 [Source:HGNC Symbol;Acc:HGNC:17367]	52	0.9129045605659485	0.029534532	Yes	
row_3	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	78	0.8609330058097839	0.03709479	Yes	
row_4	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	90	0.8412389159202576	0.045388557	Yes	
row_5	CLDN23	claudin 23 [Source:HGNC Symbol;Acc:HGNC:17591]	153	0.7762207984924316	0.049541228	Yes	
row_6	DNAAF1	dynein axonemal assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30539]	169	0.765046238899231	0.056746542	Yes	
row_7	BANK1	B cell scaffold protein with ankyrin repeats 1 [Source:HGNC Symbol;Acc:HGNC:18233]	197	0.7479966878890991	0.06295867	Yes	
row_8	ZMYND12	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]	200	0.7441906929016113	0.07081751	Yes	
row_9	EFHC1	EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]	205	0.7409284114837646	0.0785063	Yes	
row_10	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	219	0.7273352146148682	0.08544154	Yes	
row_11	C7orf57	chromosome 7 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:22247]	282	0.6981818079948425	0.08875594	Yes	
row_12	CLIC3	chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064]	292	0.6954410076141357	0.095618606	Yes	
row_13	CFAP53	cilia and flagella associated protein 53 [Source:HGNC Symbol;Acc:HGNC:26530]	318	0.6863613128662109	0.101303674	Yes	
row_14	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	322	0.6845579147338867	0.10845445	Yes	
row_15	TSPAN1	tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]	324	0.6842387318611145	0.11573681	Yes	
row_16	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	352	0.6726871132850647	0.12113999	Yes	
row_17	KLF8	KLF transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:6351]	354	0.6720341444015503	0.12829125	Yes	
row_18	IQCA1	IQ motif containing with AAA domain 1 [Source:HGNC Symbol;Acc:HGNC:26195]	364	0.6637883186340332	0.1348139	Yes	
row_19	NEK11	NIMA related kinase 11 [Source:HGNC Symbol;Acc:HGNC:18593]	378	0.6568037271499634	0.14099152	Yes	
row_20	UBXN10	UBX domain protein 10 [Source:HGNC Symbol;Acc:HGNC:26354]	436	0.6324842572212219	0.14393774	Yes	
row_21	DNAH2	dynein axonemal heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:2948]	447	0.6280742883682251	0.15000927	Yes	
row_22	CCNO	cyclin O [Source:HGNC Symbol;Acc:HGNC:18576]	454	0.6265655159950256	0.15633461	Yes	
row_23	TMEM40	transmembrane protein 40 [Source:HGNC Symbol;Acc:HGNC:25620]	457	0.6258707046508789	0.16292249	Yes	
row_24	POU2AF1	POU class 2 homeobox associating factor 1 [Source:HGNC Symbol;Acc:HGNC:9211]	472	0.6239504218101501	0.1686797	Yes	
row_25	MDH1B	malate dehydrogenase 1B [Source:HGNC Symbol;Acc:HGNC:17836]	476	0.621319591999054	0.1751512	Yes	
row_26	CFAP43	cilia and flagella associated protein 43 [Source:HGNC Symbol;Acc:HGNC:26684]	487	0.6194016933441162	0.18112956	Yes	
row_27	SPAG1	sperm associated antigen 1 [Source:HGNC Symbol;Acc:HGNC:11212]	637	0.5752657055854797	0.17725082	Yes	
row_28	TCEA3	transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]	640	0.5746493935585022	0.1832885	Yes	
row_29	DNAI4	dynein axonemal intermediate chain 4 [Source:HGNC Symbol;Acc:HGNC:26252]	652	0.5723874568939209	0.18869436	Yes	
row_30	DNAH5	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]	659	0.5710042119026184	0.19442287	Yes	
row_31	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	719	0.5553183555603027	0.19640519	Yes	
row_32	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	739	0.5507648587226868	0.20103875	Yes	
row_33	BCO2	beta-carotene oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:18503]	764	0.5445196628570557	0.20526771	Yes	
row_34	CFAP263	cilia and flagella associated protein 263 [Source:HGNC Symbol;Acc:HGNC:25002]	777	0.5421583652496338	0.21028134	Yes	
row_35	TMC4	transmembrane channel like 4 [Source:HGNC Symbol;Acc:HGNC:22998]	790	0.5394419431686401	0.21526581	Yes	
row_36	LRRC10B	leucine rich repeat containing 10B [Source:HGNC Symbol;Acc:HGNC:37215]	894	0.5185943245887756	0.21388349	Yes	
row_37	TSGA10	testis specific 10 [Source:HGNC Symbol;Acc:HGNC:14927]	940	0.5090879201889038	0.21631427	Yes	
row_38	FBXO15	F-box protein 15 [Source:HGNC Symbol;Acc:HGNC:13617]	950	0.5077024102210999	0.22116031	Yes	
row_39	DYNLRB2	dynein light chain roadblock-type 2 [Source:HGNC Symbol;Acc:HGNC:15467]	970	0.5051756501197815	0.22530417	Yes	
row_40	DNAH12	dynein axonemal heavy chain 12 [Source:HGNC Symbol;Acc:HGNC:2943]	975	0.5043578743934631	0.23045179	Yes	
row_41	PRR15	proline rich 15 [Source:HGNC Symbol;Acc:HGNC:22310]	1023	0.4968550205230713	0.23261617	Yes	
