NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	8	1.1583409309387207	0.02287076	Yes	
row_1	SDSL	serine dehydratase like [Source:HGNC Symbol;Acc:HGNC:30404]	20	1.0692249536514282	0.043740172	Yes	
row_2	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	36	0.9539570212364197	0.062012922	Yes	
row_3	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	67	0.879595935344696	0.0777799	Yes	
row_4	CLEC2B	C-type lectin domain family 2 member B [Source:HGNC Symbol;Acc:HGNC:2053]	91	0.837912917137146	0.09317277	Yes	
row_5	SLC27A6	solute carrier family 27 member 6 [Source:HGNC Symbol;Acc:HGNC:11000]	131	0.7956547737121582	0.10664168	Yes	
row_6	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	166	0.766907274723053	0.11986411	Yes	
row_7	SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	173	0.7624118328094482	0.13486837	Yes	
row_8	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	176	0.7597024440765381	0.15008539	Yes	
row_9	ADRB1	adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]	330	0.6805304288864136	0.15360366	Yes	
row_10	IRX3	iroquois homeobox 3 [Source:HGNC Symbol;Acc:HGNC:14360]	334	0.6795874834060669	0.16713499	Yes	
row_11	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	374	0.66069096326828	0.17787677	Yes	
row_12	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	402	0.6420097947120667	0.18904364	Yes	
row_13	PARP10	poly(ADP-ribose) polymerase family member 10 [Source:HGNC Symbol;Acc:HGNC:25895]	431	0.6345653533935547	0.19999321	Yes	
