NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLGN	calmegin [Source:HGNC Symbol;Acc:HGNC:2060]	1301	0.45561039447784424	-0.079024635	No	
row_1	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	1797	0.3955051600933075	-0.105177246	No	
row_2	REXO5	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]	2256	0.35316190123558044	-0.12960021	No	
row_3	TOPBP1	DNA topoisomerase II binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17008]	2399	0.3406004011631012	-0.1331003	No	
row_4	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	2676	0.31949734687805176	-0.14593846	No	
row_5	NR0B1	nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]	3251	0.2784140408039093	-0.17944027	No	
row_6	PCDH11X	protocadherin 11 X-linked [Source:HGNC Symbol;Acc:HGNC:8656]	3252	0.278379887342453	-0.1745352	No	
row_7	PCDH11Y	protocadherin 11 Y-linked [Source:HGNC Symbol;Acc:HGNC:15813]	3496	0.26517966389656067	-0.18612233	No	
row_8	TMEM35A	transmembrane protein 35A [Source:HGNC Symbol;Acc:HGNC:25864]	3582	0.2579669654369354	-0.18726444	No	
row_9	CNTN1	contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]	3833	0.2396422028541565	-0.19976993	No	
row_10	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	5273	0.13991980254650116	-0.29359093	No	
row_11	ATAD5	ATPase family AAA domain containing 5 [Source:HGNC Symbol;Acc:HGNC:25752]	5451	0.12982046604156494	-0.3031469	No	
row_12	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]	5800	0.10526291280984879	-0.32457754	No	
row_13	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	6018	0.09156765788793564	-0.337484	No	
row_14	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:HGNC Symbol;Acc:HGNC:19322]	6196	0.08170058578252792	-0.34788787	No	
row_15	SORCS3	sortilin related VPS10 domain containing receptor 3 [Source:HGNC Symbol;Acc:HGNC:16699]	6266	0.07769421488046646	-0.35113582	No	
row_16	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2 [Source:HGNC Symbol;Acc:HGNC:30279]	6450	0.06775263696908951	-0.3621869	No	
row_17	ZNF804A	zinc finger protein 804A [Source:HGNC Symbol;Acc:HGNC:21711]	6552	0.0623006708920002	-0.3678473	No	
row_18	CBX1	chromobox 1 [Source:HGNC Symbol;Acc:HGNC:1551]	6703	0.05315520986914635	-0.3769475	No	
row_19	DGKI	diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855]	6798	0.0483415424823761	-0.38238543	No	
row_20	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	6862	0.044402554631233215	-0.3858185	No	
row_21	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	7004	0.03646030277013779	-0.39461067	No	
row_22	NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	7261	0.02238183282315731	-0.41134578	No	
row_23	TMCC1	transmembrane and coiled-coil domain family 1 [Source:HGNC Symbol;Acc:HGNC:29116]	7674	-8.86117632035166E-4	-0.4388979	No	
row_24	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]	8000	-0.017930008471012115	-0.4603284	No	
row_25	ZFP69B	ZFP69 zinc finger protein B [Source:HGNC Symbol;Acc:HGNC:28053]	8260	-0.03333636373281479	-0.47707123	No	
row_26	MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	8680	-0.058370258659124374	-0.50407887	No	
row_27	TOX3	TOX high mobility group box family member 3 [Source:HGNC Symbol;Acc:HGNC:11972]	8733	-0.06161106377840042	-0.5064727	No	
row_28	ZC4H2	zinc finger C4H2-type containing [Source:HGNC Symbol;Acc:HGNC:24931]	8782	-0.06432880461215973	-0.508551	No	
row_29	FBXO21	F-box protein 21 [Source:HGNC Symbol;Acc:HGNC:13592]	8786	-0.0645964965224266	-0.50761354	No	
row_30	BEX1	brain expressed X-linked 1 [Source:HGNC Symbol;Acc:HGNC:1036]	8916	-0.0711694285273552	-0.51499116	No	
row_31	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:19744]	9304	-0.09263244271278381	-0.53925395	No	
row_32	SLC1A1	solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939]	9390	-0.09741471707820892	-0.543225	No	
row_33	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	9393	-0.0975930318236351	-0.5416392	No	
row_34	FXYD6	FXYD domain containing ion transport regulator 6 [Source:HGNC Symbol;Acc:HGNC:4030]	9703	-0.11336225271224976	-0.5603176	No	
row_35	ZNF184	zinc finger protein 184 [Source:HGNC Symbol;Acc:HGNC:12975]	9727	-0.1145186796784401	-0.5598387	No	
row_36	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	9944	-0.12826305627822876	-0.57203174	No	
row_37	SOX2	SRY-box transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11195]	9984	-0.13049007952213287	-0.57234204	No	
