NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DMBT1	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]	2	1.296151876449585	0.074978195	Yes	
row_1	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	54	0.909200131893158	0.1242794	Yes	
row_2	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	113	0.812630832195282	0.16751972	Yes	
row_3	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	137	0.7893103957176208	0.2117325	Yes	
row_4	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	138	0.7890703678131104	0.2574585	Yes	
row_5	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	166	0.766907274723053	0.30010748	Yes	
row_6	AMBP	alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453]	617	0.5807108283042908	0.30388072	Yes	
row_7	TAP2	transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]	766	0.5438798666000366	0.32557142	Yes	
row_8	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	946	0.508098304271698	0.34313032	Yes	
row_9	UBA7	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	959	0.5064547657966614	0.37168223	Yes	
row_10	CCL8	C-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635]	1358	0.4488621652126312	0.37126756	Yes	
row_11	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	1384	0.4457860291004181	0.3954406	Yes	
row_12	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	1481	0.432934433221817	0.41415474	Yes	
row_13	KLK1	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	1564	0.42197486758232117	0.43316332	Yes	
