NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	36	0.9539570212364197	0.016637115	Yes	
row_1	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	44	0.9300577044487	0.03473727	Yes	
row_2	MOXD1	monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063]	55	0.9088106155395508	0.05221252	Yes	
row_3	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	67	0.879595935344696	0.0690376	Yes	
row_4	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	78	0.8609330058097839	0.085556984	Yes	
row_5	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	166	0.766907274723053	0.095047615	Yes	
row_6	SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	173	0.7624118328094482	0.10986765	Yes	
row_7	GBP5	guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]	192	0.7510424256324768	0.12365785	Yes	
row_8	SPATS2L	spermatogenesis associated serine rich 2 like [Source:HGNC Symbol;Acc:HGNC:24574]	260	0.7055854797363281	0.13326228	Yes	
row_9	PTGER1	prostaglandin E receptor 1 [Source:HGNC Symbol;Acc:HGNC:9593]	380	0.6551848649978638	0.13838148	Yes	
row_10	PARP10	poly(ADP-ribose) polymerase family member 10 [Source:HGNC Symbol;Acc:HGNC:25895]	431	0.6345653533935547	0.14770535	Yes	
row_11	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	506	0.6136736273765564	0.15500642	Yes	
row_12	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	526	0.6063746809959412	0.16584146	Yes	
row_13	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	535	0.6043711304664612	0.17737243	Yes	
row_14	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	541	0.6030727624893188	0.18907818	Yes	
row_15	DTX3L	deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]	544	0.6007027626037598	0.20093732	Yes	
row_16	CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	590	0.5879846811294556	0.20966572	Yes	
row_17	ANKRD45	ankyrin repeat domain 45 [Source:HGNC Symbol;Acc:HGNC:24786]	598	0.5873210430145264	0.22092319	Yes	
row_18	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	669	0.5688111186027527	0.22759621	Yes	
row_19	PPP1R16B	protein phosphatase 1 regulatory subunit 16B [Source:HGNC Symbol;Acc:HGNC:15850]	684	0.5642054677009583	0.23792385	Yes	
row_20	GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	686	0.5637161135673523	0.24911146	Yes	
row_21	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	747	0.5484285354614258	0.2560466	Yes	
row_22	GJA5	gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]	829	0.5322384834289551	0.2612535	Yes	
row_23	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	859	0.5255331993103027	0.26980552	Yes	
row_24	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	866	0.5240809321403503	0.2798673	Yes	
row_25	SHISA5	shisa family member 5 [Source:HGNC Symbol;Acc:HGNC:30376]	996	0.5008010268211365	0.28123525	Yes	
row_26	KALRN	kalirin RhoGEF kinase [Source:HGNC Symbol;Acc:HGNC:4814]	1038	0.4948538839817047	0.2883719	Yes	
row_27	CD52	CD52 molecule [Source:HGNC Symbol;Acc:HGNC:1804]	1056	0.49310606718063354	0.29707935	Yes	
row_28	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	1088	0.48715856671333313	0.3047314	Yes	
row_29	FCMR	Fc mu receptor [Source:HGNC Symbol;Acc:HGNC:14315]	1114	0.48267364501953125	0.31269535	Yes	
row_30	OAS3	2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]	1129	0.4799100160598755	0.32134005	Yes	
row_31	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	1243	0.46400049328804016	0.3230437	Yes	
row_32	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	1245	0.4637308716773987	0.33223513	Yes	
row_33	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	1374	0.4479064643383026	0.33261392	Yes	
row_34	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	1468	0.43529605865478516	0.33508256	Yes	
row_35	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	1469	0.43528810143470764	0.34377304	Yes	
row_36	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	1571	0.42093217372894287	0.34541968	Yes	
row_37	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	1624	0.41352325677871704	0.35019666	Yes	
row_38	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	1639	0.4116555452346802	0.35747868	Yes	
row_39	XIRP1	xin actin binding repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14301]	1654	0.41035196185112	0.36473465	Yes	
row_40	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	1758	0.3989335894584656	0.36580828	Yes	
row_41	SAMD9	sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]	1807	0.3944375216960907	0.37047184	Yes	
row_42	KRT79	keratin 79 [Source:HGNC Symbol;Acc:HGNC:28930]	1883	0.3872123062610626	0.37318474	Yes	
row_43	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	1887	0.38629403710365295	0.38069636	Yes	
row_44	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	2016	0.37636011838912964	0.37964672	Yes	
row_45	SHFL	shiftless antiviral inhibitor of ribosomal frameshifting [Source:HGNC Symbol;Acc:HGNC:25649]	2030	0.3750302195549011	0.3862644	Yes	
row_46	XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	2113	0.36734873056411743	0.38811243	Yes	
row_47	OAS2	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	2120	0.3666486442089081	0.39503112	Yes	
row_48	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2139	0.3645748198032379	0.40110555	Yes	
row_49	TMEM221	transmembrane protein 221 [Source:HGNC Symbol;Acc:HGNC:21943]	2213	0.3574405610561371	0.40335786	Yes	
row_50	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	2351	0.3445635437965393	0.4010713	Yes	
row_51	ATP8A2	ATPase phospholipid transporting 8A2 [Source:HGNC Symbol;Acc:HGNC:13533]	2352	0.34455567598342896	0.40795034	Yes	
row_52	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	2394	0.3408769369125366	0.41201288	Yes	
row_53	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	2400	0.34036508202552795	0.4184737	Yes	
row_54	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	2414	0.3393102288246155	0.42437825	Yes	
row_55	SLC7A7	solute carrier family 7 member 7 [Source:HGNC Symbol;Acc:HGNC:11065]	2462	0.3359917998313904	0.42794183	Yes	
row_56	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	2486	0.3341938853263855	0.4330752	Yes	
row_57	KDR	kinase insert domain receptor [Source:HGNC Symbol;Acc:HGNC:6307]	2514	0.33247119188308716	0.43790656	Yes	
row_58	HELZ2	helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]	2589	0.3271230459213257	0.43948668	Yes	
