NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
ABBUD_LIF_SIGNALING_1_DN	28	25		
ABBUD_LIF_SIGNALING_1_UP	43	31		
ABBUD_LIF_SIGNALING_2_DN	7		Rejected!	
ABBUD_LIF_SIGNALING_2_UP	13		Rejected!	
ABDELMOHSEN_ELAVL4_TARGETS	16		Rejected!	
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	13		Rejected!	
ABE_INNER_EAR	43	37		
ABE_VEGFA_TARGETS	19		Rejected!	
ABE_VEGFA_TARGETS_2HR	35	26		
ABE_VEGFA_TARGETS_30MIN	29	25		
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	20	17		
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	26	23		
ABRAMSON_INTERACT_WITH_AIRE	44	39		
ACEVEDO_LIVER_CANCER_DN	540	456		
ACEVEDO_LIVER_CANCER_UP	972		Rejected!	
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	222	151		
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	290	199		
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	119	89		
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	137	94		
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	274	232		
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	863		Rejected!	
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	875		Rejected!	
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	354	300		
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	173	145		
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	116	100		
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	84	80		
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	74	62		
AFFAR_YY1_TARGETS_DN	261	221		
AFFAR_YY1_TARGETS_UP	201	166		
AGARWAL_AKT_PATHWAY_TARGETS	11		Rejected!	
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	237	211		
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	304	275		
AIGNER_ZEB1_TARGETS	35	32		
AIYAR_COBRA1_TARGETS_DN	31	27		
AIYAR_COBRA1_TARGETS_UP	40	34		
AKL_HTLV1_INFECTION_DN	69	55		
AKL_HTLV1_INFECTION_UP	27	27		
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	186	161		
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	140	120		
ALCALA_APOPTOSIS	87	74		
ALFANO_MYC_TARGETS	239	218		
ALONSO_METASTASIS_DN	26	23		
ALONSO_METASTASIS_EMT_DN	5		Rejected!	
ALONSO_METASTASIS_EMT_UP	35	29		
ALONSO_METASTASIS_NEURAL_UP	18	16		
ALONSO_METASTASIS_UP	194	173		
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	123	94		
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	108	99		
AMIT_DELAYED_EARLY_GENES	18		Rejected!	
AMIT_EGF_RESPONSE_120_HELA	68	61		
AMIT_EGF_RESPONSE_120_MCF10A	41	37		
AMIT_EGF_RESPONSE_20_HELA	12		Rejected!	
AMIT_EGF_RESPONSE_20_MCF10A	12		Rejected!	
AMIT_EGF_RESPONSE_240_HELA	59	55		
AMIT_EGF_RESPONSE_240_MCF10A	21	20		
AMIT_EGF_RESPONSE_40_HELA	42	32		
AMIT_EGF_RESPONSE_40_MCF10A	17		Rejected!	
AMIT_EGF_RESPONSE_480_HELA	164	139		
AMIT_EGF_RESPONSE_480_MCF10A	43	37		
AMIT_EGF_RESPONSE_60_HELA	47	38		
AMIT_EGF_RESPONSE_60_MCF10A	39	32		
AMIT_SERUM_RESPONSE_120_MCF10A	65	57		
AMIT_SERUM_RESPONSE_20_MCF10A	17		Rejected!	
AMIT_SERUM_RESPONSE_240_MCF10A	57	43		
AMIT_SERUM_RESPONSE_40_MCF10A	32	22		
AMIT_SERUM_RESPONSE_480_MCF10A	39	32		
AMIT_SERUM_RESPONSE_60_MCF10A	58	54		
AMUNDSON_DNA_DAMAGE_RESPONSE_TP53	16		Rejected!	
AMUNDSON_RESPONSE_TO_ARSENITE	219	192		
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	64	59		
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	63	53		
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	175	144		
ANDERSEN_LIVER_CANCER_KRT19_DN	75	60		
ANDERSEN_LIVER_CANCER_KRT19_UP	35	34		
APPEL_IMATINIB_RESPONSE	33	28		
