NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	Details ...	75	-0.7334517	-3.36778	0.0	0.0	0.0	2800	tags=75%, list=19%, signal=91%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	81	-0.7099682	-3.2660217	0.0	0.0	0.0	2800	tags=70%, list=19%, signal=86%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	83	-0.70462996	-3.2561057	0.0	0.0	0.0	3265	tags=76%, list=22%, signal=96%	
VERHAAK_GLIOBLASTOMA_PRONEURAL	VERHAAK_GLIOBLASTOMA_PRONEURAL	Details ...	165	-0.6172343	-3.180109	0.0	0.0	0.0	3448	tags=64%, list=23%, signal=82%	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	105	-0.6588153	-3.1729221	0.0	0.0	0.0	3265	tags=68%, list=22%, signal=86%	
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	Details ...	82	-0.6875025	-3.1478264	0.0	0.0	0.0	3265	tags=73%, list=22%, signal=93%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Details ...	106	-0.65173495	-3.1288438	0.0	0.0	0.0	3265	tags=62%, list=22%, signal=79%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	111	-0.6479848	-3.1220891	0.0	0.0	0.0	2800	tags=59%, list=19%, signal=72%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Details ...	91	-0.664175	-3.0929158	0.0	0.0	0.0	3265	tags=67%, list=22%, signal=85%	
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	Details ...	61	-0.68865925	-2.9870722	0.0	0.0	0.0	2800	tags=67%, list=19%, signal=82%	
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	Details ...	109	-0.60228586	-2.9456177	0.0	0.0	0.0	3265	tags=61%, list=22%, signal=77%	
