NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	Details ...	174	0.5484339	2.636782	0.0	0.0	0.0	2978	tags=51%, list=20%, signal=63%	
SANA_RESPONSE_TO_IFNG_UP	SANA_RESPONSE_TO_IFNG_UP	Details ...	65	0.61667305	2.5719628	0.0	0.0	0.0	2978	tags=60%, list=20%, signal=74%	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	Details ...	296	0.4912712	2.520757	0.0	0.0	0.0	3704	tags=52%, list=25%, signal=68%	
HECKER_IFNB1_TARGETS	HECKER_IFNB1_TARGETS	Details ...	74	0.5905868	2.483229	0.0	0.0	0.0	3115	tags=55%, list=21%, signal=69%	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	Details ...	158	0.5145554	2.459682	0.0	0.0	0.0	3966	tags=53%, list=26%, signal=70%	
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE	BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE	Details ...	69	0.5961373	2.4530423	0.0	0.0	0.0	2956	tags=49%, list=20%, signal=61%	
BROWNE_INTERFERON_RESPONSIVE_GENES	BROWNE_INTERFERON_RESPONSIVE_GENES	Details ...	62	0.6038259	2.4378526	0.0	0.0	0.0	3451	tags=63%, list=23%, signal=81%	
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	Details ...	49	0.6191879	2.4178174	0.0	0.0	0.0	3451	tags=61%, list=23%, signal=79%	
MOSERLE_IFNA_RESPONSE	MOSERLE_IFNA_RESPONSE	Details ...	29	0.7073884	2.4055707	0.0	1.0254107E-4	0.001	2956	tags=69%, list=20%, signal=86%	
XIE_ST_HSC_S1PR3_OE_UP	XIE_ST_HSC_S1PR3_OE_UP	Details ...	163	0.49531108	2.4033673	0.0	9.2286966E-5	0.001	3743	tags=50%, list=25%, signal=66%	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	Details ...	275	0.45630074	2.3130977	0.0	3.3732702E-4	0.004	2956	tags=42%, list=20%, signal=51%	
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	Details ...	103	0.50983167	2.288679	0.0	5.4153224E-4	0.007	3497	tags=49%, list=23%, signal=63%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	54	0.5702923	2.2801368	0.0	4.998759E-4	0.007	3303	tags=59%, list=22%, signal=76%	
NOUSHMEHR_GBM_SILENCED_BY_METHYLATION	NOUSHMEHR_GBM_SILENCED_BY_METHYLATION	Details ...	45	0.59381855	2.2740939	0.0	5.3055934E-4	0.008	4123	tags=60%, list=27%, signal=82%	
SANA_TNF_SIGNALING_UP	SANA_TNF_SIGNALING_UP	Details ...	73	0.53621405	2.2467673	0.0	5.5704673E-4	0.009	3619	tags=55%, list=24%, signal=72%	
