NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YBX3	Y-box binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2428]	401	0.6421614289283752	-0.01365535	No	
row_1	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	958	0.5067373514175415	-0.040453292	No	
row_2	PARP16	poly(ADP-ribose) polymerase family member 16 [Source:HGNC Symbol;Acc:HGNC:26040]	967	0.5055828094482422	-0.030624287	No	
row_3	CNBP	CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]	1385	0.44576138257980347	-0.049375772	No	
row_4	CPEB1	cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]	3041	0.2906724512577057	-0.15410474	No	
row_5	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	3480	0.2661456763744354	-0.17794271	No	
row_6	DHX36	DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]	3608	0.256071537733078	-0.18118729	No	
row_7	EIF2B2	eukaryotic translation initiation factor 2B subunit beta [Source:HGNC Symbol;Acc:HGNC:3258]	3770	0.2437596172094345	-0.1869582	No	
row_8	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]	4062	0.22179082036018372	-0.20187394	No	
row_9	SMYD5	SMYD family member 5 [Source:HGNC Symbol;Acc:HGNC:16258]	4330	0.20337212085723877	-0.21556212	No	
row_10	EIF4H	eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]	4339	0.20286928117275238	-0.2119385	No	
row_11	HHEX	hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]	4354	0.2015664428472519	-0.20874287	No	
row_12	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]	4430	0.19639836251735687	-0.20973292	No	
row_13	PIWIL2	piwi like RNA-mediated gene silencing 2 [Source:HGNC Symbol;Acc:HGNC:17644]	4612	0.18405501544475555	-0.21806534	No	
row_14	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	4622	0.1835649311542511	-0.21490432	No	
row_15	RBM24	RNA binding motif protein 24 [Source:HGNC Symbol;Acc:HGNC:21539]	4663	0.180741086602211	-0.2138745	No	
row_16	RPSA2	ribosomal protein SA 2 [Source:HGNC Symbol;Acc:HGNC:36809]	4686	0.17886091768741608	-0.21167937	No	
row_17	SLBP	stem-loop histone mRNA binding protein [Source:HGNC Symbol;Acc:HGNC:10904]	5032	0.1571168601512909	-0.23153242	No	
row_18	SARS1	seryl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:10537]	5107	0.1507836878299713	-0.23339066	No	
row_19	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha [Source:HGNC Symbol;Acc:HGNC:3257]	5174	0.14632602035999298	-0.23480521	No	
row_20	ALKBH3	alkB homolog 3, alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:30141]	5696	0.1121676042675972	-0.2673507	No	
row_21	EIF3B	eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280]	5797	0.10544466972351074	-0.27187723	No	
row_22	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	5810	0.10479346662759781	-0.27053162	No	
row_23	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	5867	0.10028455406427383	-0.27222118	No	
row_24	PAIP1	poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]	5978	0.09373234212398529	-0.2776566	No	
row_25	IGF2BP1	insulin like growth factor 2 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:28866]	6360	0.07237651199102402	-0.3016545	No	
row_26	EIF4G1	eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]	6451	0.06774043291807175	-0.30628514	No	
