NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RCC1L	RCC1 like [Source:HGNC Symbol;Acc:HGNC:14948]	122	0.8003549575805664	-7.149861E-4	No	
row_1	NOL3	nucleolar protein 3 [Source:HGNC Symbol;Acc:HGNC:7869]	160	0.7716240286827087	0.0040897983	No	
row_2	ERI1	exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:23994]	271	0.7021592855453491	0.0032602577	No	
row_3	TFB1M	transcription factor B1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17037]	296	0.6944156885147095	0.008217901	No	
row_4	GREB1L	GREB1 like retinoic acid receptor coactivator [Source:HGNC Symbol;Acc:HGNC:31042]	492	0.6173584461212158	7.9065334E-4	No	
row_5	NMD3	NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]	688	0.5626914501190186	-0.007155635	No	
row_6	NUDT16	nudix hydrolase 16 [Source:HGNC Symbol;Acc:HGNC:26442]	836	0.5315238237380981	-0.012126755	No	
row_7	RUVBL1	RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474]	1053	0.4933883547782898	-0.02216215	No	
row_8	GTPBP10	GTP binding protein 10 [Source:HGNC Symbol;Acc:HGNC:25106]	1179	0.4731104373931885	-0.02618863	No	
row_9	NSUN5	NOP2/Sun RNA methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:16385]	1427	0.441691517829895	-0.038827445	No	
row_10	METTL15	methyltransferase 15, mitochondrial 12S rRNA N4-cytidine [Source:HGNC Symbol;Acc:HGNC:26606]	1434	0.44051146507263184	-0.03505386	No	
row_11	NOM1	nucleolar protein with MIF4G domain 1 [Source:HGNC Symbol;Acc:HGNC:13244]	1533	0.4260645806789398	-0.037687033	No	
row_12	PIH1D2	PIH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25210]	1570	0.4209372401237488	-0.036143728	No	
row_13	SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]	1811	0.394070029258728	-0.048757654	No	
row_14	ZNF658	zinc finger protein 658 [Source:HGNC Symbol;Acc:HGNC:25226]	1852	0.39018410444259644	-0.047778927	No	
row_15	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	2032	0.37492111325263977	-0.05641765	No	
row_16	BUD23	BUD23 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405]	2094	0.3691336214542389	-0.057069894	No	
row_17	REXO5	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]	2256	0.35316190123558044	-0.064688556	No	
row_18	USP4	ubiquitin specific peptidase 4 [Source:HGNC Symbol;Acc:HGNC:12627]	2341	0.3455045223236084	-0.06713255	No	
row_19	KRR1	KRR1 small subunit processome component homolog [Source:HGNC Symbol;Acc:HGNC:5176]	2442	0.33729037642478943	-0.07074489	No	
row_20	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200 [Source:HGNC Symbol;Acc:HGNC:30859]	2488	0.3340432047843933	-0.07063993	No	
row_21	METTL25B	methyltransferase like 25B [Source:HGNC Symbol;Acc:HGNC:24273]	2645	0.3220531642436981	-0.07821322	No	
row_22	METTL5	methyltransferase 5, N6-adenosine [Source:HGNC Symbol;Acc:HGNC:25006]	2774	0.31209614872932434	-0.08397291	No	
row_23	GEMIN6	gem nuclear organelle associated protein 6 [Source:HGNC Symbol;Acc:HGNC:20044]	2838	0.3067922592163086	-0.08535335	No	
row_24	VCX	variable charge X-linked [Source:HGNC Symbol;Acc:HGNC:12667]	3038	0.29085007309913635	-0.09615325	No	
row_25	DDX10	DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]	3135	0.285190612077713	-0.09998767	No	
row_26	SBDS	SBDS ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:19440]	3443	0.2682337462902069	-0.118362255	No	
