NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERI1	exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:23994]	271	0.7021592855453491	-0.0065239538	No	
row_1	TFB1M	transcription factor B1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17037]	296	0.6944156885147095	0.0034425145	No	
row_2	NUDT16	nudix hydrolase 16 [Source:HGNC Symbol;Acc:HGNC:26442]	836	0.5315238237380981	-0.02395983	No	
row_3	NSUN5	NOP2/Sun RNA methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:16385]	1427	0.441691517829895	-0.05629195	No	
row_4	METTL15	methyltransferase 15, mitochondrial 12S rRNA N4-cytidine [Source:HGNC Symbol;Acc:HGNC:26606]	1434	0.44051146507263184	-0.049348902	No	
row_5	SLFN13	schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]	1440	0.43978747725486755	-0.042350646	No	
row_6	PIH1D2	PIH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25210]	1570	0.4209372401237488	-0.044010192	No	
row_7	POLR1F	RNA polymerase I subunit F [Source:HGNC Symbol;Acc:HGNC:18027]	1658	0.4100477993488312	-0.043025356	No	
row_8	BUD23	BUD23 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405]	2094	0.3691336214542389	-0.0661383	No	
row_9	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	2224	0.35623499751091003	-0.06887694	No	
row_10	REXO5	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]	2256	0.35316190123558044	-0.065072834	No	
row_11	KRR1	KRR1 small subunit processome component homolog [Source:HGNC Symbol;Acc:HGNC:5176]	2442	0.33729037642478943	-0.07189543	No	
row_12	METTL25B	methyltransferase like 25B [Source:HGNC Symbol;Acc:HGNC:24273]	2645	0.3220531642436981	-0.080116	No	
row_13	METTL5	methyltransferase 5, N6-adenosine [Source:HGNC Symbol;Acc:HGNC:25006]	2774	0.31209614872932434	-0.08352349	No	
row_14	DDX10	DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]	3135	0.285190612077713	-0.102989994	No	
row_15	SBDS	SBDS ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:19440]	3443	0.2682337462902069	-0.119173154	No	
row_16	POLR1E	RNA polymerase I subunit E [Source:HGNC Symbol;Acc:HGNC:17631]	3486	0.2658871114253998	-0.11756474	No	
row_17	RNASEL	ribonuclease L [Source:HGNC Symbol;Acc:HGNC:10050]	3529	0.2623659074306488	-0.116015054	No	
row_18	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]	3635	0.25375279784202576	-0.11884801	No	
row_19	PAK1IP1	PAK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20882]	3681	0.24987363815307617	-0.11770853	No	
row_20	RPP40	ribonuclease P/MRP subunit p40 [Source:HGNC Symbol;Acc:HGNC:20992]	3696	0.2490880787372589	-0.11449629	No	
row_21	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	3734	0.24675211310386658	-0.112870574	No	
row_22	ZCCHC4	zinc finger CCHC-type containing 4 [Source:HGNC Symbol;Acc:HGNC:22917]	3988	0.2271241843700409	-0.12610593	No	
row_23	BRIX1	biogenesis of ribosomes BRX1 [Source:HGNC Symbol;Acc:HGNC:24170]	4156	0.21541155874729156	-0.13375005	No	
row_24	EXOSC3	exosome component 3 [Source:HGNC Symbol;Acc:HGNC:17944]	4184	0.21288378536701202	-0.13201633	No	
row_25	DIS3L	DIS3 like exosome 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:28698]	4251	0.20885631442070007	-0.13297392	No	
row_26	RPP38	ribonuclease P/MRP subunit p38 [Source:HGNC Symbol;Acc:HGNC:30329]	4342	0.20257824659347534	-0.13565108	No	
row_27	C1D	C1D nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:29911]	4428	0.19649964570999146	-0.13809317	No	
row_28	NAT10	N-acetyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:29830]	4449	0.1950301080942154	-0.13618623	No	
