NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT57	intraflagellar transport 57 [Source:HGNC Symbol;Acc:HGNC:17367]	52	0.9129045605659485	0.013159299	Yes	
row_1	SPATA4	spermatogenesis associated 4 [Source:HGNC Symbol;Acc:HGNC:17333]	117	0.8069143891334534	0.02358346	Yes	
row_2	KIF17	kinesin family member 17 [Source:HGNC Symbol;Acc:HGNC:19167]	120	0.8021026253700256	0.038069848	Yes	
row_3	ARL13B	ADP ribosylation factor like GTPase 13B [Source:HGNC Symbol;Acc:HGNC:25419]	126	0.797831654548645	0.052277584	Yes	
row_4	DNAAF1	dynein axonemal assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30539]	169	0.765046238899231	0.063411154	Yes	
row_5	CFAP70	cilia and flagella associated protein 70 [Source:HGNC Symbol;Acc:HGNC:30726]	180	0.7584483623504639	0.07656636	Yes	
row_6	EFHC1	EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]	205	0.7409284114837646	0.08846515	Yes	
row_7	IFT70A	intraflagellar transport 70A [Source:HGNC Symbol;Acc:HGNC:25853]	255	0.7081063389778137	0.0980923	Yes	
row_8	CFAP53	cilia and flagella associated protein 53 [Source:HGNC Symbol;Acc:HGNC:26530]	318	0.6863613128662109	0.106452964	Yes	
row_9	DNAH8	dynein axonemal heavy chain 8 [Source:HGNC Symbol;Acc:HGNC:2952]	357	0.6701292991638184	0.11612418	Yes	
row_10	DNAH2	dynein axonemal heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:2948]	447	0.6280742883682251	0.12161519	Yes	
row_11	CFAP43	cilia and flagella associated protein 43 [Source:HGNC Symbol;Acc:HGNC:26684]	487	0.6194016933441162	0.13029484	Yes	
row_12	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:24595]	593	0.5875945091247559	0.13397706	Yes	
row_13	CCDC39	coiled-coil domain 39 molecular ruler complex subunit [Source:HGNC Symbol;Acc:HGNC:25244]	595	0.5874451994895935	0.14461772	Yes	
row_14	DNAI4	dynein axonemal intermediate chain 4 [Source:HGNC Symbol;Acc:HGNC:26252]	652	0.5723874568939209	0.15130255	Yes	
row_15	DNAH5	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]	659	0.5710042119026184	0.16130887	Yes	
row_16	CFAP68	cilia and flagella associated protein 68 [Source:HGNC Symbol;Acc:HGNC:1163]	663	0.5703221559524536	0.17150356	Yes	
row_17	EFCAB6	EF-hand calcium binding domain 6 [Source:HGNC Symbol;Acc:HGNC:24204]	738	0.5508344173431396	0.1765907	Yes	
row_18	CFAP263	cilia and flagella associated protein 263 [Source:HGNC Symbol;Acc:HGNC:25002]	777	0.5421583652496338	0.18392934	Yes	
row_19	LCA5	lebercilin LCA5 [Source:HGNC Symbol;Acc:HGNC:31923]	791	0.539405107498169	0.19289115	Yes	
row_20	CFAP91	cilia and flagella associated protein 91 [Source:HGNC Symbol;Acc:HGNC:24010]	793	0.5389857888221741	0.20264854	Yes	
row_21	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	801	0.5370509624481201	0.21196905	Yes	
row_22	DYNLT4	dynein light chain Tctex-type 4 [Source:HGNC Symbol;Acc:HGNC:32315]	875	0.522208034992218	0.21660133	Yes	
