NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B [Source:HGNC Symbol;Acc:HGNC:16768]	3832	0.23971550166606903	-0.21529485	No	
row_1	GRID1	glutamate ionotropic receptor delta type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4575]	4376	0.19987308979034424	-0.21908933	No	
row_2	GRIA1	glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571]	5526	0.12371017783880234	-0.27529818	No	
row_3	GRIN1	glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584]	5703	0.11135165393352509	-0.26903	No	
row_4	GRIK5	glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583]	6368	0.07199659943580627	-0.3014314	No	
row_5	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A [Source:HGNC Symbol;Acc:HGNC:16767]	8076	-0.02287450060248375	-0.41084707	No	
row_6	GRIK2	glutamate ionotropic receptor kainate type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4580]	8110	-0.025433896109461784	-0.4089383	No	
row_7	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]	9997	-0.13100565969944	-0.5128031	No	
row_8	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]	11356	-0.2151471972465515	-0.5681367	No	
row_9	GRIK1	glutamate ionotropic receptor kainate type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4579]	14150	-0.4588873088359833	-0.67930186	Yes	
row_10	GRIA4	glutamate ionotropic receptor AMPA type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4574]	14432	-0.5047269463539124	-0.61665136	Yes	
row_11	GRID2	glutamate ionotropic receptor delta type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4576]	14452	-0.5098792314529419	-0.53581226	Yes	
row_12	GRIA3	glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573]	14838	-0.6276826858520508	-0.46025473	Yes	
row_13	GRIA2	glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572]	14862	-0.636354923248291	-0.35931623	Yes	
row_14	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]	14916	-0.6667246222496033	-0.25547543	Yes	
row_15	GRIK4	glutamate ionotropic receptor kainate type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4582]	14999	-0.7407203912734985	-0.14164165	Yes	
row_16	GRIK3	glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]	15090	-0.9245353937149048	0.0012589603	Yes	
