NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HTR4	1	ENSG00000164270	
CRHBP	1	ENSG00000145708	
HTR6	1	ENSG00000158748	
HTR7	1	ENSG00000148680	
LURAP1L	1	ENSG00000153714	
BBX	1	ENSG00000114439	
GSTK1	1	ENSG00000197448	
DHDH	1	ENSG00000104808	
INSYN1	1	ENSG00000205363	
BCR	1	ENSG00000186716	
ORAI3	1	ENSG00000175938	
AGTR1	1	ENSG00000144891	
ORAI2	1	ENSG00000160991	
VOPP1	1	ENSG00000154978	
HOATZ	1	ENSG00000183644	
SPATA31H1	1	ENSG00000221843	
COL13A1	1	ENSG00000197467	
SHMT2	1	ENSG00000182199	
B3GLCT	1	ENSG00000187676	
RDH12	1	ENSG00000139988	
RDH11	1	ENSG00000072042	
RDH10	1	ENSG00000121039	
RDH16	1	ENSG00000139547	
RDH14	1	ENSG00000240857	
RDH13	1	ENSG00000160439	
GTF2IRD2B	1	ENSG00000174428	
GSTM4	1	ENSG00000168765	
GSTM3	1	ENSG00000134202	
GSTM2	1	ENSG00000213366	
GSTM1	1	ENSG00000134184	
NEBL	1	ENSG00000078114	
DHFR	1	ENSG00000228716	
PKIB	1	ENSG00000135549	
STRC	1	ENSG00000242866	
PKIA	1	ENSG00000171033	
PKIG	1	ENSG00000168734	
GSTM5	1	ENSG00000134201	
GTF2H2C	1	ENSG00000183474	
KCNC1	1	ENSG00000129159	
KCNC2	1	ENSG00000166006	
KCNC3	1	ENSG00000131398	
KCNC4	1	ENSG00000116396	
BBC3	1	ENSG00000105327	
GLT1D1	1	ENSG00000151948	
NEFL	1	ENSG00000277586	
NEFM	1	ENSG00000104722	
NEFH	1	ENSG00000100285	
STUM	1	ENSG00000203685	
MYBPC1	1	ENSG00000196091	
MYBPC2	1	ENSG00000086967	
GSTO2	1	ENSG00000065621	
KCND2	1	ENSG00000184408	
GSTO1	1	ENSG00000148834	
KCND3	1	ENSG00000171385	
BGN	1	ENSG00000182492	
TMEFF1	1	ENSG00000241697	
TMEFF2	1	ENSG00000144339	
PKN3	1	ENSG00000160447	
GSTP1	1	ENSG00000084207	
SYNPO2	1	ENSG00000172403	
KCNA1	1	ENSG00000111262	
KCNA2	1	ENSG00000177301	
PTAFR	1	ENSG00000169403	
ADAM22	1	ENSG00000008277	
KCNA3	1	ENSG00000177272	
ADAM21	1	ENSG00000139985	
KCNA4	1	ENSG00000182255	
KCNA5	1	ENSG00000130037	
KCNA6	1	ENSG00000151079	
SDAD1	1	ENSG00000198301	
ADAM28	1	ENSG00000042980	
ADAM23	1	ENSG00000114948	
STX6	1	ENSG00000135823	
STX5	1	ENSG00000162236	
STX4	1	ENSG00000103496	
STX3	1	ENSG00000166900	
BID	1	ENSG00000015475	
STX2	1	ENSG00000111450	
SPDEF	1	ENSG00000124664	
MBD3	1	ENSG00000071655	
MBD4	1	ENSG00000129071	
MBD5	1	ENSG00000204406	
MBD6	1	ENSG00000166987	
PKLR	1	ENSG00000143627	
KCNB1	1	ENSG00000158445	
BIK	1	ENSG00000100290	
MBD1	1	ENSG00000141644	
KCNB2	1	ENSG00000182674	
MBD2	1	ENSG00000134046	
ADAM33	1	ENSG00000149451	
KIAA2012	1	ENSG00000182329	
ADAM32	1	ENSG00000197140	
PKN2	1	ENSG00000065243	
MITD1	1	ENSG00000158411	
PKN1	1	ENSG00000123143	
KCNG1	1	ENSG00000026559	
KCNG2	1	ENSG00000178342	
KCNG3	1	ENSG00000171126	
KCNG4	1	ENSG00000168418	
RASL11B	1	ENSG00000128045	
FBXO28	1	ENSG00000143756	
RASL11A	1	ENSG00000122035	
FBXO25	1	ENSG00000147364	
GOLIM4	1	ENSG00000173905	
FBXO24	1	ENSG00000106336	
FBXO21	1	ENSG00000135108	
FBXO22	1	ENSG00000167196	
FADS3	1	ENSG00000221968	
FADS2	1	ENSG00000134824	
POFUT2	1	ENSG00000186866	
PTAR1	1	ENSG00000188647	
FNTA	1	ENSG00000168522	
MYBPHL	1	ENSG00000221986	
POFUT1	1	ENSG00000101346	
FNTB	1	ENSG00000257365	
NEK1	1	ENSG00000137601	
POTEE	1	ENSG00000188219	
TNFRSF8	1	ENSG00000120949	
NEK2	1	ENSG00000117650	
POTEF	1	ENSG00000196604	
TNFRSF4	1	ENSG00000186827	
FADS1	1	ENSG00000149485	
KCNH1	1	ENSG00000143473	
PIAS4	1	ENSG00000105229	
PIAS3	1	ENSG00000131788	
KCNH3	1	ENSG00000135519	
KCNH4	1	ENSG00000089558	
