NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	6		Rejected!	
GOBP_2FE_2S_CLUSTER_ASSEMBLY	11		Rejected!	
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	18	18		
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	19	16		
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	29	19		
GOBP_4FE_4S_CLUSTER_ASSEMBLY	5		Rejected!	
GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS	6		Rejected!	
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	6		Rejected!	
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	5		Rejected!	
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	8		Rejected!	
GOBP_7_METHYLGUANOSINE_RNA_CAPPING	8		Rejected!	
GOBP_ACETATE_ESTER_METABOLIC_PROCESS	7		Rejected!	
GOBP_ACETATE_ESTER_TRANSPORT	9		Rejected!	
GOBP_ACETYLCHOLINE_SECRETION	5		Rejected!	
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	21	17		
GOBP_ACETYL_COA_METABOLIC_PROCESS	37	31		
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	73	64		
GOBP_ACID_SECRETION	42	33		
GOBP_ACINAR_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	9		Rejected!	
GOBP_ACROSOME_ASSEMBLY	38	25		
GOBP_ACROSOME_REACTION	43	25		
GOBP_ACTIN_CROSSLINK_FORMATION	14		Rejected!	
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	146	107		
GOBP_ACTIN_FILAMENT_BASED_PROCESS	842		Rejected!	
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	8		Rejected!	
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	174	146		
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	60	53		
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	9		Rejected!	
GOBP_ACTIN_FILAMENT_ORGANIZATION	467	399		
GOBP_ACTIN_FILAMENT_POLYMERIZATION	157	140		
GOBP_ACTIN_FILAMENT_SEVERING	17	16		
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	123	86		
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	19		Rejected!	
GOBP_ACTIN_NUCLEATION	58	52		
GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	7		Rejected!	
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	187	167		
GOBP_ACTION_POTENTIAL	179	145		
GOBP_ACTION_POTENTIAL_PROPAGATION	12		Rejected!	
GOBP_ACTIVATED_T_CELL_PROLIFERATION	51	36		
GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS	10		Rejected!	
GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	15		Rejected!	
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	24	23		
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	621	450		
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	341	261		
GOBP_ACTIVATION_OF_MEIOSIS	6		Rejected!	
GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	10		Rejected!	
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	41	35		
GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY	8		Rejected!	
GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY	5		Rejected!	
GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	54	41		
GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION	10		Rejected!	
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	216	177		
GOBP_ACUTE_INFLAMMATORY_RESPONSE	112	68		
GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	32	17		
GOBP_ACUTE_PHASE_RESPONSE	47	30		
GOBP_ACYLGLYCEROL_HOMEOSTASIS	48	30		
GOBP_ACYLGLYCEROL_TRANSPORT	8		Rejected!	
GOBP_ACYL_COA_METABOLIC_PROCESS	100	82		
GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE	7		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	765	327		
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	390	236		
GOBP_ADAPTIVE_THERMOGENESIS	169	141		
GOBP_ADENINE_TRANSPORT	6		Rejected!	
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	16		Rejected!	
GOBP_ADENOSINE_METABOLIC_PROCESS	11		Rejected!	
GOBP_ADENOSINE_TO_INOSINE_EDITING	6		Rejected!	
GOBP_ADENOSINE_TRANSPORT	5		Rejected!	
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	20	18		
GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	11		Rejected!	
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	190	140		
GOBP_ADENYLATE_CYCLASE_ACTIVATING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	5		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	6		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	8		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	9		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	87	70		
GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	10		Rejected!	
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	279	209		
GOBP_ADHERENS_JUNCTION_ASSEMBLY	15		Rejected!	
GOBP_ADHERENS_JUNCTION_MAINTENANCE	7		Rejected!	
GOBP_ADHERENS_JUNCTION_ORGANIZATION	59	53		
GOBP_ADHESION_OF_SYMBIONT_TO_HOST	15		Rejected!	
GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL	11		Rejected!	
GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_ADIPOSE_TISSUE_DEVELOPMENT	70	55		
GOBP_ADP_BIOSYNTHETIC_PROCESS	5		Rejected!	
GOBP_ADP_TRANSPORT	12		Rejected!	
GOBP_ADRENAL_GLAND_DEVELOPMENT	27	22		
GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	33	25		
GOBP_ADRENOMEDULLIN_RECEPTOR_SIGNALING_PATHWAY	5		Rejected!	
GOBP_ADULT_BEHAVIOR	154	127		
GOBP_ADULT_FEEDING_BEHAVIOR	10		Rejected!	
GOBP_ADULT_HEART_DEVELOPMENT	14		Rejected!	
GOBP_ADULT_LOCOMOTORY_BEHAVIOR	85	71		
GOBP_AEROBIC_RESPIRATION	198	171		
GOBP_AGGREPHAGY	18	18		
GOBP_AGGRESOME_ASSEMBLY	6		Rejected!	
GOBP_AGGRESSIVE_BEHAVIOR	9		Rejected!	
GOBP_AIM2_INFLAMMASOME_COMPLEX_ASSEMBLY	7		Rejected!	
GOBP_ALANINE_METABOLIC_PROCESS	5		Rejected!	
GOBP_ALANINE_TRANSPORT	18		Rejected!	
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	150	120		
GOBP_ALCOHOL_CATABOLIC_PROCESS	38	29		
GOBP_ALCOHOL_METABOLIC_PROCESS	369	278		
GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS	18	15		
GOBP_ALDEHYDE_CATABOLIC_PROCESS	14		Rejected!	
GOBP_ALDEHYDE_METABOLIC_PROCESS	76	63		
GOBP_ALDITOL_BIOSYNTHETIC_PROCESS	5		Rejected!	
GOBP_ALDITOL_CATABOLIC_PROCESS	7		Rejected!	
GOBP_ALDITOL_METABOLIC_PROCESS	22	16		
GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	10		Rejected!	
GOBP_ALDOSTERONE_SECRETION	8		Rejected!	
GOBP_ALKALOID_METABOLIC_PROCESS	6		Rejected!	
GOBP_ALKANESULFONATE_METABOLIC_PROCESS	10		Rejected!	
GOBP_ALKANESULFONATE_TRANSMEMBRANE_TRANSPORT	8		Rejected!	
GOBP_ALLANTOIN_METABOLIC_PROCESS	10		Rejected!	
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	55	45		
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	201	162		
GOBP_ALPHA_BETA_T_CELL_ACTIVATION	204	132		
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	140	96		
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	47	29		
GOBP_ALPHA_KETOGLUTARATE_TRANSPORT	7		Rejected!	
GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS	16	16		
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	78	70		
GOBP_AMACRINE_CELL_DIFFERENTIATION	13		Rejected!	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	257	216		
GOBP_AMELOBLAST_DIFFERENTIATION	8		Rejected!	
GOBP_AMELOGENESIS	27	18		
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	176	146		
GOBP_AMIDE_CATABOLIC_PROCESS	17		Rejected!	
GOBP_AMIDE_METABOLIC_PROCESS	493	388		
GOBP_AMIDE_TRANSPORT	338	273		
GOBP_AMINE_BIOSYNTHETIC_PROCESS	42	31		
GOBP_AMINE_CATABOLIC_PROCESS	22	17		
GOBP_AMINE_METABOLIC_PROCESS	114	90		
GOBP_AMINE_TRANSPORT	90	69		
GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY	13		Rejected!	
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	54	48		
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	32	24		
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	98	84		
GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	10		Rejected!	
GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION	7		Rejected!	
GOBP_AMINOPHOSPHOLIPID_TRANSPORT	9		Rejected!	
GOBP_AMINO_ACID_ACTIVATION	45	44		
GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS	7		Rejected!	
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS	19	16		
GOBP_AMINO_ACID_BETAINE_TRANSPORT	14		Rejected!	
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS	68	58		
GOBP_AMINO_ACID_CATABOLIC_PROCESS	112	98		
GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	52	42		
GOBP_AMINO_ACID_METABOLIC_PROCESS	282	237		
GOBP_AMINO_ACID_NEUROTRANSMITTER_REUPTAKE	10		Rejected!	
GOBP_AMINO_ACID_SALVAGE	5		Rejected!	
GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	112	88		
GOBP_AMINO_ACID_TRANSPORT	167	134		
GOBP_AMINO_SUGAR_BIOSYNTHETIC_PROCESS	13		Rejected!	
GOBP_AMINO_SUGAR_CATABOLIC_PROCESS	14		Rejected!	
GOBP_AMINO_SUGAR_METABOLIC_PROCESS	43	41		
GOBP_AMMONIUM_HOMEOSTASIS	7		Rejected!	
GOBP_AMMONIUM_ION_METABOLIC_PROCESS	25	18		
GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT	11		Rejected!	
GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING	11		Rejected!	
GOBP_AMPA_SELECTIVE_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	5		Rejected!	
GOBP_AMP_BIOSYNTHETIC_PROCESS	13		Rejected!	
GOBP_AMP_CATABOLIC_PROCESS	5		Rejected!	
GOBP_AMP_METABOLIC_PROCESS	23	20		
GOBP_AMP_SALVAGE	6		Rejected!	
GOBP_AMYLIN_RECEPTOR_SIGNALING_PATHWAY	6		Rejected!	
GOBP_AMYLOID_BETA_CLEARANCE	42	31		
GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS	8		Rejected!	
GOBP_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS	7		Rejected!	
GOBP_AMYLOID_BETA_FORMATION	60	41		
GOBP_AMYLOID_BETA_METABOLIC_PROCESS	74	51		
GOBP_AMYLOID_FIBRIL_FORMATION	45	33		
GOBP_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS	27		Rejected!	
GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	74	54		
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	102	71		
GOBP_ANAGEN	5		Rejected!	
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	24	24		
GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT	18	16		
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1303		Rejected!	
GOBP_ANATOMICAL_STRUCTURE_MATURATION	284	221		
GOBP_ANATOMICAL_STRUCTURE_REGRESSION	16		Rejected!	
GOBP_ANDROGEN_BIOSYNTHETIC_PROCESS	10		Rejected!	
GOBP_ANDROGEN_CATABOLIC_PROCESS	5		Rejected!	
GOBP_ANDROGEN_METABOLIC_PROCESS	30	23		
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	52	40		
GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING	33	24		
GOBP_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY	23	18		
GOBP_ANIMAL_ORGAN_FORMATION	69	61		
GOBP_ANIMAL_ORGAN_MATURATION	32	27		
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	1038		Rejected!	
GOBP_ANIMAL_ORGAN_REGENERATION	53	44		
GOBP_ANOIKIS	36	30		
GOBP_ANTERIOR_COMMISSURE_MORPHOGENESIS	7		Rejected!	
GOBP_ANTERIOR_HEAD_DEVELOPMENT	7		Rejected!	
GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION	60	46		
GOBP_ANTERIOR_POSTERIOR_AXON_GUIDANCE	7		Rejected!	
GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	224	188		
GOBP_ANTEROGRADE_AXONAL_TRANSPORT	47	43		
GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT	11		Rejected!	
GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT_OF_NEUROTRANSMITTER_RECEPTOR_COMPLEX	7		Rejected!	
GOBP_ANTEROGRADE_NEURONAL_DENSE_CORE_VESICLE_TRANSPORT	6		Rejected!	
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	79	32		
GOBP_ANTIBACTERIAL_INNATE_IMMUNE_RESPONSE	12		Rejected!	
GOBP_ANTIBACTERIAL_PEPTIDE_PRODUCTION	9		Rejected!	
GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY	10		Rejected!	
GOBP_ANTIFUNGAL_HUMORAL_RESPONSE	13		Rejected!	
GOBP_ANTIFUNGAL_INNATE_IMMUNE_RESPONSE	23		Rejected!	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	120	90		
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_ENDOGENOUS_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	5		Rejected!	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	31	23		
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	24	20		
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	50	36		
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	41	32		
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	9		Rejected!	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	31	26		
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	7		Rejected!	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	72	56		
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	37	30		
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB	16		Rejected!	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	37	31		
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	23	16		
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	214	146		
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE	134	58		
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	184	78		
GOBP_ANTIMICROBIAL_PEPTIDE_PRODUCTION	11		Rejected!	
GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	66	58		
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	12		Rejected!	
GOBP_AORTA_DEVELOPMENT	69	56		
GOBP_AORTA_MORPHOGENESIS	38	28		
GOBP_AORTA_SMOOTH_MUSCLE_TISSUE_MORPHOGENESIS	6		Rejected!	
GOBP_AORTIC_VALVE_MORPHOGENESIS	39	34		
GOBP_APICAL_CONSTRICTION	5		Rejected!	
GOBP_APICAL_JUNCTION_ASSEMBLY	83	62		
GOBP_APICAL_PROTEIN_LOCALIZATION	16	15		
GOBP_APOLIPOPROTEIN_A_I_MEDIATED_SIGNALING_PATHWAY	7		Rejected!	
GOBP_APOPTOTIC_CELL_CLEARANCE	44	33		
GOBP_APOPTOTIC_CHROMOSOME_CONDENSATION	5		Rejected!	
GOBP_APOPTOTIC_DNA_FRAGMENTATION	18	15		
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	112	94		
GOBP_APOPTOTIC_PROCESS	1986		Rejected!	
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	5		Rejected!	
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	44	35		
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_HEART_MORPHOGENESIS	7		Rejected!	
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS	30	25		
