NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_CYTOSOLIC_RIBOSOME	GOCC_CYTOSOLIC_RIBOSOME	Details ...	106	-0.65616065	-3.1641016	0.0	0.0	0.0	3265	tags=61%, list=22%, signal=78%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	158	-0.5662921	-2.9309888	0.0	0.0	0.0	2820	tags=50%, list=19%, signal=61%	
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	48	-0.6915445	-2.8302748	0.0	0.0	0.0	3195	tags=77%, list=21%, signal=97%	
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	40	-0.7068209	-2.8293579	0.0	0.0	0.0	3265	tags=68%, list=22%, signal=86%	
GOCC_PRERIBOSOME	GOCC_PRERIBOSOME	Details ...	99	-0.5335217	-2.5362427	0.0	0.0	0.0	3535	tags=44%, list=23%, signal=58%	
GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	Details ...	171	-0.4800104	-2.4974039	0.0	0.0	0.0	3265	tags=44%, list=22%, signal=55%	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	150	-0.48439237	-2.4785304	0.0	0.0	0.0	3265	tags=45%, list=22%, signal=57%	
HP_NORMOCHROMIC_ANEMIA	HP_NORMOCHROMIC_ANEMIA	Details ...	36	-0.6330386	-2.431631	0.0	1.5534207E-4	0.001	3205	tags=67%, list=21%, signal=84%	
GOCC_SMALL_SUBUNIT_PROCESSOME	GOCC_SMALL_SUBUNIT_PROCESSOME	Details ...	70	-0.52676934	-2.3837864	0.0	6.92045E-4	0.005	3535	tags=46%, list=23%, signal=59%	
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	103	-0.48616543	-2.3473575	0.0	0.0012420348	0.01	2800	tags=41%, list=19%, signal=50%	
GOCC_RIBOSOME	GOCC_RIBOSOME	Details ...	215	-0.43393007	-2.336609	0.0	0.0011291226	0.01	2856	tags=35%, list=19%, signal=42%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	436	-0.39982456	-2.330982	0.0	0.0010350291	0.01	3747	tags=38%, list=25%, signal=49%	
GOMF_GLUTAMATE_GATED_RECEPTOR_ACTIVITY	GOMF_GLUTAMATE_GATED_RECEPTOR_ACTIVITY	Details ...	17	-0.7531894	-2.324853	0.0	0.001142456	0.012	961	tags=47%, list=6%, signal=50%	
HP_PURE_RED_CELL_APLASIA	HP_PURE_RED_CELL_APLASIA	Details ...	28	-0.6398098	-2.3237407	0.0	0.0010608521	0.012	3205	tags=71%, list=21%, signal=90%	
HP_OSTEOSARCOMA	HP_OSTEOSARCOMA	Details ...	32	-0.6162619	-2.31607	0.0	0.001155217	0.014	3205	tags=66%, list=21%, signal=83%	
HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR	HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR	Details ...	32	-0.62139606	-2.3120556	0.0	0.0010830158	0.014	3205	tags=66%, list=21%, signal=83%	
HP_PERSISTENCE_OF_HEMOGLOBIN_F	HP_PERSISTENCE_OF_HEMOGLOBIN_F	Details ...	31	-0.6062361	-2.2905169	0.0	0.0014533796	0.02	3205	tags=65%, list=21%, signal=82%	
HP_ADENOCARCINOMA_OF_THE_COLON	HP_ADENOCARCINOMA_OF_THE_COLON	Details ...	31	-0.6159568	-2.2863462	0.0	0.0015805649	0.023	3205	tags=68%, list=21%, signal=86%	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	Details ...	101	-0.47580513	-2.2740452	0.0	0.001758308	0.027	3274	tags=38%, list=22%, signal=48%	
GOBP_RRNA_METABOLIC_PROCESS	GOBP_RRNA_METABOLIC_PROCESS	Details ...	248	-0.41638908	-2.2707365	0.0	0.0017322779	0.028	3747	tags=40%, list=25%, signal=53%	
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION	GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION		194	-0.42732778	-2.2642787	0.0	0.0017678619	0.03	3727	tags=39%, list=25%, signal=51%	
HP_ERYTHROID_HYPOPLASIA	HP_ERYTHROID_HYPOPLASIA		29	-0.6333943	-2.262236	0.0	0.001802407	0.032	3265	tags=76%, list=22%, signal=97%	
GOBP_RRNA_PROCESSING	GOBP_RRNA_PROCESSING		208	-0.42513132	-2.2449374	0.0	0.0021518879	0.04	3747	tags=41%, list=25%, signal=54%	
HP_ABNORMAL_ERYTHROCYTE_ADENOSINE_DEAMINASE_ACTIVITY	HP_ABNORMAL_ERYTHROCYTE_ADENOSINE_DEAMINASE_ACTIVITY		26	-0.6516136	-2.2269387	0.0	0.002583414	0.05	3205	tags=77%, list=21%, signal=97%	
HP_ADENOCARCINOMA_OF_THE_INTESTINES	HP_ADENOCARCINOMA_OF_THE_INTESTINES		36	-0.5683591	-2.206116	0.0	0.0033240863	0.065	3205	tags=61%, list=21%, signal=77%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS		300	-0.39474937	-2.1871285	0.0	0.0043454627	0.088	4032	tags=42%, list=27%, signal=56%	
GOBP_RIBOSOME_ASSEMBLY	GOBP_RIBOSOME_ASSEMBLY		57	-0.50865406	-2.1732523	0.0	0.0051997583	0.109	3265	tags=44%, list=22%, signal=56%	
HP_ABNORMAL_ERYTHROCYTE_ENZYME_CONCENTRATION_OR_ACTIVITY	HP_ABNORMAL_ERYTHROCYTE_ENZYME_CONCENTRATION_OR_ACTIVITY		46	-0.533521	-2.1616805	0.0	0.005853893	0.127	3291	tags=54%, list=22%, signal=69%	
GOCC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SMALL_RIBOSOMAL_SUBUNIT		71	-0.47818732	-2.157614	0.0	0.0058668987	0.132	3265	tags=44%, list=22%, signal=55%	
GOMF_RNA_POLYMERASE_CORE_ENZYME_BINDING	GOMF_RNA_POLYMERASE_CORE_ENZYME_BINDING		37	-0.5543047	-2.1551392	0.0	0.0057949526	0.135	3607	tags=54%, list=24%, signal=71%	
GOMF_GLUTAMATE_RECEPTOR_ACTIVITY	GOMF_GLUTAMATE_RECEPTOR_ACTIVITY		24	-0.6237637	-2.1490586	0.0	0.0063683693	0.153	961	tags=33%, list=6%, signal=36%	
GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX	GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX		28	-0.5862378	-2.1231883	0.0	0.009314839	0.221	2336	tags=46%, list=15%, signal=55%	
