NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_AXONEME_ASSEMBLY	GOBP_AXONEME_ASSEMBLY	Details ...	97	0.577523	2.5678864	0.0	0.0	0.0	3232	tags=58%, list=21%, signal=73%	
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	Details ...	37	0.68366927	2.4906356	0.0	8.4355654E-4	0.002	2820	tags=70%, list=19%, signal=86%	
GOCC_9PLUS2_MOTILE_CILIUM	GOCC_9PLUS2_MOTILE_CILIUM	Details ...	193	0.5008668	2.45873	0.0	8.42333E-4	0.003	4783	tags=60%, list=32%, signal=87%	
HP_CHRONIC_SINUSITIS	HP_CHRONIC_SINUSITIS	Details ...	60	0.603021	2.4382439	0.0	6.3174975E-4	0.003	2820	tags=58%, list=19%, signal=71%	
GOCC_CILIARY_PLASM	GOCC_CILIARY_PLASM	Details ...	170	0.5040007	2.4353714	0.0	5.053998E-4	0.003	3607	tags=54%, list=24%, signal=70%	
HP_ABNORMAL_SPERM_PHYSIOLOGY	HP_ABNORMAL_SPERM_PHYSIOLOGY	Details ...	98	0.54712653	2.4041634	0.0	4.211665E-4	0.003	3213	tags=52%, list=21%, signal=66%	
GOCC_AXONEMAL_DYNEIN_COMPLEX	GOCC_AXONEMAL_DYNEIN_COMPLEX	Details ...	20	0.7569036	2.393308	0.0	3.6099984E-4	0.003	2594	tags=75%, list=17%, signal=90%	
GOCC_MOTILE_CILIUM	GOCC_MOTILE_CILIUM	Details ...	265	0.47031	2.3733537	0.0	3.1587487E-4	0.003	3245	tags=44%, list=21%, signal=55%	
HP_RECURRENT_MYCOBACTERIAL_INFECTIONS	HP_RECURRENT_MYCOBACTERIAL_INFECTIONS	Details ...	52	0.60719997	2.3697743	0.0	2.8077766E-4	0.003	3834	tags=63%, list=25%, signal=85%	
GOBP_CILIUM_MOVEMENT	GOBP_CILIUM_MOVEMENT	Details ...	213	0.47743773	2.3639858	0.0	2.526999E-4	0.003	4033	tags=51%, list=27%, signal=69%	
HP_ABNORMAL_ATRIAL_ARRANGEMENT	HP_ABNORMAL_ATRIAL_ARRANGEMENT	Details ...	43	0.6263591	2.3527963	0.0	2.2972717E-4	0.003	3834	tags=70%, list=25%, signal=93%	
HP_ABNORMAL_RESPIRATORY_MOTILE_CILIUM_PHYSIOLOGY	HP_ABNORMAL_RESPIRATORY_MOTILE_CILIUM_PHYSIOLOGY	Details ...	33	0.6667737	2.3513198	0.0	2.1058325E-4	0.003	2716	tags=67%, list=18%, signal=81%	
HP_WHEEZING	HP_WHEEZING	Details ...	55	0.5897965	2.3334875	0.0	2.5928198E-4	0.004	2716	tags=53%, list=18%, signal=64%	
HP_ABNORMAL_NASAL_MUCOSA_MORPHOLOGY	HP_ABNORMAL_NASAL_MUCOSA_MORPHOLOGY	Details ...	62	0.57714736	2.3184524	0.0	3.0094988E-4	0.005	2716	tags=52%, list=18%, signal=63%	
GOCC_AXONEMAL_DOUBLET_MICROTUBULE	GOCC_AXONEMAL_DOUBLET_MICROTUBULE	Details ...	42	0.6017678	2.2970397	0.0	3.923839E-4	0.007	4029	tags=71%, list=27%, signal=97%	
HP_FEMALE_INFERTILITY	HP_FEMALE_INFERTILITY	Details ...	63	0.56025594	2.2944868	0.0	4.2033137E-4	0.008	4489	tags=65%, list=30%, signal=92%	
