NAME	TITLE	SCORE	
EFCAB13	EF-hand calcium binding domain 13 [Source:HGNC Symbol;Acc:HGNC:26864]	1.3403348	
TNK1	tyrosine kinase non receptor 1 [Source:HGNC Symbol;Acc:HGNC:11940]	1.336824	
DMBT1	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]	1.2961519	
PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	1.1943252	
AGBL2	AGBL carboxypeptidase 2 [Source:HGNC Symbol;Acc:HGNC:26296]	1.1866935	
PPP1CB	protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]	1.1828046	
TMEM54	transmembrane protein 54 [Source:HGNC Symbol;Acc:HGNC:24143]	1.1788319	
LMNTD2	lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561]	1.168961	
SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	1.1583409	
NUP37	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	1.1482675	
OCIAD2	OCIA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28685]	1.1442074	
SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]	1.1402286	
GJB2	gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]	1.1342388	
HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	1.1142005	
STAC	SH3 and cysteine rich domain [Source:HGNC Symbol;Acc:HGNC:11353]	1.1124727	
SP6	Sp6 transcription factor [Source:HGNC Symbol;Acc:HGNC:14530]	1.1027501	
CLDN12	claudin 12 [Source:HGNC Symbol;Acc:HGNC:2034]	1.0981812	
ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]	1.0947973	
RASSF7	Ras association domain family member 7 [Source:HGNC Symbol;Acc:HGNC:1166]	1.089488	
GSAP	gamma-secretase activating protein [Source:HGNC Symbol;Acc:HGNC:28042]	1.0772693	
SDSL	serine dehydratase like [Source:HGNC Symbol;Acc:HGNC:30404]	1.069225	
HSD17B8	hydroxysteroid 17-beta dehydrogenase 8 [Source:HGNC Symbol;Acc:HGNC:3554]	1.0599737	
