NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	13	1.114200472831726	0.0254929	Yes	
row_1	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]	17	1.0947972536087036	0.051194865	Yes	
row_2	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]	22	1.0557034015655518	0.07590507	Yes	
row_3	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	50	0.9172689318656921	0.09580327	Yes	
row_4	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	203	0.7431872487068176	0.103231065	Yes	
row_5	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6863]	449	0.6275226473808289	0.10170862	Yes	
row_6	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	606	0.5852092504501343	0.10513148	Yes	
row_7	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	638	0.5751463174819946	0.11666795	Yes	
row_8	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	657	0.57126784324646	0.12898125	Yes	
row_9	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	757	0.5458749532699585	0.13528185	Yes	
row_10	TAP2	transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]	766	0.5438798666000366	0.14761528	Yes	
row_11	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	784	0.5410662889480591	0.15928084	Yes	
row_12	KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	811	0.5358997583389282	0.17022282	Yes	
row_13	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	941	0.509039580821991	0.17364751	Yes	
row_14	CD8A	CD8 subunit alpha [Source:HGNC Symbol;Acc:HGNC:1706]	964	0.505744457244873	0.18414329	Yes	
row_15	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	965	0.5057132244110107	0.19610824	Yes	
row_16	MRPL3	mitochondrial ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10379]	1012	0.49853089451789856	0.20482983	Yes	
row_17	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	1076	0.48943912982940674	0.21220046	Yes	
row_18	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	1094	0.4863850474357605	0.22257228	Yes	
row_19	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	1119	0.48201870918273926	0.2323731	Yes	
row_20	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	1263	0.46052640676498413	0.2337146	Yes	
row_21	GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	1327	0.45302486419677734	0.24022369	Yes	
row_22	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	1372	0.4479124844074249	0.24788131	Yes	
row_23	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	1384	0.4457860291004181	0.25769344	Yes	
row_24	CD1D	CD1d molecule [Source:HGNC Symbol;Acc:HGNC:1637]	1667	0.4093153774738312	0.24853621	Yes	
row_25	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	1705	0.40588662028312683	0.2556672	Yes	
row_26	LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]	1778	0.39728954434394836	0.2602563	Yes	
row_27	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	1845	0.3907448351383209	0.26509145	Yes	
row_28	IL27RA	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]	1914	0.38430169224739075	0.26964054	Yes	
row_29	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	1982	0.37894344329833984	0.27412963	Yes	
row_30	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	2016	0.37636011838912964	0.2808293	Yes	
row_31	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	2029	0.37513116002082825	0.28890297	Yes	
row_32	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	2070	0.37166717648506165	0.2950239	Yes	
row_33	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2139	0.3645748198032379	0.29910624	Yes	
row_34	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	2201	0.35863229632377625	0.30351567	Yes	
row_35	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	2227	0.3557852506637573	0.31026307	Yes	
row_36	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	2281	0.35028326511383057	0.31500947	Yes	
row_37	MTIF2	mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]	2376	0.34237784147262573	0.3168295	Yes	
row_38	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	2593	0.3267352879047394	0.31012815	Yes	
row_39	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	2596	0.32667046785354614	0.3177234	Yes	
row_40	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	2661	0.3210686445236206	0.32104367	Yes	
row_41	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	2686	0.3188033998012543	0.3269829	Yes	
row_42	IL12RB1	interleukin 12 receptor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:5971]	2800	0.30995291471481323	0.32676628	Yes	
row_43	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	2865	0.30440375208854675	0.32969227	Yes	
row_44	ELF4	E74 like ETS transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3319]	2867	0.3040582537651062	0.33681932	Yes	
row_45	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	2898	0.3015294671058655	0.341949	Yes	
row_46	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	2981	0.29567262530326843	0.34346575	Yes	
row_47	LTB	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	3095	0.28714719414711	0.34270957	Yes	
row_48	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	3096	0.2871039807796478	0.34950233	Yes	
row_49	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	3109	0.2863197922706604	0.35547474	Yes	
row_50	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	3181	0.28227925300598145	0.35740957	Yes	
row_51	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	3198	0.28096804022789	0.36298814	Yes	
row_52	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	3256	0.27826422452926636	0.36576337	Yes	
row_53	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	3336	0.27443957328796387	0.3669782	Yes	
row_54	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	3449	0.2679397165775299	0.3658344	Yes	
row_55	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	3451	0.2678777277469635	0.37210545	Yes	
row_56	FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	3455	0.2677806317806244	0.3782406	Yes	
row_57	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	3480	0.2661456763744354	0.38293394	Yes	
row_58	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	3502	0.2644916772842407	0.3877886	Yes	
row_59	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	3585	0.2579135000705719	0.388412	Yes	
row_60	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	3625	0.254397988319397	0.3918252	Yes	
row_61	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	3666	0.25131264328956604	0.3950986	Yes	
row_62	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	3734	0.24675211310386658	0.39646012	Yes	
row_63	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	4009	0.22510091960430145	0.38347897	No	
