NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	54	0.909200131893158	0.020831447	Yes	
row_1	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	85	0.8497140407562256	0.04166725	Yes	
row_2	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	177	0.7591458559036255	0.055993527	Yes	
row_3	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	300	0.6928027868270874	0.06646559	Yes	
row_4	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	350	0.6745936274528503	0.08132494	Yes	
row_5	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	366	0.6632433533668518	0.09815056	Yes	
row_6	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	513	0.6119493246078491	0.104846	Yes	
row_7	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	530	0.6051434278488159	0.12004312	Yes	
row_8	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	578	0.5911154747009277	0.13279222	Yes	
row_9	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	650	0.5732322931289673	0.14345732	Yes	
row_10	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	779	0.5420776605606079	0.14947712	Yes	
row_11	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	935	0.5098968148231506	0.1528282	Yes	
row_12	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	981	0.5032204985618591	0.16334833	Yes	
row_13	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1191	0.47170132398605347	0.16206527	Yes	
row_14	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	1263	0.46052640676498413	0.16970089	Yes	
row_15	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	1372	0.4479124844074249	0.17452566	Yes	
row_16	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	1374	0.4479064643383026	0.18649839	Yes	
