NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EFHC1	EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]	205	0.7409284114837646	0.012669107	Yes	
row_1	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	229	0.7173119187355042	0.036622763	Yes	
row_2	PEX7	peroxisomal biogenesis factor 7 [Source:HGNC Symbol;Acc:HGNC:8860]	241	0.7131729125976562	0.061228726	Yes	
row_3	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	286	0.6974493861198425	0.083077796	Yes	
row_4	PECR	peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]	289	0.6963529586791992	0.10768568	Yes	
row_5	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	349	0.6748360991477966	0.1277321	Yes	
row_6	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	480	0.62083899974823	0.14113049	Yes	
row_7	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	623	0.5782768726348877	0.15221731	Yes	
row_8	DIO2	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	682	0.5646336078643799	0.1684149	Yes	
row_9	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	699	0.5592417120933533	0.1872187	Yes	
row_10	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	739	0.5507648587226868	0.2041892	Yes	
row_11	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	744	0.5488702058792114	0.22342385	Yes	
row_12	SOAT2	sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:11178]	808	0.5362963080406189	0.23828158	Yes	
row_13	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	1044	0.4943341314792633	0.2401909	Yes	
row_14	CYP39A1	cytochrome P450 family 39 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:17449]	1097	0.48577484488487244	0.25398636	Yes	
row_15	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6 [Source:HGNC Symbol;Acc:HGNC:23316]	1101	0.48485732078552246	0.2710133	Yes	
row_16	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	1195	0.47103703022003174	0.28155395	Yes	
row_17	ABCA4	ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]	1421	0.4423423111438751	0.28228217	Yes	
row_18	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	1472	0.4343760907649994	0.2943847	Yes	
row_19	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	1521	0.4280395209789276	0.3063953	Yes	
row_20	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1528	0.4270225167274475	0.32116753	Yes	
row_21	HACL1	2-hydroxyacyl-CoA lyase 1 [Source:HGNC Symbol;Acc:HGNC:17856]	2082	0.3702264130115509	0.2974843	Yes	
row_22	CH25H	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]	2096	0.3690379858016968	0.30973008	Yes	
row_23	PEX12	peroxisomal biogenesis factor 12 [Source:HGNC Symbol;Acc:HGNC:8854]	2289	0.34967878460884094	0.30936426	Yes	
