NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	47	0.9208692908287048	0.06151595	Yes	
row_1	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	331	0.6803900599479675	0.09046422	Yes	
row_2	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	506	0.6136736273765564	0.121974766	Yes	
row_3	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	877	0.5220950245857239	0.13402852	Yes	
row_4	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	935	0.5098968148231506	0.16603169	Yes	
row_5	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	1409	0.44363003969192505	0.16573104	Yes	
row_6	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	1639	0.4116555452346802	0.17940505	Yes	
row_7	PCYT2	phosphate cytidylyltransferase 2, ethanolamine [Source:HGNC Symbol;Acc:HGNC:8756]	1898	0.3855665624141693	0.18932007	Yes	
row_8	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	2252	0.35355323553085327	0.19067311	Yes	
row_9	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	2333	0.3464633524417877	0.20967527	Yes	
row_10	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	2344	0.34535548090934753	0.23325266	Yes	
row_11	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	2609	0.3255360424518585	0.23855503	Yes	
row_12	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	2796	0.31026721000671387	0.2479704	Yes	
row_13	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	2823	0.30769285559654236	0.26784053	Yes	
row_14	FBXO6	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	2974	0.2962881624698639	0.27866763	Yes	
row_15	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	3228	0.27941635251045227	0.28146383	Yes	
row_16	MAL2	mal, T cell differentiation protein 2 [Source:HGNC Symbol;Acc:HGNC:13634]	3365	0.27263882756233215	0.29156148	Yes	
row_17	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	3379	0.27194687724113464	0.3097866	Yes	
row_18	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	3780	0.2430206537246704	0.30025664	Yes	
