NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	135	0.7926698327064514	0.014690301	No	
row_1	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]	278	0.6995588541030884	0.0261281	No	
row_2	CCNO	cyclin O [Source:HGNC Symbol;Acc:HGNC:18576]	454	0.6265655159950256	0.0331783	No	
row_3	POLE4	DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]	619	0.5803919434547424	0.03958227	No	
row_4	NPR2	natriuretic peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:7944]	904	0.5173482298851013	0.036084607	No	
row_5	NELFE	negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974]	924	0.512262225151062	0.050136898	No	
row_6	POLR2H	RNA polymerase II, I and III subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	1127	0.48015958070755005	0.051004563	No	
row_7	POLR2A	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]	1273	0.45942598581314087	0.055059712	No	
row_8	PDE6G	phosphodiesterase 6G [Source:HGNC Symbol;Acc:HGNC:8789]	1344	0.4504934847354889	0.06385772	No	
row_9	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	1626	0.41321709752082825	0.057445947	No	
row_10	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	1633	0.41224297881126404	0.06937511	No	
row_11	TK2	thymidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11831]	1843	0.390963613986969	0.06710738	No	
row_12	TAF10	TATA-box binding protein associated factor 10 [Source:HGNC Symbol;Acc:HGNC:11543]	1861	0.38909032940864563	0.077609256	No	
row_13	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	1884	0.3870236873626709	0.08771533	No	
row_14	CETN2	centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]	1904	0.3848627805709839	0.097957164	No	
row_15	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	2132	0.36548277735710144	0.0937249	No	
row_16	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	2165	0.36190158128738403	0.102411576	No	
row_17	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	2201	0.35863229632377625	0.11080007	No	
row_18	SURF1	SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]	2293	0.34950992465019226	0.115174904	No	
row_19	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	2572	0.32790446281433105	0.10641188	No	
row_20	POM121	POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]	2712	0.3166782855987549	0.106598325	No	
row_21	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	2790	0.31094399094581604	0.11075487	No	
row_22	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	2798	0.31020164489746094	0.11956524	No	
row_23	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	2895	0.30208051204681396	0.12218748	No	
row_24	COX17	cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]	2950	0.2976127564907074	0.12748171	No	
row_25	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	3002	0.29363223910331726	0.13285728	No	
row_26	POLR2G	RNA polymerase II subunit G [Source:HGNC Symbol;Acc:HGNC:9194]	3170	0.28277716040611267	0.13015935	No	
row_27	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	3196	0.28100383281707764	0.13689402	No	
row_28	UMPS	uridine monophosphate synthetase [Source:HGNC Symbol;Acc:HGNC:12563]	3777	0.2432960420846939	0.10542672	No	
row_29	GMPR2	guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]	4070	0.22116850316524506	0.09253608	No	
row_30	SNAPC5	small nuclear RNA activating complex polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:15484]	4097	0.21912281215190887	0.097353116	No	
row_31	MPC2	mitochondrial pyruvate carrier 2 [Source:HGNC Symbol;Acc:HGNC:24515]	4220	0.21074606478214264	0.09550679	No	
row_32	DGUOK	deoxyguanosine kinase [Source:HGNC Symbol;Acc:HGNC:2858]	4230	0.21011288464069366	0.10118995	No	
row_33	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	4437	0.19565214216709137	0.09328095	No	
row_34	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	4450	0.19496789574623108	0.09831073	No	
row_35	POLR3GL	RNA polymerase III subunit GL [Source:HGNC Symbol;Acc:HGNC:28466]	4495	0.1916191428899765	0.10110275	No	
row_36	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	4626	0.18336038291454315	0.097902924	No	
row_37	GUK1	guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]	4656	0.18088604509830475	0.10137592	No	
row_38	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	5332	0.13632042706012726	0.060363017	No	
row_39	PRIM1	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]	5834	0.10296809673309326	0.029975804	No	
row_40	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	5936	0.09566140919923782	0.026090158	No	
row_41	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	6031	0.09104267507791519	0.022533972	No	
