NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	177	0.7591458559036255	0.0030063575	Yes	
row_1	CLIC3	chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064]	292	0.6954410076141357	0.008983972	Yes	
row_2	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	322	0.6845579147338867	0.020439545	Yes	
row_3	SLC37A1	solute carrier family 37 member 1 [Source:HGNC Symbol;Acc:HGNC:11024]	323	0.6845104694366455	0.033835806	Yes	
row_4	SEC14L2	SEC14 like lipid binding 2 [Source:HGNC Symbol;Acc:HGNC:10699]	389	0.6481045484542847	0.042167682	Yes	
row_5	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	424	0.6377860307693481	0.05237314	Yes	
row_6	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	500	0.615002453327179	0.05938767	Yes	
row_7	SOX3	SRY-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11199]	566	0.5961717367172241	0.06670319	Yes	
row_8	KCNK15	potassium two pore domain channel subfamily K member 15 [Source:HGNC Symbol;Acc:HGNC:13814]	713	0.5559684038162231	0.06780877	Yes	
row_9	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	719	0.5553183555603027	0.07834191	Yes	
row_10	TMPRSS3	transmembrane serine protease 3 [Source:HGNC Symbol;Acc:HGNC:11877]	729	0.5533201098442078	0.08856813	Yes	
row_11	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	750	0.5470845103263855	0.09793584	Yes	
row_12	SYT12	synaptotagmin 12 [Source:HGNC Symbol;Acc:HGNC:18381]	807	0.5364887714385986	0.1046859	Yes	
row_13	MLPH	melanophilin [Source:HGNC Symbol;Acc:HGNC:29643]	869	0.5236665606498718	0.11085027	Yes	
row_14	NHERF1	NHERF family PDZ scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:11075]	872	0.5228098034858704	0.12094805	Yes	
row_15	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	877	0.5220950245857239	0.13089794	Yes	
row_16	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	893	0.5187100768089294	0.1400451	Yes	
row_17	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	931	0.510986864566803	0.14756818	Yes	
row_18	P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	960	0.5063711404800415	0.15560348	Yes	
