NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CA4	carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]	71	0.8676177859306335	0.019215735	Yes	
row_1	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	79	0.8606908321380615	0.04251512	Yes	
row_2	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	102	0.822076141834259	0.06374627	Yes	
row_3	CPT2	carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330]	250	0.7099030017852783	0.07353042	Yes	
row_4	PRDX6	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	297	0.6943533420562744	0.08963156	Yes	
row_5	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	321	0.6846454739570618	0.10700093	Yes	
row_6	AQP7	aquaporin 7 [Source:HGNC Symbol;Acc:HGNC:640]	325	0.6838438510894775	0.12568408	Yes	
row_7	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	374	0.66069096326828	0.14072208	Yes	
row_8	MIX23	mitochondrial matrix import factor 23 [Source:HGNC Symbol;Acc:HGNC:31136]	398	0.643024742603302	0.15694214	Yes	
row_9	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	501	0.614895761013031	0.16710858	Yes	
row_10	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	520	0.6087660193443298	0.18271661	Yes	
row_11	IL4I1	interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]	557	0.598302960395813	0.19683339	Yes	
row_12	CRYZ	crystallin zeta [Source:HGNC Symbol;Acc:HGNC:2419]	651	0.5729928612709045	0.2064439	Yes	
row_13	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	739	0.5507648587226868	0.21584138	Yes	
row_14	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987]	748	0.5483180284500122	0.23044817	Yes	
row_15	SMS	spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]	819	0.533797562122345	0.24051265	Yes	
row_16	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]	841	0.5298944711685181	0.25374234	Yes	
row_17	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	1019	0.49803584814071655	0.25567216	Yes	
row_18	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	1030	0.4956775903701782	0.26869175	Yes	
row_19	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	1044	0.4943341314792633	0.28147385	Yes	
row_20	TDO2	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	1170	0.47435691952705383	0.28622317	Yes	
row_21	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	1185	0.47255265712738037	0.29833704	Yes	
