NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]	11	1.1402286291122437	0.026208894	Yes	
row_1	CHST4	carbohydrate sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:1972]	58	0.9022406339645386	0.04444876	Yes	
row_2	NOL3	nucleolar protein 3 [Source:HGNC Symbol;Acc:HGNC:7869]	160	0.7716240286827087	0.055917047	Yes	
row_3	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	225	0.7221808433532715	0.06869579	Yes	
row_4	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	321	0.6846454739570618	0.07851059	Yes	
row_5	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	335	0.6795850396156311	0.09369957	Yes	
row_6	B4GALT4	beta-1,4-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:927]	512	0.6119630932807922	0.09636997	Yes	
row_7	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	558	0.5981478095054626	0.10749051	Yes	
row_8	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	575	0.5919408798217773	0.12040729	Yes	
row_9	CLDN3	claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]	656	0.5716102719306946	0.1285558	Yes	
row_10	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	821	0.5333446860313416	0.13017225	Yes	
row_11	RPE	ribulose-5-phosphate-3-epimerase [Source:HGNC Symbol;Acc:HGNC:10293]	852	0.5271396040916443	0.1406197	Yes	
row_12	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	958	0.5067373514175415	0.14556019	Yes	
row_13	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	973	0.5047036409378052	0.15654938	Yes	
row_14	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	981	0.5032204985618591	0.1679725	Yes	
row_15	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	1142	0.477853000164032	0.16854556	Yes	
row_16	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	1204	0.4693650007247925	0.17555076	Yes	
row_17	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	1255	0.4613901674747467	0.18310447	Yes	
