NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	51	0.9160699248313904	0.017401163	No	
row_1	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13432]	108	0.8159231543540955	0.032192178	No	
row_2	NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	194	0.7487661838531494	0.04351631	No	
row_3	EPOR	erythropoietin receptor [Source:HGNC Symbol;Acc:HGNC:3416]	273	0.7010855078697205	0.05422557	No	
row_4	CLIC2	chloride intracellular channel 2 [Source:HGNC Symbol;Acc:HGNC:2063]	450	0.6273965239524841	0.05670137	No	
row_5	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	501	0.614895761013031	0.0673263	No	
row_6	XK	X-linked Kx blood group antigen, Kell and VPS13A binding protein [Source:HGNC Symbol;Acc:HGNC:12811]	613	0.5827975869178772	0.073139176	No	
row_7	SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	675	0.5670220255851746	0.08194011	No	
row_8	SPTA1	spectrin alpha, erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11272]	843	0.5297626256942749	0.082799874	No	
row_9	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1055	0.4932709038257599	0.07988557	No	
row_10	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]	1104	0.4840894639492035	0.087672226	No	
row_11	ALDH1L1	aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]	1132	0.4794063866138458	0.09675801	No	
row_12	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	1147	0.47700685262680054	0.10665935	No	
row_13	ERMAP	erythroblast membrane associated protein (Scianna blood group) [Source:HGNC Symbol;Acc:HGNC:15743]	1153	0.4759923815727234	0.11714002	No	
row_14	CCDC28A	coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:HGNC:21098]	1199	0.4705190658569336	0.12481913	No	
row_15	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	1218	0.4670344293117523	0.13422616	No	
row_16	RHCE	Rh blood group CcEe antigens [Source:HGNC Symbol;Acc:HGNC:10008]	1265	0.46044921875	0.14160953	No	
row_17	SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	1404	0.4442378878593445	0.142467	No	
row_18	ANK1	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]	1430	0.44122186303138733	0.15081903	No	
row_19	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	1536	0.4254744052886963	0.15345886	No	
row_20	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	1568	0.42125609517097473	0.16095565	No	
row_21	SELENBP1	selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]	1586	0.4182770550251007	0.16932178	No	
row_22	BLVRA	biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]	1913	0.3843570053577423	0.15623583	No	
row_23	FTCD	formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]	2232	0.3555544316768646	0.14303088	No	
row_24	SLC6A9	solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056]	2347	0.3452188968658447	0.1432448	No	
row_25	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	2478	0.33468756079673767	0.14214855	No	
row_26	MOCOS	molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:HGNC:18234]	2578	0.3275589346885681	0.14296515	No	
row_27	RBM38	RNA binding motif protein 38 [Source:HGNC Symbol;Acc:HGNC:15818]	2672	0.3197217583656311	0.14400527	No	
row_28	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	2676	0.31949734687805176	0.15106398	No	
row_29	MKRN1	makorin ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:7112]	2757	0.31338560581207275	0.15283021	No	
row_30	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	2790	0.31094399094581604	0.1577536	No	
row_31	ARHGEF12	Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193]	2914	0.3003944158554077	0.15634666	No	
row_32	HDGF	heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	3048	0.2904910445213318	0.15404542	No	
row_33	OSBP2	oxysterol binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8504]	3071	0.28872865438461304	0.15913333	No	
row_34	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	3112	0.2861061990261078	0.16295694	No	
row_35	GYPE	glycophorin E (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4705]	3468	0.26700758934020996	0.14526366	No	
row_36	ACP5	acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]	3522	0.2628151774406433	0.14768796	No	
row_37	SPTB	spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]	3632	0.25387200713157654	0.14616098	No	
row_38	HEBP1	heme binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17176]	3765	0.24422971904277802	0.14287552	No	
row_39	SLC22A4	solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]	3909	0.2333989143371582	0.13860774	No	
row_40	KLF1	KLF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:6345]	3960	0.22880525887012482	0.14046006	No	
row_41	UBAC1	UBA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30221]	4044	0.22255857288837433	0.13996176	No	
row_42	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]	4155	0.21541720628738403	0.1374941	No	
row_43	SLC30A1	solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]	4384	0.19952021539211273	0.1267675	No	
row_44	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	4411	0.19793222844600677	0.12952466	No	
row_45	ATG4A	autophagy related 4A cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16489]	4534	0.1886671483516693	0.12564604	No	
row_46	KLF3	KLF transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:16516]	4597	0.18471024930477142	0.12569329	No	
row_47	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:24921]	4611	0.18410789966583252	0.12900645	No	
row_48	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	4617	0.18370139598846436	0.13284577	No	
row_49	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	4646	0.18151745200157166	0.13509612	No	
row_50	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	4820	0.17037567496299744	0.12738845	No	
row_51	NFE2L1	NFE2 like bZIP transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7781]	5080	0.15292856097221375	0.11352838	No	
row_52	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	5210	0.14415104687213898	0.108169764	No	
row_53	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	5385	0.13389642536640167	0.099566296	No	
row_54	MYL4	myosin light chain 4 [Source:HGNC Symbol;Acc:HGNC:7585]	5416	0.13151486217975616	0.10054663	No	
row_55	RAD23A	RAD23 homolog A, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9812]	5440	0.13035844266414642	0.1019692	No	
row_56	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	5768	0.10725734382867813	0.08252017	No	
row_57	MFHAS1	multifunctional ROCO family signaling regulator 1 [Source:HGNC Symbol;Acc:HGNC:16982]	5821	0.1040770560503006	0.08140461	No	
row_58	FOXJ2	forkhead box J2 [Source:HGNC Symbol;Acc:HGNC:24818]	5911	0.09713705629110336	0.07765496	No	
row_59	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]	5930	0.09600535035133362	0.07863162	No	
row_60	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	6270	0.077337346971035	0.057699602	No	
row_61	KEL	Kell metallo-endopeptidase (Kell blood group) [Source:HGNC Symbol;Acc:HGNC:6308]	6294	0.07592809945344925	0.057885423	No	
row_62	UROD	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	6334	0.0737418681383133	0.056950692	No	
row_63	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	6404	0.07020341604948044	0.05392766	No	
row_64	FBXO9	F-box protein 9 [Source:HGNC Symbol;Acc:HGNC:13588]	6506	0.06514257937669754	0.048647884	No	
row_65	HTATIP2	HIV-1 Tat interactive protein 2 [Source:HGNC Symbol;Acc:HGNC:16637]	6539	0.06322970241308212	0.047942806	No	
row_66	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	6619	0.058275237679481506	0.04397945	No	
