NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC39A8	solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]	65	0.8841834664344788	0.0153766945	Yes	
row_1	TNFRSF18	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	70	0.8735011219978333	0.034598857	Yes	
row_2	SLC29A2	solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]	133	0.794270932674408	0.048170228	Yes	
row_3	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	322	0.6845579147338867	0.0508582	Yes	
row_4	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	350	0.6745936274528503	0.06410245	Yes	
row_5	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	501	0.614895761013031	0.06778011	Yes	
row_6	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	506	0.6136736273765564	0.081204884	Yes	
row_7	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	563	0.5966947078704834	0.09076953	Yes	
row_8	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	578	0.5911154747009277	0.103021495	Yes	
row_9	TTC39B	tetratricopeptide repeat domain 39B [Source:HGNC Symbol;Acc:HGNC:23704]	620	0.5796314477920532	0.113209635	Yes	
row_10	SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	660	0.5709272623062134	0.123337455	Yes	
row_11	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	695	0.5616561770439148	0.13359316	Yes	
row_12	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	859	0.5255331993103027	0.1344066	Yes	
row_13	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	953	0.5070358514785767	0.13949366	Yes	
row_14	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	965	0.5057132244110107	0.15004094	Yes	
row_15	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	1245	0.4637308716773987	0.14170946	Yes	
row_16	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	1247	0.46354126930236816	0.15198526	Yes	
row_17	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	1263	0.46052640676498413	0.16125652	Yes	
row_18	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	1271	0.4597019851207733	0.17104496	Yes	
row_19	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	1287	0.45722997188568115	0.18024267	Yes	
row_20	GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	1327	0.45302486419677734	0.1877398	Yes	
row_21	CTSZ	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	1552	0.4234985411167145	0.18219277	Yes	
row_22	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	1572	0.42085057497024536	0.19031097	Yes	
row_23	TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	1631	0.41268378496170044	0.19563599	Yes	
row_24	DRC1	dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]	1692	0.40747517347335815	0.2007109	Yes	
row_25	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1727	0.4024505019187927	0.20741433	Yes	
row_26	LCLAT1	lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]	1750	0.39939141273498535	0.21485287	Yes	
row_27	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	1850	0.3902570307254791	0.21693262	Yes	
row_28	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	1973	0.3794270157814026	0.21723095	Yes	
row_29	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	2127	0.3657399117946625	0.21514848	Yes	
row_30	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	2133	0.3653925061225891	0.22296654	Yes	
row_31	F2RL2	coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539]	2168	0.3615672290325165	0.22875777	Yes	
row_32	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	2262	0.3523011803627014	0.23039232	Yes	
row_33	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	2283	0.35010185837745667	0.236865	Yes	
row_34	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	2338	0.345674067735672	0.24096265	Yes	
row_35	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	2351	0.3445635437965393	0.24784733	Yes	
row_36	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	2393	0.34108489751815796	0.2527129	Yes	
row_37	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	2415	0.3389780521392822	0.25887045	Yes	
row_38	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	2421	0.3386108875274658	0.26609093	Yes	
row_39	CD44	CD44 molecule (IN blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	2675	0.31950637698173523	0.25628212	Yes	
row_40	TWSG1	twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]	2780	0.31159472465515137	0.256272	Yes	
row_41	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	2782	0.31143298745155334	0.26315385	Yes	
row_42	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	2812	0.3086118996143341	0.26809826	Yes	
row_43	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	2865	0.30440375208854675	0.27140898	Yes	
row_44	LTB	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	3095	0.28714719414711	0.26248488	Yes	
row_45	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	3109	0.2863197922706604	0.26800305	Yes	
row_46	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	3198	0.28096804022789	0.26838073	Yes	
row_47	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	3336	0.27443957328796387	0.26533228	Yes	
row_48	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	3359	0.2730807960033417	0.26995254	Yes	
row_49	CDC42SE2	CDC42 small effector 2 [Source:HGNC Symbol;Acc:HGNC:18547]	3419	0.2699909210205078	0.27202678	Yes	
row_50	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	3504	0.2643614411354065	0.2723017	Yes	
row_51	SCN9A	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	3540	0.2611939013004303	0.27578643	Yes	
row_52	ETV4	ETS variant transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3493]	3581	0.25834330916404724	0.2788728	Yes	
row_53	UMPS	uridine monophosphate synthetase [Source:HGNC Symbol;Acc:HGNC:12563]	3777	0.2432960420846939	0.2712465	Yes	
row_54	SYNGR2	synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]	3811	0.24081356823444366	0.27441034	Yes	
row_55	TNFSF11	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	3850	0.23803700506687164	0.2771775	Yes	
row_56	BATF3	basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]	3876	0.2356095016002655	0.28076085	Yes	
row_57	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:3356]	4040	0.22284965217113495	0.27482066	Yes	
row_58	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	4100	0.21889100968837738	0.27575475	Yes	
row_59	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	4185	0.21281081438064575	0.27487946	Yes	
row_60	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	4202	0.21198593080043793	0.27853823	Yes	
row_61	TLR7	toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]	4294	0.20546957850456238	0.2770305	Yes	
row_62	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	4299	0.20488996803760529	0.2813343	Yes	
row_63	AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	4334	0.20311614871025085	0.28359008	Yes	
row_64	PHLDA1	pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]	4559	0.18675144016742706	0.27276066	No	
row_65	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	4576	0.18574751913547516	0.27583396	No	
row_66	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	4620	0.18360535800457	0.2770519	No	
row_67	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	4903	0.1657739132642746	0.26187143	No	
row_68	SPRED2	sprouty related EVH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17722]	4908	0.16530728340148926	0.26529205	No	
row_69	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	4932	0.16350604593753815	0.26740047	No	
row_70	EEF1AKMT1	EEF1A lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27351]	4946	0.16248859465122223	0.27015567	No	
row_71	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	5063	0.1545485109090805	0.2658381	No	
row_72	CISH	cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]	5072	0.15385177731513977	0.26873532	No	
row_73	TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	5113	0.15047989785671234	0.26941496	No	
row_74	PDCD2L	programmed cell death 2 like [Source:HGNC Symbol;Acc:HGNC:28194]	5149	0.1479555070400238	0.27037305	No	
row_75	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	5166	0.14698010683059692	0.27258137	No	
row_76	SNX9	sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]	5283	0.13940489292144775	0.2679259	No	
row_77	SWAP70	switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]	5376	0.13434524834156036	0.26476425	No	
row_78	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	5421	0.1313217580318451	0.26474866	No	
row_79	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	5459	0.1292213648557663	0.26515484	No	
row_80	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	5484	0.1273239403963089	0.26638898	No	
row_81	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	5507	0.1253173053264618	0.2677123	No	
row_82	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	5522	0.12388230115175247	0.26953912	No	
row_83	P2RX4	purinergic receptor P2X 4 [Source:HGNC Symbol;Acc:HGNC:8535]	5620	0.1167604923248291	0.2656504	No	
row_84	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	5868	0.10020909458398819	0.2513502	No	
