NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	166	0.766907274723053	0.004801913	Yes	
row_1	TACR1	tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526]	186	0.7551918625831604	0.019197505	Yes	
row_2	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	189	0.7535914778709412	0.034697477	Yes	
row_3	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	225	0.7221808433532715	0.047337566	Yes	
row_4	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	263	0.7052456140518188	0.05949249	Yes	
row_5	CD70	CD70 molecule [Source:HGNC Symbol;Acc:HGNC:11937]	268	0.7029843330383301	0.073808745	Yes	
row_6	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	446	0.6283687353134155	0.075000495	Yes	
row_7	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	504	0.614563524723053	0.08393582	Yes	
row_8	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	539	0.6033596992492676	0.0941778	Yes	
row_9	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	575	0.5919408798217773	0.10411596	Yes	
row_10	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	578	0.5911154747009277	0.116245255	Yes	
row_11	CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	590	0.5879846811294556	0.12770735	Yes	
row_12	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	638	0.5751463174819946	0.1364941	Yes	
row_13	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	650	0.5732322931289673	0.14765014	Yes	
row_14	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	669	0.5688111186027527	0.15824604	Yes	
row_15	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	695	0.5616561770439148	0.1682251	Yes	
row_16	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	757	0.5458749532699585	0.17546776	Yes	
row_17	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	784	0.5410662889480591	0.18495275	Yes	
row_18	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	859	0.5255331993103027	0.1909035	Yes	
row_19	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	866	0.5240809321403503	0.20137444	Yes	
row_20	KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6286]	878	0.5218834280967712	0.21146521	Yes	
row_21	C5AR1	complement C5a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1338]	888	0.519706666469574	0.22164465	Yes	
row_22	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	911	0.5153252482414246	0.23086329	Yes	
row_23	P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	960	0.5063711404800415	0.23815633	Yes	
row_24	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]	1063	0.4921214282512665	0.24154027	Yes	
row_25	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	1076	0.48943912982940674	0.25089106	Yes	
row_26	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	1094	0.4863850474357605	0.2598439	Yes	
row_27	PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	1222	0.46618765592575073	0.26101688	Yes	
row_28	MEFV	MEFV innate immunity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	1241	0.46402260661125183	0.2694389	Yes	
row_29	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	1281	0.4583624005317688	0.2763382	Yes	
row_30	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	1287	0.45722997188568115	0.28548917	Yes	
row_31	EBI3	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]	1307	0.45477616786956787	0.29365245	Yes	
row_32	GPR132	G protein-coupled receptor 132 [Source:HGNC Symbol;Acc:HGNC:17482]	1557	0.4230678379535675	0.28576708	Yes	
row_33	SCARF1	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]	1569	0.4211955964565277	0.293769	Yes	
row_34	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	1572	0.42085057497024536	0.30236602	Yes	
row_35	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	1624	0.41352325677871704	0.30753213	Yes	
row_36	MARCO	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895]	1625	0.4133266508579254	0.3161069	Yes	
