NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	51	0.9160699248313904	0.016741272	Yes	
row_1	THNSL2	threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602]	68	0.8781638145446777	0.03498773	Yes	
row_2	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	85	0.8497140407562256	0.052608415	Yes	
row_3	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	139	0.7874956727027893	0.066387974	Yes	
row_4	PAX3	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	223	0.7229543328285217	0.0767431	Yes	
row_5	ZC2HC1C	zinc finger C2HC-type containing 1C [Source:HGNC Symbol;Acc:HGNC:20354]	244	0.7118266820907593	0.091063574	Yes	
row_6	PDE6B	phosphodiesterase 6B [Source:HGNC Symbol;Acc:HGNC:8786]	247	0.7109879851341248	0.106568485	Yes	
row_7	GPR3	G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484]	290	0.6963524222373962	0.1190784	Yes	
row_8	PLAG1	PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]	345	0.6763177514076233	0.13034572	Yes	
row_9	FGGY	FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]	423	0.6382997035980225	0.13923977	Yes	
row_10	MYO15A	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]	490	0.6180423498153687	0.14842336	Yes	
row_11	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	575	0.5919408798217773	0.15582995	Yes	
row_12	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	680	0.5648953318595886	0.16130511	Yes	
row_13	THRB	thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]	746	0.5484585165977478	0.169025	Yes	
row_14	ABCB11	ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]	837	0.5309048891067505	0.1746881	Yes	
