NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPRR	protein tyrosine phosphatase receptor type R [Source:HGNC Symbol;Acc:HGNC:9680]	39	0.9416179656982422	0.016479231	Yes	
row_1	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	78	0.8609330058097839	0.031389587	Yes	
row_2	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	137	0.7893103957176208	0.04350861	Yes	
row_3	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	184	0.7563445568084717	0.05576281	Yes	
row_4	TSPAN1	tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]	324	0.6842387318611145	0.06032771	Yes	
row_5	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	335	0.6795850396156311	0.07343626	Yes	
row_6	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	349	0.6748360991477966	0.086247645	Yes	
row_7	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	350	0.6745936274528503	0.09992462	Yes	
row_8	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	402	0.6420097947120667	0.10952594	Yes	
row_9	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6863]	449	0.6275226473808289	0.119168356	Yes	
row_10	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	501	0.614895761013031	0.12821996	Yes	
row_11	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	563	0.5966947078704834	0.13623294	Yes	
row_12	CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	590	0.5879846811294556	0.14641297	Yes	
row_13	PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	630	0.5767925977706909	0.1554956	Yes	
row_14	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	695	0.5616561770439148	0.1625973	Yes	
row_15	FLT4	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	702	0.5587539672851562	0.17352393	Yes	
