NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD2AP	CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]	295	0.6951239705085754	-0.0023438127	No	
row_1	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	352	0.6726871132850647	0.010759327	No	
row_2	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	756	0.5458938479423523	-0.0025577003	No	
row_3	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	806	0.5366195440292358	0.007605142	No	
row_4	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	858	0.525641679763794	0.017358966	No	
row_5	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	957	0.5069182515144348	0.023495438	No	
row_6	ARHGEF3	Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]	986	0.5025464296340942	0.034211233	No	
row_7	DOCK2	dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:HGNC:2988]	999	0.5003454089164734	0.045943625	No	
row_8	CLASP1	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]	1028	0.49610036611557007	0.056497913	No	
row_9	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]	1050	0.4936598241329193	0.06745994	No	
row_10	ARHGAP27	Rho GTPase activating protein 27 [Source:HGNC Symbol;Acc:HGNC:31813]	1240	0.46413567662239075	0.066428974	No	
row_11	KIFAP3	kinesin associated protein 3 [Source:HGNC Symbol;Acc:HGNC:17060]	1244	0.4637998640537262	0.07784856	No	
row_12	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	1271	0.4597019851207733	0.087624855	No	
row_13	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	1374	0.4479064643383026	0.09201485	No	
row_14	SHROOM1	shroom family member 1 [Source:HGNC Symbol;Acc:HGNC:24084]	1561	0.42257413268089294	0.0901435	No	
row_15	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	1993	0.3784469664096832	0.070755534	No	
row_16	KNTC1	kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255]	2031	0.3749435245990753	0.07767138	No	
row_17	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	2632	0.32300472259521484	0.04557405	No	
row_18	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	2676	0.31949734687805176	0.050698783	No	
row_19	RHOF	ras homolog family member F, filopodia associated [Source:HGNC Symbol;Acc:HGNC:15703]	2882	0.3029422163963318	0.04455736	No	
row_20	ARHGEF12	Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193]	2914	0.3003944158554077	0.050007273	No	
row_21	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	2971	0.29645246267318726	0.05368382	No	
row_22	WASF2	WASP family member 2 [Source:HGNC Symbol;Acc:HGNC:12733]	2996	0.2945237457752228	0.05945553	No	
row_23	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	3090	0.28747719526290894	0.060428806	No	
row_24	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	3384	0.2718408703804016	0.04761357	No	
row_25	RANBP9	RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]	3400	0.2709636390209198	0.053397827	No	
row_26	CEP57	centrosomal protein 57 [Source:HGNC Symbol;Acc:HGNC:30794]	3420	0.2698284387588501	0.058885712	No	
row_27	CDC42EP4	CDC42 effector protein 4 [Source:HGNC Symbol;Acc:HGNC:17147]	3464	0.2671527564525604	0.062698945	No	
row_28	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	3480	0.2661456763744354	0.06836249	No	
row_29	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	3567	0.2592017352581024	0.06909621	No	
row_30	RACGAP1	Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]	3781	0.24288475513458252	0.060914174	No	
row_31	TLK1	tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]	3950	0.2295345962047577	0.055411913	No	
row_32	PCNT	pericentrin [Source:HGNC Symbol;Acc:HGNC:16068]	4006	0.2255028784275055	0.0573778	No	
