NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMC2	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]	207	0.7389165759086609	0.0041123335	Yes	
row_1	PSPH	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	274	0.7005456686019897	0.016738141	Yes	
row_2	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	335	0.6795850396156311	0.029255876	Yes	
row_3	SYTL2	synaptotagmin like 2 [Source:HGNC Symbol;Acc:HGNC:15585]	382	0.6525513529777527	0.042053767	Yes	
row_4	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	446	0.6283687353134155	0.053124137	Yes	
row_5	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	579	0.5908175110816956	0.058657575	Yes	
row_6	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	589	0.5882241129875183	0.07236911	Yes	
row_7	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	739	0.5507648587226868	0.07578883	Yes	
row_8	NHERF1	NHERF family PDZ scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:11075]	872	0.5228098034858704	0.07966729	Yes	
row_9	CYB5B	cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374]	874	0.5222676396369934	0.09230977	Yes	
row_10	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	877	0.5220950245857239	0.104881056	Yes	
row_11	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	973	0.5047036409378052	0.110797964	Yes	
row_12	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	1121	0.4814651906490326	0.112665266	Yes	
row_13	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	1204	0.4693650007247925	0.118593216	Yes	
row_14	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	1218	0.4670344293117523	0.12908757	Yes	
row_15	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]	1343	0.45049524307250977	0.13174225	Yes	
row_16	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	1399	0.444580078125	0.13887611	Yes	
row_17	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	1568	0.42125609517097473	0.13787118	Yes	
row_18	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	1598	0.417113333940506	0.14607866	Yes	
row_19	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	1726	0.4025524854660034	0.14736564	Yes	
row_20	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1727	0.4024505019187927	0.15715936	Yes	
row_21	NUP205	nucleoporin 205 [Source:HGNC Symbol;Acc:HGNC:18658]	1821	0.393162339925766	0.16049588	Yes	
row_22	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	1825	0.3928772807121277	0.16985562	Yes	
row_23	CCT6A	chaperonin containing TCP1 subunit 6A [Source:HGNC Symbol;Acc:HGNC:1620]	1847	0.3904513716697693	0.1779503	Yes	
row_24	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	1850	0.3902570307254791	0.18731327	Yes	
row_25	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	1933	0.3826349377632141	0.19113064	Yes	
row_26	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	2010	0.37688079476356506	0.19520998	Yes	
row_27	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	2023	0.3757779896259308	0.20355059	Yes	
row_28	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	2174	0.36092305183410645	0.20228347	Yes	
row_29	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	2261	0.35230860114097595	0.20509483	Yes	
row_30	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	2343	0.34544283151626587	0.20807411	Yes	
row_31	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	2344	0.34535548090934753	0.2164784	Yes	
row_32	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	2478	0.33468756079673767	0.21571186	Yes	
row_33	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	2586	0.32720673084259033	0.21650533	Yes	
row_34	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	2632	0.32300472259521484	0.22135064	Yes	
row_35	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	2999	0.2941230535507202	0.20398557	Yes	
row_36	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	3000	0.2936888039112091	0.21113254	Yes	
row_37	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	3002	0.29363223910331726	0.21821114	Yes	
row_38	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	3085	0.28788670897483826	0.21972278	Yes	
row_39	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	3228	0.27941635251045227	0.2170082	Yes	
row_40	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	3236	0.2790755033493042	0.22333054	Yes	
row_41	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	3256	0.27826422452926636	0.22882913	Yes	
row_42	NFYC	nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]	3349	0.2737967073917389	0.22932787	Yes	
row_43	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	3379	0.27194687724113464	0.2340027	Yes	
row_44	POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	3422	0.2697608470916748	0.23775332	Yes	
row_45	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	3534	0.26183024048805237	0.23668782	Yes	
