NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC29A2	solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]	133	0.794270932674408	0.05355816	No	
row_1	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	589	0.5882241129875183	0.06954403	No	
row_2	MAP3K6	mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]	1566	0.42148053646087646	0.037827667	No	
row_3	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1727	0.4024505019187927	0.05881411	No	
row_4	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]	2323	0.3470763862133026	0.046558645	No	
row_5	PRMT3	protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]	2949	0.2976419925689697	0.028427433	No	
row_6	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	4695	0.17842809855937958	-0.073457256	No	
row_7	IPO4	importin 4 [Source:HGNC Symbol;Acc:HGNC:19426]	5923	0.0964430421590805	-0.14737718	No	
row_8	WDR74	WD repeat domain 74 [Source:HGNC Symbol;Acc:HGNC:25529]	5933	0.09590861946344376	-0.14044109	No	
row_9	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	5963	0.09450727701187134	-0.13494347	No	
row_10	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21034]	6166	0.08358839899301529	-0.14179398	No	
row_11	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	6516	0.0644407644867897	-0.15991214	No	
row_12	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	6764	0.05004162713885307	-0.17238668	No	
row_13	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	6977	0.03744085133075714	-0.18352637	No	
row_14	NIP7	nucleolar pre-rRNA processing protein NIP7 [Source:HGNC Symbol;Acc:HGNC:24328]	7038	0.03462950140237808	-0.18479127	No	
row_15	UTP20	UTP20 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:17897]	7165	0.027392754331231117	-0.19100825	No	
row_16	TCOF1	treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]	7232	0.024048836901783943	-0.1935028	No	
row_17	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	7254	0.02291598916053772	-0.19309749	No	
row_18	TBRG4	transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]	7482	0.010745949111878872	-0.2073304	No	
row_19	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	7572	0.005241775419563055	-0.21282992	No	
row_20	TFB2M	transcription factor B2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:18559]	7600	0.003192179836332798	-0.21437247	No	
row_21	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	7735	-0.00371737708337605	-0.22298057	No	
row_22	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	8256	-0.033118244260549545	-0.2549168	No	
row_23	RCL1	RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687]	8307	-0.03608417510986328	-0.25540322	No	
row_24	WDR43	WD repeat domain 43 [Source:HGNC Symbol;Acc:HGNC:28945]	9020	-0.07672097533941269	-0.2966667	No	
row_25	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	9569	-0.10652592778205872	-0.3246963	No	
row_26	MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	9587	-0.10777845978736877	-0.31735918	No	
row_27	PHB1	prohibitin 1 [Source:HGNC Symbol;Acc:HGNC:8912]	9589	-0.10782576352357864	-0.30895564	No	
row_28	MPHOSPH10	M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]	9610	-0.10874257236719131	-0.30174202	No	
