NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	54	0.909200131893158	0.01560762	No	
row_1	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	78	0.8609330058097839	0.032270513	No	
row_2	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	102	0.822076141834259	0.048111837	No	
row_3	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	138	0.7890703678131104	0.06245178	No	
row_4	ZNF365	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]	164	0.7684243321418762	0.0770248	No	
row_5	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	300	0.6928027868270874	0.0826332	No	
row_6	GLS2	glutaminase 2 [Source:HGNC Symbol;Acc:HGNC:29570]	313	0.6873949766159058	0.09636349	No	
row_7	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	424	0.6377860307693481	0.10248268	No	
row_8	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	500	0.615002453327179	0.11046378	No	
row_9	TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	861	0.5248197913169861	0.09745417	No	
row_10	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	893	0.5187100768089294	0.10634563	No	
row_11	RHBDF2	rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]	1084	0.4880673289299011	0.10394236	No	
row_12	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	1196	0.47101786732673645	0.10646855	No	
row_13	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	1218	0.4670344293117523	0.11493703	No	
row_14	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	1255	0.4613901674747467	0.12228175	No	
row_15	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	1372	0.4479124844074249	0.12398461	No	
row_16	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	1626	0.41321709752082825	0.1157802	No	
row_17	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	1746	0.39969125390052795	0.11626261	No	
row_18	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	1769	0.3984054923057556	0.12321308	No	
row_19	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	1836	0.39189839363098145	0.12707968	No	
row_20	TP63	tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]	1876	0.38768360018730164	0.13266511	No	
row_21	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	2133	0.3653925061225891	0.123248644	No	
row_22	DEF6	DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]	2317	0.3475281000137329	0.11834264	No	
row_23	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	2414	0.3393102288246155	0.1190885	No	
row_24	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	2466	0.3358154892921448	0.12277374	No	
row_25	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	2475	0.3348709046840668	0.12931834	No	
row_26	STEAP3	STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]	2539	0.33102232217788696	0.1320987	No	
row_27	CLCA2	chloride channel accessory 2 [Source:HGNC Symbol;Acc:HGNC:2016]	2607	0.32566580176353455	0.13449796	No	
row_28	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	2661	0.3210686445236206	0.13773747	No	
row_29	POM121	POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]	2712	0.3166782855987549	0.14108504	No	
row_30	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	3024	0.2920835614204407	0.1264357	No	
row_31	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	3085	0.28788670897483826	0.12850492	No	
row_32	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	3198	0.28096804022789	0.12694585	No	
row_33	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	3269	0.2777979075908661	0.12813213	No	
row_34	WWP1	WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004]	3380	0.271943598985672	0.1265162	No	
row_35	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	3547	0.2609737515449524	0.120918475	No	
row_36	EPS8L2	EPS8 signaling adaptor L2 [Source:HGNC Symbol;Acc:HGNC:21296]	3598	0.25678399205207825	0.12299968	No	
row_37	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	3601	0.256484717130661	0.1282887	No	
row_38	RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17479]	3645	0.25295373797416687	0.13075766	No	
row_39	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	3734	0.24675211310386658	0.13008222	No	
row_40	BAIAP2	BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947]	3812	0.24077992141246796	0.1300171	No	
row_41	H2AC25	H2A clustered histone 25 [Source:HGNC Symbol;Acc:HGNC:20507]	3869	0.23607081174850464	0.13125859	No	
row_42	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	3951	0.22951096296310425	0.13068736	No	
row_43	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	3966	0.22838430106639862	0.1345787	No	
row_44	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	4177	0.21361495554447174	0.12503336	No	
row_45	HDAC3	histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]	4317	0.2041177749633789	0.12004148	No	
row_46	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	4466	0.19403094053268433	0.11423367	No	
row_47	CDKN2AIP	CDKN2A interacting protein [Source:HGNC Symbol;Acc:HGNC:24325]	4541	0.18800903856754303	0.113253675	No	
row_48	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	4592	0.18490341305732727	0.113815084	No	
row_49	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	4649	0.18118983507156372	0.11389621	No	
row_50	ST14	ST14 transmembrane serine protease matriptase [Source:HGNC Symbol;Acc:HGNC:11344]	4881	0.16672676801681519	0.10195332	No	
row_51	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	4888	0.16623978316783905	0.10506641	No	
row_52	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	4897	0.16592977941036224	0.10803904	No	
row_53	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	4943	0.16258172690868378	0.108463295	No	
row_54	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	5026	0.15747720003128052	0.10630207	No	
row_55	NHLH2	nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818]	5106	0.1508934646844864	0.10420252	No	
row_56	DCXR	dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]	5117	0.15016360580921173	0.10670786	No	
row_57	CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	5170	0.14669658243656158	0.10632753	No	
row_58	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	5194	0.14527767896652222	0.107859075	No	
row_59	TM7SF3	transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]	5203	0.144608274102211	0.11038089	No	
row_60	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	5210	0.14415104687213898	0.113026954	No	
row_61	GM2A	ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367]	5266	0.140191450715065	0.112308204	No	
row_62	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]	5288	0.138902485370636	0.113838874	No	
row_63	ANKRA2	ankyrin repeat family A member 2 [Source:HGNC Symbol;Acc:HGNC:13208]	5395	0.13310115039348602	0.109555185	No	
row_64	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	5417	0.1315106302499771	0.11092957	No	
row_65	NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	5512	0.1249527707695961	0.107277125	No	
row_66	MAPKAPK3	MAPK activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888]	5544	0.12261923402547836	0.10779391	No	
row_67	TRAFD1	TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]	5711	0.11095882952213287	0.09902438	No	
row_68	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	5868	0.10020909458398819	0.09069717	No	
row_69	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	5943	0.09547179937362671	0.08776063	No	
row_70	RAP2B	RAP2B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9862]	6178	0.08251437544822693	0.07383631	No	
row_71	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	6264	0.07789827883243561	0.06979163	No	
row_72	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	6290	0.07644469290971756	0.069733895	No	
row_73	NUDT15	nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063]	6388	0.07090019434690475	0.06473772	No	
row_74	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	6393	0.07072115689516068	0.06596515	No	
row_75	POLH	DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181]	6429	0.0687299370765686	0.06507469	No	
row_76	FGF13	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]	6597	0.05970582365989685	0.055154536	No	
row_77	SESN1	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]	6700	0.05338654667139053	0.049453255	No	
row_78	PIDD1	p53-induced death domain protein 1 [Source:HGNC Symbol;Acc:HGNC:16491]	6838	0.045826882123947144	0.04124849	No	
