NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK1	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]	303	0.6907934546470642	0.055046316	No	
row_1	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	390	0.6480470895767212	0.11983554	No	
row_2	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]	1294	0.45653265714645386	0.10960372	No	
row_3	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	2211	0.35761600732803345	0.08774969	No	
row_4	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	2890	0.30238884687423706	0.075673796	No	
row_5	FOXA2	forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]	3193	0.2814688980579376	0.086260915	No	
row_6	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	3304	0.27612969279289246	0.10900188	No	
row_7	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	3926	0.2316630482673645	0.09301317	No	
row_8	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	4096	0.2191622257232666	0.10564407	No	
row_9	NKX6-1	NK6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7839]	4632	0.18288032710552216	0.090052925	No	
row_10	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	4982	0.1601245105266571	0.084323116	No	
row_11	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	5342	0.1359853744506836	0.07530423	No	
row_12	SCGN	secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]	5343	0.13598380982875824	0.09009628	No	
row_13	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]	5930	0.09600535035133362	0.061672408	No	
row_14	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	6018	0.09156765788793564	0.06586257	No	
row_15	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	8863	-0.06825020164251328	-0.11534498	No	
row_16	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	9018	-0.07658877968788147	-0.11722804	No	
row_17	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	9641	-0.1102677509188652	-0.14648822	No	
row_18	PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	10139	-0.140025332570076	-0.16422066	No	
row_19	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	10259	-0.14683963358402252	-0.15614055	No	
row_20	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	10398	-0.155870258808136	-0.1483383	No	
row_21	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	10690	-0.17228136956691742	-0.1488988	No	
row_22	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	10705	-0.17353692650794983	-0.13095036	No	
row_23	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	11458	-0.22207684814929962	-0.15667057	No	
row_24	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	11544	-0.22768278419971466	-0.13754141	No	
row_25	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	12389	-0.2861543297767639	-0.16239342	No	
row_26	SRPRB	SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]	12439	-0.2901556193828583	-0.13408084	No	
row_27	INSM1	INSM transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:6090]	13957	-0.4318965673446655	-0.18771683	Yes	
row_28	NKX2-2	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	14156	-0.46045008301734924	-0.15076256	Yes	
row_29	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	14255	-0.4765018820762634	-0.10542959	Yes	
row_30	DCX	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	14316	-0.4860312342643738	-0.05653964	Yes	
row_31	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	14411	-0.5002751350402832	-0.008355362	Yes	
row_32	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	14419	-0.5017995238304138	0.045765113	Yes	
