NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	363	0.664225697517395	0.013102201	No	
row_1	CD63	CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]	406	0.6416715383529663	0.046310384	No	
row_2	VAMP4	vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645]	641	0.5745991468429565	0.06297215	No	
row_3	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	827	0.5328671336174011	0.080554634	No	
row_4	BET1	Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]	865	0.5242935419082642	0.107509576	No	
row_5	SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]	1530	0.4267573356628418	0.08724739	No	
row_6	TMX1	thioredoxin related transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:15487]	1563	0.4222177565097809	0.108807705	No	
row_7	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	2453	0.33668676018714905	0.06851159	No	
row_8	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	3107	0.2864467203617096	0.041108873	No	
row_9	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	3145	0.2844105362892151	0.054603882	No	
row_10	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	3727	0.24719519913196564	0.02979235	No	
row_11	COPB2	COPI coat complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	3817	0.24058090150356293	0.03736601	No	
row_12	AP3S1	adaptor related protein complex 3 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:2013]	4260	0.20826682448387146	0.01962452	No	
row_13	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	4450	0.19496789574623108	0.017981026	No	
row_14	ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	4548	0.18766115605831146	0.022052715	No	
row_15	STX7	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	4628	0.18323567509651184	0.027074492	No	
row_16	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	4718	0.1769089549779892	0.031075493	No	
row_17	SEC22B	SEC22 homolog B, vesicle trafficking protein [Source:HGNC Symbol;Acc:HGNC:10700]	4790	0.17224501073360443	0.0360132	No	
row_18	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	5148	0.14796338975429535	0.02054718	No	
row_19	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	5202	0.144644632935524	0.025134621	No	
row_20	GALC	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]	5494	0.1263875812292099	0.012852114	No	
row_21	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	6056	0.0902336835861206	-0.019435035	No	
row_22	SCRN1	secernin 1 [Source:HGNC Symbol;Acc:HGNC:22192]	6096	0.08828973025083542	-0.0170776	No	
row_23	NAPG	NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642]	6148	0.08502617478370667	-0.01570222	No	
row_24	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	6270	0.077337346971035	-0.019418715	No	
row_25	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	6337	0.07354284822940826	-0.019686336	No	
row_26	USO1	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]	6407	0.07014331221580505	-0.02034444	No	
row_27	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	6678	0.054628096520900726	-0.035255264	No	
row_28	ZW10	zw10 kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13194]	6886	0.04299142211675644	-0.046624623	No	
row_29	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]	6888	0.04268563911318779	-0.044296093	No	
row_30	CLN5	CLN5 intracellular trafficking protein [Source:HGNC Symbol;Acc:HGNC:2076]	6979	0.03738517686724663	-0.048190407	No	
row_31	ATP6V1H	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	7166	0.02738526649773121	-0.059037294	No	
row_32	COPB1	COPI coat complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]	7217	0.024748122319579124	-0.060977563	No	
row_33	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	7406	0.015276461839675903	-0.07263704	No	
row_34	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	7711	-0.002730845008045435	-0.09272349	No	
row_35	GOLGA4	golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]	7712	-0.0027734339237213135	-0.09256787	No	
row_36	RAB5A	RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]	7913	-0.013088822364807129	-0.10514903	No	
row_37	ARCN1	archain 1 [Source:HGNC Symbol;Acc:HGNC:649]	8085	-0.0235938411206007	-0.11520999	No	
row_38	DST	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	8253	-0.0330551341176033	-0.12447376	No	
row_39	PAM	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	8390	-0.03984823077917099	-0.13129245	No	
row_40	DNM1L	dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]	8431	-0.04209331423044205	-0.13159369	No	
row_41	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	8432	-0.042127788066864014	-0.12922989	No	
row_42	ARFIP1	ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]	8694	-0.05923153832554817	-0.14328322	No	
row_43	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	8719	-0.06061619520187378	-0.14147988	No	
