NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	85	0.8497140407562256	0.024980217	Yes	
row_1	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	183	0.7570927143096924	0.04582059	Yes	
row_2	ZC2HC1C	zinc finger C2HC-type containing 1C [Source:HGNC Symbol;Acc:HGNC:20354]	244	0.7118266820907593	0.06749385	Yes	
row_3	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	402	0.6420097947120667	0.08018603	Yes	
row_4	HSPA1L	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]	611	0.5828813314437866	0.087347634	Yes	
row_5	SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	660	0.5709272623062134	0.104739115	Yes	
row_6	SLC2A5	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	722	0.5545562505722046	0.120673984	Yes	
row_7	NPHP1	nephrocystin 1 [Source:HGNC Symbol;Acc:HGNC:7905]	978	0.5036186575889587	0.12184542	Yes	
row_8	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	1196	0.47101786732673645	0.12437312	Yes	
row_9	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	1246	0.46364468336105347	0.13782896	Yes	
row_10	CLGN	calmegin [Source:HGNC Symbol;Acc:HGNC:2060]	1301	0.45561039447784424	0.15066189	Yes	
row_11	GSTM3	glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]	1347	0.4501124322414398	0.16389623	Yes	
row_12	DMRT1	doublesex and mab-3 related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2934]	1370	0.4481023848056793	0.17859058	Yes	
row_13	PGS1	phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]	1506	0.4295991361141205	0.18508834	Yes	
row_14	ELOVL3	ELOVL fatty acid elongase 3 [Source:HGNC Symbol;Acc:HGNC:18047]	1690	0.4075774550437927	0.18759361	Yes	
row_15	CCT6B	chaperonin containing TCP1 subunit 6B [Source:HGNC Symbol;Acc:HGNC:1621]	1703	0.40602201223373413	0.2014367	Yes	
