NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	225	0.7221808433532715	0.010977417	No	
row_1	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	286	0.6974493861198425	0.032077823	No	
row_2	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987]	748	0.5483180284500122	0.021044685	No	
row_3	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	911	0.5153252482414246	0.028781226	No	
row_4	KALRN	kalirin RhoGEF kinase [Source:HGNC Symbol;Acc:HGNC:4814]	1038	0.4948538839817047	0.03818377	No	
row_5	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	1076	0.48943912982940674	0.053331867	No	
row_6	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	1121	0.4814651906490326	0.06772571	No	
row_7	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	1470	0.4351840615272522	0.060162608	No	
row_8	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1528	0.4270225167274475	0.07172904	No	
row_9	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	2029	0.37513116002082825	0.051858786	No	
row_10	SYNE1	spectrin repeat containing nuclear envelope protein 1 [Source:HGNC Symbol;Acc:HGNC:17089]	2208	0.3581683039665222	0.052870397	No	
row_11	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	2262	0.3523011803627014	0.062014163	No	
row_12	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	2265	0.3521447479724884	0.07455638	No	
row_13	SYNJ2	synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]	2695	0.3183532953262329	0.057381388	No	
row_14	SFMBT1	Scm like with four mbt domains 1 [Source:HGNC Symbol;Acc:HGNC:20255]	2853	0.305314302444458	0.057892162	No	
row_15	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	2907	0.3009907305240631	0.065188974	No	
row_16	MAP1B	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	3129	0.2853766679763794	0.06071028	No	
row_17	DBP	D-box binding PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:2697]	3535	0.261671245098114	0.043096896	No	
row_18	SDC2	syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]	3621	0.25492414832115173	0.046599608	No	
row_19	MGMT	O-6-methylguanine-DNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:7059]	3840	0.2391551434993744	0.040657382	No	
row_20	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	3848	0.23825465142726898	0.048766308	No	
row_21	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	3859	0.23724748194217682	0.05663874	No	
row_22	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	4136	0.21657578647136688	0.046012443	No	
row_23	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	4185	0.21281081438064575	0.05046888	No	
row_24	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	4194	0.21240872144699097	0.05758072	No	
row_25	MRPS31	mitochondrial ribosomal protein S31 [Source:HGNC Symbol;Acc:HGNC:16632]	4336	0.20301330089569092	0.05547704	No	
row_26	SIPA1L1	signal induced proliferation associated 1 like 1 [Source:HGNC Symbol;Acc:HGNC:20284]	4357	0.20125167071819305	0.06138631	No	
row_27	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	4620	0.18360535800457	0.050507672	No	
row_28	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	4701	0.17811770737171173	0.051579412	No	
row_29	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	4734	0.17610888183116913	0.055782687	No	
row_30	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	4748	0.17515623569488525	0.061219856	No	
row_31	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	4825	0.17003019154071808	0.062267467	No	
row_32	PHF3	PHD finger protein 3 [Source:HGNC Symbol;Acc:HGNC:8921]	4861	0.1680622696876526	0.06598086	No	
row_33	MAP2K5	mitogen-activated protein kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6845]	4885	0.16651444137096405	0.070439495	No	
row_34	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	4932	0.16350604593753815	0.07325467	No	
row_35	PEX14	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	5250	0.14108863472938538	0.057174534	No	
row_36	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	5310	0.1374945342540741	0.058185693	No	
row_37	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	5333	0.13628369569778442	0.0616229	No	
row_38	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	5483	0.1273794025182724	0.056262746	No	
row_39	NFIB	nuclear factor I B [Source:HGNC Symbol;Acc:HGNC:7785]	5622	0.11669819056987762	0.05125233	No	
row_40	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	5625	0.11634781956672668	0.055306867	No	
row_41	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	5633	0.11581721901893616	0.059008565	No	
row_42	SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	5674	0.11342690140008926	0.060421582	No	
row_43	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	5768	0.10725734382867813	0.05807494	No	
row_44	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	5961	0.094523124396801	0.048661992	No	
row_45	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	5972	0.09411612153053284	0.051382307	No	
row_46	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	6040	0.09066369384527206	0.050173778	No	
row_47	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	6041	0.09062100201845169	0.05343575	No	
row_48	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	6123	0.08618814498186111	0.05113167	No	
row_49	CAP2	cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039]	6145	0.08520043641328812	0.05279684	No	
row_50	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	6167	0.08357686549425125	0.05440357	No	
row_51	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	6257	0.07819948345422745	0.051277958	No	
row_52	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	6428	0.06901655346155167	0.04241531	No	
row_53	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	6549	0.06248271465301514	0.03665481	No	
row_54	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]	6676	0.054745979607105255	0.030215342	No	
row_55	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	6809	0.047418590635061264	0.023111638	No	
