NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	44	0.9300577044487	0.018992716	Yes	
row_1	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	102	0.822076141834259	0.034567934	Yes	
row_2	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	138	0.7890703678131104	0.050837547	Yes	
row_3	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	349	0.6748360991477966	0.052695896	Yes	
row_4	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	374	0.66069096326828	0.06667372	Yes	
row_5	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	376	0.6574659943580627	0.08211537	Yes	
row_6	SLC46A3	solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501]	403	0.6418565511703491	0.095515005	Yes	
row_7	TKFC	triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]	468	0.6246724128723145	0.10596511	Yes	
row_8	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	485	0.6196715831756592	0.11951096	Yes	
row_9	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	501	0.614895761013031	0.13301112	Yes	
row_10	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	758	0.5458528995513916	0.12874715	Yes	
row_11	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	981	0.5032204985618591	0.12575392	Yes	
row_12	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1055	0.4932709038257599	0.1325019	Yes	
row_13	GSTM4	glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]	1124	0.4807931184768677	0.1392903	Yes	
row_14	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	1161	0.47538521885871887	0.14809361	Yes	
row_15	TDO2	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	1170	0.47435691952705383	0.15874735	Yes	
row_16	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	1268	0.4602489769458771	0.16310953	Yes	
