NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	-0.40232256	-1.9711008	0.0	8.095238E-4	0.001	4459	tags=45%, list=30%, signal=63%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	54	-0.34816617	-1.4645448	0.023017902	0.11060514	0.219	3838	tags=37%, list=25%, signal=49%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	188	-0.26922223	-1.4115222	0.003030303	0.12187365	0.328	4683	tags=38%, list=31%, signal=54%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	33	-0.36706161	-1.3754146	0.08411215	0.12600237	0.423	2459	tags=36%, list=16%, signal=43%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	35	-0.31961182	-1.2113684	0.18863049	0.36881626	0.862	3300	tags=40%, list=22%, signal=51%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	184	-0.19099715	-1.0088925	0.41455695	1.0	1.0	3442	tags=22%, list=23%, signal=28%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	44	-0.2527011	-1.0036191	0.43436754	1.0	1.0	3820	tags=34%, list=25%, signal=45%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	140	-0.19669063	-0.9995928	0.4502924	0.96906227	1.0	3367	tags=25%, list=22%, signal=32%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	169	-0.18442187	-0.95226616	0.60897434	1.0	1.0	3102	tags=25%, list=21%, signal=31%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	176	-0.17814091	-0.93193394	0.65384614	1.0	1.0	3917	tags=31%, list=26%, signal=41%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	31	-0.25502443	-0.9276489	0.5753425	0.98687327	1.0	2446	tags=19%, list=16%, signal=23%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	181	-0.17590259	-0.92126256	0.7151515	0.9264601	1.0	3007	tags=20%, list=20%, signal=25%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	33	-0.23469767	-0.8881024	0.6543779	0.95923954	1.0	1154	tags=18%, list=8%, signal=20%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	46	-0.22119552	-0.8868783	0.68421054	0.89516896	1.0	3320	tags=26%, list=22%, signal=33%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	-0.17342457	-0.80322474	0.8802083	1.0	1.0	5484	tags=44%, list=36%, signal=69%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	128	-0.16227308	-0.80141175	0.9117647	0.95641035	1.0	1440	tags=11%, list=10%, signal=12%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	189	-0.14439338	-0.7553572	0.9911765	0.9452051	1.0	4771	tags=33%, list=32%, signal=48%	
