NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	90	0.65199935	2.8712146	0.0	0.0	0.0	2978	tags=59%, list=20%, signal=73%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	182	0.5455944	2.6534305	0.0	0.0	0.0	3198	tags=48%, list=21%, signal=61%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	166	0.4158776	1.9821694	0.0	0.0	0.0	3708	tags=44%, list=25%, signal=58%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	143	0.39646012	1.8590224	0.0	0.0012581547	0.005	3734	tags=44%, list=25%, signal=58%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	139	0.3851293	1.804762	0.0	0.0016068914	0.008	3408	tags=34%, list=23%, signal=43%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	98	0.39888108	1.7546623	0.0	0.0030390327	0.017	3960	tags=45%, list=26%, signal=60%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	146	0.34626278	1.6278616	0.0	0.012778126	0.084	3997	tags=44%, list=26%, signal=59%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	176	0.30510697	1.4679731	0.004518072	0.061389234	0.37	2865	tags=28%, list=19%, signal=34%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	168	0.29734927	1.4164065	0.011782032	0.085678026	0.531	3859	tags=36%, list=26%, signal=47%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	141	0.30046284	1.4053246	0.026706232	0.084029615	0.563	4060	tags=38%, list=27%, signal=51%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	178	0.28913146	1.3990593	0.0155521	0.08102645	0.574	3626	tags=34%, list=24%, signal=44%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	173	0.28359008	1.3596468	0.025835866	0.10661472	0.707	4334	tags=37%, list=29%, signal=51%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	102	0.2933609	1.3143357	0.055284552	0.14480907	0.853	3956	tags=38%, list=26%, signal=51%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	174	0.26733023	1.2960323	0.05120482	0.15979816	0.906	3002	tags=25%, list=20%, signal=30%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	66	0.31589285	1.2784656	0.11111111	0.17201154	0.936	4779	tags=38%, list=32%, signal=55%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	69	0.30940706	1.2762597	0.10204082	0.16337332	0.937	4378	tags=39%, list=29%, signal=55%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	184	0.25928414	1.271839	0.058470763	0.15931092	0.943	4262	tags=30%, list=28%, signal=41%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	185	0.26052257	1.2580479	0.08208955	0.16787346	0.958	4200	tags=31%, list=28%, signal=43%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	174	0.2590717	1.2508999	0.06921944	0.16908772	0.961	3523	tags=33%, list=23%, signal=43%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	181	0.23596655	1.1597095	0.1506647	0.30548018	0.999	4266	tags=35%, list=28%, signal=48%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		178	0.22878714	1.1108843	0.25150603	0.39394477	1.0	4140	tags=32%, list=27%, signal=44%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		158	0.22572283	1.0664579	0.29596412	0.4850269	1.0	2625	tags=23%, list=17%, signal=28%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		177	0.21689059	1.0507188	0.34087482	0.5061494	1.0	3064	tags=21%, list=20%, signal=27%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		108	0.23053394	1.0265803	0.40787402	0.54962534	1.0	3885	tags=31%, list=26%, signal=41%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		180	0.20888223	1.0039085	0.44756278	0.58737165	1.0	5282	tags=35%, list=35%, signal=53%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		180	0.20700233	0.9960264	0.44658753	0.58622867	1.0	3508	tags=25%, list=23%, signal=32%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.22577511	0.99228203	0.47327045	0.5749578	1.0	3617	tags=29%, list=24%, signal=38%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		37	0.24539712	0.90053976	0.62298024	0.8012047	1.0	4949	tags=43%, list=33%, signal=64%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		163	0.18573155	0.8941905	0.71385545	0.79004353	1.0	2675	tags=18%, list=18%, signal=21%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		140	0.18607579	0.87525254	0.7410853	0.80876464	1.0	2814	tags=19%, list=19%, signal=23%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		86	0.17289439	0.7466858	0.92679125	1.0	1.0	4411	tags=31%, list=29%, signal=44%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		89	0.14562857	0.63843834	0.99509	1.0	1.0	4919	tags=33%, list=33%, signal=48%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		30	0.17943834	0.6335205	0.94736844	0.9925062	1.0	3547	tags=27%, list=23%, signal=35%	
