set	NAME	NES	ES	FDR.q.val	leading_edge_genes
c2_curated	BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	2.636782	0.5484339	0	SERPING1; OASL; CASP1; CD274; PARP9; UBE2L6; APOL6; BST2; SAMD9L; PARP14; PMAIP1; NMI; GBP5; EGR1; HLA-F; PARP10; PLSCR1; DHX58; DDX60; PARP12; DTX3L; IL4I1; TNFSF10; SP140L; IRF1; LAMP3; GBP1; RAET1L; LRRN3; EFNB2; IFIH1; TAP2; GMPR; RASGRF2; PIK3AP1; CXCL10; RTP4; APOL1; TRIM21; UBA7; OAS1; TLR3; OAS3; ETV7; TMEM140; MCL1; GLIPR1; TAP1; BTN3A3; NFE2L3; RSAD2; MYPN; BATF2; TGM2; EPHA4; HK2; SP110; NCF2; SAMD9; RAET1E; CTSS; THEMIS2; DUSP5; TRIM22; GBP4; B2M; PODXL; SHFL; CH25H; XAF1; OAS2; IRF7; RUFY4; STC1; MX1; EIF2AK2; ZC3HAV1; CCL3; HELZ2; IFI44; CRYBG1; SLC15A3; IDO1; PLA1A; TRIM14; CMPK2; IFI16; IFI44L; C1S
c2_curated	SANA_RESPONSE_TO_IFNG_UP	2.5719628	0.61667305	0	SERPING1; HLA-E; ST8SIA4; CASP1; CD274; PARP9; UBE2L6; HLA-C; HLA-B; BST2; SAMD9L; PARP14; SSPN; LIPG; RABL3; DDX60; CX3CL1; DTX3L; TNFSF10; GBP1; IFIH1; PPP3CA; CXCL10; APOL1; OAS1; ETV7; LGALS3BP; APOL2; BATF2; LGALS9; TRIM22; OAS2; IL23A; MX1; IDO1; PLA1A; APOL4; IFI44L; C1S
c2_curated	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	2.520757	0.4912712	0	AGBL2; TTC12; IFT57; VWA5A; ASS1; CLDN23; DNAAF1; BANK1; ZMYND12; EFHC1; WDR54; C7orf57; CLIC3; CFAP53; MUC1; TSPAN1; EZR; KLF8; IQCA1; NEK11; UBXN10; DNAH2; CCNO; TMEM40; POU2AF1; MDH1B; CFAP43; SPAG1; TCEA3; DNAI4; DNAH5; CLDN7; DHCR24; BCO2; CFAP263; TMC4; LRRC10B; TSGA10; FBXO15; DYNLRB2; DNAH12; PRR15; FMO5; TOGARAM2; RIBC1; SPAG17; HYDIN; SPA17; ALDH1L1; ERICH3; MFSD4A; SERPINB4; DNALI1; HOATZ; AGR2; PIGR; KRT7; CCDC65; DNAH7; SLC27A2; ERICH5; CFAP90; SERPINB3; PIH1D2; SELENBP1; VPREB3; SPATA17; DRC1; DNAH9; CFAP300; ODAD2; IQCD; ODAD1; BNIPL; CCDC81; EML6; FAM131A; CFAP45; NEK5; CETN2; RHOV; ADH1C; TEX9; STOML3; CABCOCO1; DUOX1; ATP12A; CAPN9; PPIL6; PROM1; DNAH10; CFAP52; ENKUR; TLCD2; TJP3; MGLL; RSPH1; ELL3; ABCA13; CLDN10; MS4A8; SERPINB7; IL20RA; KLHDC9; FAM216B; MORN2; CFAP276; SYTL4; ODAD4; CCDC74A; LZTFL1; CFAP47; DNAI7; PTGR1; FAM81B; LRG1; POR; AKAP14; DNAI1; DMKN; CIMAP3; MORN3; CGN; TPPP3; CRACDL; CLXN; OSCP1; S100P; CFAP126; KRT14; DYNLT5; PIERCE1; MUC13; TEKT1; GCLM; SPMIP6; EVA1C; RSPH9; TTC9; TMC5; PRDX5; TFF3; BPIFB1; CCDC17; TEKT2; MAP3K19; LCN2; ANKRD37; NMU; FANK1; B9D1; C6orf118; AK7; ARMC3
c2_curated	HECKER_IFNB1_TARGETS	2.483229	0.5905868	0	SERPING1; OASL; PARP9; ZBP1; SAMD9L; EGR1; PLSCR1; DHX58; DDX60; PARP12; DTX3L; EGR2; LAMP3; GBP1; KLRD1; CXCL10; RTP4; CLU; MMP9; OAS1; OAS3; TMEM140; APOBEC3B; CHI3L1; LGALS3BP; C3AR1; CCL8; RSAD2; SAMD9; LY6E; XAF1; OAS2; IRF7; JUP; MX1; EIF2AK2; CD163; IFI44; CMPK2; IFI44L; CABP5
c2_curated	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	2.459682	0.5145554	0	SERPING1; SDSL; OASL; PARP9; CLEC2B; SLC27A6; BST2; SAMD9L; PARP14; ADRB1; IRX3; VNN1; MAP7; PARP10; ACSM3; DDX60; PARP12; DTX3L; APLF; GBP1; C3orf80; IFIH1; GMPR; KLF5; CXCL10; BEND6; ARHGEF3; OAS1; OAS3; ERMAP; ALDH1A1; CCDC71L; QPRT; HOXB3; LGALS3BP; CLSTN3; VMP1; RSAD2; KIAA0513; CD69; SLC5A3; SP110; AUTS2; PBX3; SAMD9; LY6E; TRIM22; SHFL; FGF18; OSBPL6; CH25H; XAF1; OAS2; IRF7; OLFM3; ANGPT2; HEY1; MX1; HOXA9; EIF2AK2; HELZ2; ERG; IFI44; CYP1A1; IDO1; PTPN13; CMPK2; IFI16; IFI44L; CTSG; PTGER3; H2AC6; IFI27; HOXA5; STAT1; SCN9A; ANGPT1; HERC5; ISG15; CRHBP; GUCY1A1; SLC9A7; S100A10
c2_curated	BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE	2.4530423	0.5961373	0	MOV10; OASL; SLC39A8; CD274; APOBEC3G; NUB1; ZBP1; APOL6; SAMD9L; NOD1; DHX58; DDX60; PARP12; TNFSF10; CD40; LAMP3; IFIH1; APOL1; CMTR1; OAS3; RSAD2; TRIM22; GBP4; RIN2; XAF1; OAS2; IRF7; GCH1; MX1; EIF2AK2; TMEM176A; IFI44; PML; IFI44L
c2_curated	BROWNE_INTERFERON_RESPONSIVE_GENES	2.4378526	0.6038259	0	OASL; CASP1; UBE2L6; APOBEC3G; PSMB8; BST2; NMI; HLA-F; PLSCR1; PDZD2; TNFSF10; GBP1; GMPR; CXCL10; TRIM21; OAS1; TLR3; CCL8; TAP1; RSAD2; SP110; THEMIS2; TRIM22; GBP2; XAF1; OAS2; IRF7; IL15; GCH1; MX1; EIF2AK2; IFI44; IDO1; TRIM14; PML; IFI44L; IFI27; MELK; STAT1
c2_curated	WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	2.4178174	0.6191879	0	DMBT1; CASP1; HLA-B; PSMB8; UPP1; BST2; AMBP; TAP2; PSME2; UBA7; CCL8; PSMB10; SERPINA1; KLK1; SP110; LY75; CTSS; B2M; GBP2; SLC16A1; CASP7; FLOT1; KRT16; IFI44; CMPK2; SERPINI2; GBP6; SOCS1; TFF3; STAT1
c2_curated	MOSERLE_IFNA_RESPONSE	2.4055707	0.7073884	0.00010254107	OASL; CD274; SAMD9L; DDX60; TNFSF10; GBP1; IFIH1; CXCL10; RTP4; OAS1; RSAD2; SAMD9; TRIM22; OAS2; MX1; ZC3HAV1; IFI44; CMPK2; IFI16; IFI44L
c2_curated	XIE_ST_HSC_S1PR3_OE_UP	2.4033673	0.49531108	9.2286966e-05	OASL; ABCC3; MOXD1; PARP9; VWA5A; BST2; SAMD9L; GBP5; SPATS2L; PTGER1; PARP10; PLSCR1; DHX58; DDX60; PARP12; DTX3L; CMKLR1; ANKRD45; LAMP3; PPP1R16B; GBP1; IFIH1; GJA5; CXCL10; RTP4; SHISA5; KALRN; CD52; OAS1; FCMR; OAS3; LGALS3BP; SPP1; NEDD9; GATA3; RSAD2; BATF2; CD69; AVPR1A; XIRP1; SP110; SAMD9; KRT79; LY6E; GBP2; SHFL; XAF1; OAS2; IRF7; TMEM221; SELP; ATP8A2; HEY1; MX1; ABHD4; SLC7A7; EIF2AK2; KDR; HELZ2; WNT11; HPGD; SUCNR1; IFI44; PDE9A; IRAK2; RAMP1; IFI44L; FBXO6; LCK; RGS1; CD276; CXCL11; H2AC6; IL2RB; IFI27; ARAP3; STAT1; TTC24; VCL; HERC5; PTGER4; ISG15
