set	NAME	NES	ES	FDR.q.val	leading_edge_genes
c5_GO	GOBP_AXONEME_ASSEMBLY	2.5678864	0.577523	0	TTC12; DNAAF3; IFT56; DNAAF1; ZMYND12; CPLANE2; DNAH8; DNAH2; CFAP43; FBXO24; CCDC39; SPAG1; DNAI4; DNAH5; CFAP91; MEIG1; DNAAF8; CFAP69; SPAG17; HYDIN; MNS1; HOATZ; LRRC46; DNAJB13; DNAAF5; FSIP2; CCDC65; ODAD3; DNAH7; DRC7; JHY; CFAP157; DRC1; CFAP57; DNAAF11; ODAD2; CFAP46; ODAD1; CFAP73; ZMYND10; LRRC61; RSPH1; ODAD4; CFAP47; DNAI1; DNAH17; SPACA9; SPAG16; CLXN; CFAP58; PIERCE2; PIERCE1; BBS2; SPEF1; RSPH9; CFAP100
c5_GO	GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	2.4906356	0.68366927	0.00084355654	TTC12; DNAAF3; DNAAF1; DNAH8; DNAH2; CCDC39; SPAG1; DNAI4; DNAH5; DNAAF8; DNAAF5; CCDC65; ODAD3; DNAH7; DRC1; CFAP57; DNAAF11; ODAD2; ODAD1; CFAP73; ZMYND10; LRRC61; ODAD4; DNAI1; DNAH17; CLXN
c5_GO	GOCC_9PLUS2_MOTILE_CILIUM	2.45873	0.5008668	0.000842333	CCDC38; CFAP70; TACR1; ZMYND12; EFHC1; CFAP53; DNAH8; DNAH2; CFAP43; AK2; IL4I1; FHAD1; DNAH5; CFAP68; EFCAB6; AKAP3; NHERF1; DYNLT4; TSGA10; CCDC34; CFAP69; CD52; RIBC1; HYDIN; SPA17; EFHC2; CT55; MNS1; DNALI1; DNHD1; LRRC46; NME7; ATG16L1; GSTM3; DNAJB13; DNAH6; GARIN2; FSIP2; ODAD3; DNAH7; CFAP90; SLC22A14; AK8; DRC1; CFAP57; DNAH9; SCNN1A; CFAP45; NEK5; CETN2; CABCOCO1; DNAH10; CFAP52; ENKUR; CIMIP2C; RSPH1; CFAP144; CFAP276; ODAD4; DRD2; CFAP221; CFAP141; ODF2; TLE6; DNAI1; DNAH17; SPACA9; SPAG8; SAXO1; DNAH11; CFAP107; SPAG16; CLXN; CFAP58; PIERCE2; CFAP126; CATSPER1; PIERCE1; TEKT1; SSX1; USP26; SPMIP6; FLACC1; CFAP77; SPEF1; CCDC42; RSPH9; CATSPERB; CFAP119; PCDH11Y; TEKT2; CFAP74; PFKM; RSPH4A; LRRC23; IQUB; CFAP210; CFAP251; SPMIP8; TACR2; LDHA; CUL3; PRKACA; CCDC181; TSSK3; CFAP95; RPGR; CBY3; TACR3; HVCN1; TUBB4B; KIF9; BBOF1; RNF38; MORN5; TCP11
c5_GO	HP_CHRONIC_SINUSITIS	2.4382439	0.603021	0.00063174975	TTC12; DNAAF3; DNAAF1; CFTR; CCNO; CCDC39; MGP; SPAG1; DNAH5; MCIDAS; LRRC56; TAP2; HYDIN; AIRE; DNAJB13; TAP1; DNAAF5; CCDC65; ODAD3; DNAH7; DRC1; DNAAF11; DNAH9; CFAP300; ODAD2; ODAD1; CFAP45; ZMYND10; CFAP52; RSPH1; ODAD4; CFAP221; DNAI1; DNAH11; CLXN
c5_GO	GOCC_CILIARY_PLASM	2.4353714	0.5040007	0.0005053998	IFT57; SPATA4; KIF17; ARL13B; DNAAF1; CFAP70; EFHC1; IFT70A; CFAP53; DNAH8; DNAH2; CFAP43; DYNC2LI1; CCDC39; DNAI4; DNAH5; CFAP68; EFCAB6; CFAP263; LCA5; CFAP91; MAPK15; DYNLT4; RSPH14; DNAH12; RPGRIP1; CEP162; RIBC1; SPAG17; HYDIN; EFHC2; MNS1; DNALI1; KIFAP3; DNHD1; NME7; ATG16L1; DNAJB13; DNAH6; DCDC2; CCDC65; ODAD3; DNAH7; CFAP90; AK8; DRC1; DNAH9; ODAD2; CFAP46; ODAD1; CFAP45; CFAP73; PIK3R4; DNAH10; CFAP52; ENKUR; IFT70B; CIMIP2C; DYNLT2B; RSPH1; CFAP144; CFAP276; ODAD4; DNAI7; CFAP221; CFAP141; AKAP14; DNAI1; DNAH17; SPACA9; SPAG8; SAXO1; DNAH11; CFAP107; SPAG16; MAK; PIERCE2; CFAP126; PIERCE1; TEKT1; GLI1; SPMIP6; CFAP77; SPEF1; RSPH9; CFAP100; CFAP36; CFAP119; CFAP54; TEKT2; DYNC2I2; CFAP74
c5_GO	HP_ABNORMAL_SPERM_PHYSIOLOGY	2.4041634	0.54712653	0.0004211665	TTC12; DNAAF3; DNAAF1; CFAP70; ARMC12; DNAH8; DNAH2; CCNO; CFAP43; CCDC39; SPAG1; DNAH5; MCIDAS; LRRC56; CEP112; AKAP3; CFAP91; CCDC34; CFAP69; SPAG17; HYDIN; CT55; DNALI1; DNHD1; DNAJB13; DNAAF5; FSIP2; ODAD3; DNAH7; DRC1; DNAAF11; DNAH9; CFAP300; ODAD2; ODAD1; CFAP45; ZMYND10; DNAH10; RSPH1; ODAD4; CFAP47; KLHL10; CFAP221; DNAI1; DNAH17; DNAH11; CFAP58; CATSPER1; SSX1; USP26; RSPH9
c5_GO	GOCC_AXONEMAL_DYNEIN_COMPLEX	2.393308	0.7569036	0.00036099984	CFAP70; DNAH8; DNAH2; DNAI4; DNAH5; DNAH12; DNHD1; CCDC65; DNAH7; DRC1; DNAH9; ODAD1; DNAI7; DNAI1; DNAH17
c5_GO	GOCC_MOTILE_CILIUM	2.3733537	0.47031	0.00031587487	SPAG4; CCDC38; ARL13B; CFAP70; TACR1; ZMYND12; EFHC1; WDR54; INTU; CFAP53; DLD; DNAH8; IQCA1; DRC12; DNAH2; CFAP43; AK2; FBXL13; IL4I1; DYNC2LI1; FHAD1; DNAI4; DNAH5; CFAP68; EFCAB6; AKAP3; CFAP91; NHERF1; DYNLT4; RSPH14; TSGA10; NPHP1; CCDC34; CFAP69; CD52; RIBC1; SPAG17; HYDIN; SPA17; EFHC2; CT55; MNS1; DNALI1; DNHD1; LRRC46; NME7; ATG16L1; GSTM3; DNAJB13; DNAH6; DNAAF5; GARIN2; FSIP2; CCDC65; ODAD3; DNAH7; CFAP90; DRC7; SLC22A14; AK8; DRC1; CFAP57; DNAAF11; DNAH9; CFAP300; IQCD; SPMIP4; SCNN1A; CFAP45; CFAP73; NEK5; CETN2; CABCOCO1; CEP20; DNAH10; CFAP52; ENKUR; CIMIP2C; RSPH1; CFAP144; CFAP276; ODAD4; CFAP47; DRD2; CFAP221; CFAP141; ODF2; TLE6; DNAI1; DNAH17; SPACA9; SPAG8; SAXO1; DNAH11; CFAP107; SPAG16; CLXN; MAK; CFAP58; PIERCE2; CFAP126; CATSPER1; PIERCE1; BBS2; TEKT1; SSX1; USP26; SPMIP6; FLACC1; CFAP77; SPEF1; CCDC42; RSPH9; CFAP100; CATSPERB; CFAP36
c5_GO	HP_RECURRENT_MYCOBACTERIAL_INFECTIONS	2.3697743	0.60719997	0.00028077766	TTC12; DNAAF3; DNAAF1; CCNO; CCDC39; SPAG1; IRF1; DNAH5; MCIDAS; LRRC56; HYDIN; IFNGR1; DNAJB13; DNAAF5; ODAD3; DRC1; DNAAF11; DNAH9; CFAP300; ODAD2; ODAD1; ZMYND10; RSPH1; ODAD4; CFAP221; DNAI1; DNAH11; IL12RB1; RSPH9; STAT1; CFAP74; ISG15; RSPH4A
c5_GO	GOBP_CILIUM_MOVEMENT	2.3639858	0.47743773	0.0002526999	TTC12; CCDC38; DNAAF3; DNAAF1; CFAP70; TACR1; ZMYND12; ARMC12; EFHC1; POC1B; CFAP53; DNAH8; DNAH2; CFAP43; CCDC39; DNAI4; DNAH5; CFAP68; EFCAB6; AKAP3; CFAP91; NHERF1; MEIG1; CFAP69; RIBC1; SPAG17; HYDIN; SPA17; EFHC2; MNS1; DNALI1; HOATZ; DNHD1; LRRC46; NME7; DNAH6; DNAAF5; GARIN2; FSIP2; CCDC65; ING2; ODAD3; DNAH7; CFAP90; DRC7; SLC22A14; JHY; CFAP157; DRC1; CFAP57; DNAAF11; DNAH9; ODAD2; CFAP46; ODAD1; TAC3; CFAP45; CFAP73; KIF27; ZMYND10; PFN4; DNAH10; CFAP52; ENKUR; CIMIP2C; CFAP144; CFAP276; ODAD4; LZTFL1; CFAP47; CFAP221; CFAP141; TLE6; DNAI1; DNAH17; SPACA9; SPAG8; TTLL6; DNAH11; CFAP107; SPAG16; CLXN; CFAP58; PIERCE2; CFAP126; CATSPER1; PIERCE1; BBS2; TEKT1; SPMIP6; CFAP77; SPEF1; RSPH9; CFAP100; LDHC; CFAP119; CFAP54; TEKT2; KATNIP; ARMC3; DPCD; NPHP4; RSPH4A; LRRC23; IQUB; CFAP210; CFAP251; SPMIP8; TACR2
