Enrichment FDR	nGenes	Pathway Genes	Fold Enrichment	Pathway	URL	Genes
0.000132979701021344	72	89	1.29150821417706	Path:hsa04512 ECM-receptor interaction	https://www.genome.jp/kegg-bin/show_pathway?hsa04512	 CHAD  COL1A1  COL1A2  COL2A1  COL4A3  COL4A4  COL4A5  COL4A6  COL6A1  COL6A2  COL6A3  COL9A1  COL9A2  COL9A3  COMP  FREM1  DAG1  DMP1  DSPP  LAMB4  ITGA11  SV2C  FN1  NPNT  GP5  LAMA1  HMMR  HSPG2  TNC  IBSP  FREM2  ITGA1  ITGA2  ITGA2B  ITGA3  ITGA4  ITGA5  ITGA7  ITGA9  ITGAV  ITGB1  ITGB3  ITGB4  ITGB5  ITGB7  ITGB8  LAMA2  LAMA3  LAMA4  LAMA5  LAMB1  LAMB2  LAMB3  LAMC1  LAMC2  GP6  RELN  MEPE  SDC1  SDC4  TNN  SPP1  THBS1  THBS2  THBS3  THBS4  VTN  VWF  ITGA10  CD36  CD44  SV2B
0.00878338783793386	63	86	1.24471443830108	Path:hsa05412 Arrhythmogenic right ventricular cardiomyopathy	https://www.genome.jp/kegg-bin/show_pathway?hsa05412	 CACNG3  CACNG2  CTNNA1  DAG1  DES  DMD  EMD  ITGA11  GJA1  CACNG5  CACNG4  LAMA1  CTNNA3  ITGA1  ITGA2  ITGA2B  ITGA3  ITGA4  ITGA5  ITGA7  ITGA9  ITGAV  ITGB1  ITGB3  ITGB4  ITGB5  ITGB7  ITGB8  JUP  LAMA2  NOS1  ATP2A1  LEF1  CACNG8  CACNG7  CACNG6  SGCB  SGCD  SGCG  SLC8A2  SLC8A3  SNTA1  SNTB1  SNTB2  TCF7  TCF7L2  ACTG1  CACNA1C  CACNA1D  CACNA1F  CACNA2D1  CACNB1  CACNB2  CACNB3  CACNB4  CACNG1  SSPN  TCF7L1  ITGA10  ACTN2  ACTN3  SGCE  CACNA2D2
0.00525244775149071	72	105	1.24246359844882	Path:hsa05414 Dilated cardiomyopathy	https://www.genome.jp/kegg-bin/show_pathway?hsa05414	 CACNG3  CACNG2  ADCY1  ADCY2  ADCY3  ADCY6  ADCY7  ADCY8  ADCY9  ADRB1  DAG1  DES  DMD  AGT  EMD  ITGA11  CACNG5  CACNG4  GNAS  LAMA1  IGF1  ITGA1  ITGA2  ITGA2B  ITGA3  ITGA4  ITGA5  ITGA7  ITGA9  ITGAV  ITGB1  ITGB3  ITGB4  ITGB5  ITGB7  ITGB8  LAMA2  NOS1  ATP2A1  PLN  CACNG8  CACNG7  CACNG6  SGCB  SGCD  SGCG  SLC8A2  SLC8A3  SNTA1  SNTB1  SNTB2  TGFB1  TGFB2  TGFB3  ACTG1  TNNC1  TPM2  TPM3  TTN  CACNA1C  CACNA1D  CACNA1F  CACNA2D1  CACNB1  CACNB2  CACNB3  CACNB4  CACNG1  SSPN  ITGA10  SGCE  CACNA2D2
0.0199383014760302	58	101	1.23545317015896	Path:hsa04972 Pancreatic secretion	https://www.genome.jp/kegg-bin/show_pathway?hsa04972	 CEL  ADCY1  ADCY2  ADCY3  ADCY6  ADCY7  CHRM3  ADCY8  ADCY9  CLCA1  CPA2  CPB1  CTRL  TPCN2  ATP1B4  PLA2G2D  GNAQ  GNAS  ITPR1  ITPR2  ITPR3  KCNMA1  RHOA  PLA2G2C  ATP1A1  ATP1A2  ATP1A3  ATP1B1  ATP1B2  FXYD2  ATP2A1  ATP2B1  ATP2B2  ATP2B3  PLA2G3  PLA2G2A  PLA2G5  PLCB2  PLCB3  PLCB4  PRKCA  PRKCB  PRKCG  PRSS3  RAB27B  RAP1A  RAP1B  SLC9A1  SLC12A2  TRPC1  CA2  PLA2G12A  SLC4A4  RAB11A  CCK  CCKAR  CD38  RAB3D
0.00878338783793386	67	93	1.2343017692548	Path:hsa05222 Small cell lung cancer	https://www.genome.jp/kegg-bin/show_pathway?hsa05222	 CDK2  CDK4  CDK6  CDKN1B  CDKN2B  LAMC3  GADD45G  CHUK  CKS1B  CKS2  COL4A3  COL4A4  COL4A5  COL4A6  DDB2  GADD45A  E2F1  E2F2  E2F3  AKT2  LAMB4  FN1  LAMA1  BIRC2  IKBKB  ITGA2  ITGA2B  ITGA3  ITGAV  ITGB1  LAMA2  LAMA3  LAMA4  LAMA5  LAMB1  LAMB2  LAMB3  LAMC1  LAMC2  MYC  NFKB1  NFKBIA  NOS2  POLK  PIK3CA  PIK3CD  CYCS  PTGS2  BAK1  BAX  RARB  CCND1  BCL2  RELA  RXRA  RXRB  RXRG  SKP2  TRAF1  TRAF3  TRAF5  ZBTB17  BIRC7  CASP3  IKBKG  CCNE1  CCNE2
0.00878338783793386	67	99	1.2343017692548	Path:hsa05410 Hypertrophic cardiomyopathy	https://www.genome.jp/kegg-bin/show_pathway?hsa05410	 CACNG2  DAG1  ACE  DES  DMD  AGT  EDN1  EMD  ITGA11  CACNG5  CACNG4  LAMA1  IGF1  IL6  ITGA1  ITGA2  ITGA2B  ITGA3  ITGA4  ITGA5  ITGA7  ITGA9  ITGAV  ITGB1  ITGB3  ITGB4  ITGB5  ITGB7  ITGB8  LAMA2  NOS1  ATP2A1  PRKAA1  PRKAB2  PRKAG1  CACNG8  CACNG7  CACNG6  SGCB  SGCD  SGCG  SLC8A2  SLC8A3  SNTA1  SNTB1  SNTB2  TGFB1  TGFB2  TGFB3  ACTG1  TNNC1  TPM2  TPM3  TTN  CACNA1C  CACNA1D  CACNA1F  CACNA2D1  CACNB1  CACNB2  CACNB3  CACNB4  CACNG1  SSPN  ITGA10  SGCE  CACNA2D2
0.032080891470681	55	92	1.22916765374775	Path:hsa04970 Salivary secretion	https://www.genome.jp/kegg-bin/show_pathway?hsa04970	 ADCY2  ADCY3  ADCY6  ADCY7  CHRM3  ADCY8  ADCY9  ADRA1D  CST1  ADRA1B  CST2  CST3  ADRA1A  ADRB1  ADRB2  CALML6  ATP1B4  GNAQ  GNAS  GUCY1A2  GUCY1A1  GUCY1B1  AQP5  ITPR1  ITPR2  ITPR3  KCNMA1  KCNN4  LYZ  MUC5AC  ATP1A1  ATP1A2  ATP1A3  ATP1B1  ATP1B2  NOS1  FXYD2  ATP2B1  ATP2B2  ATP2B3  PLCB2  PLCB3  PLCB4  BEST2  TRPV6  PRKCA  PRKCB  PRKCG  PRKG1  PRB2  SLC9A1  SLC12A2  CALM2  CAMP  CALML4
4.05074834525661e-06	162	232	1.22693280346821	Path:hsa04820 Cytoskeleton in muscle cells	https://www.genome.jp/kegg-bin/show_pathway?hsa04820	 NEBL  PDLIM5  LDB3  MYOM3  COL1A1  COL1A2  COL4A3  COL4A4  COL4A5  COL4A6  COL5A1  COL5A2  COL6A1  COL6A2  COL6A3  XIRP2  COL9A1  COL9A2  COL9A3  COL11A1  COL11A2  COMP  VCAN  CSRP1  CSRP2  DAG1  SYNE3  DCN  XIRP1  DES  SYNPO2  DIAPH2  DMD  ANKRD23  ELN  EMD  ENO1  ENO3  FBLN1  FBLN2  FBN2  FHL1  FHL2  NID2  ITGA11  MYH15  SYNE1  FN1  ATP1B4  DAAM2  COL24A1  SUN2  ANKRD2  ANKRD1  AMPD3  PDLIM3  LAMA1  ANK3  TMOD4  TMOD3  MYL11  HSPG2  MYBPHL  ITGA1  ITGA2  ITGA2B  ITGA3  ITGA4  ITGA5  ITGA7  ITGA9  ITGAV  ITGB1  ITGB3  ITGB4  ITGB5  ITGB7  ITGB8  JUP  LAMA2  LBR  LMNB1  LMOD2  MYBPC1  MYBPH  MYH3  MYH9  MYH10  MYL4  MYL5  NEB  ATP1A1  ATP1A2  ATP1A3  ATP1B1  ATP1B2  NRAP  COL5A3  SPTBN5  MYOZ2  PLEC  FMN2  TRIM54  SPTBN4  ACTA1  MYOZ1  BGN  SDC1  SDC2  SDC4  PDLIM2  INF2  SGCB  SGCD  SGCG  SNTA1  SNTB1  SNTB2  SPTAN1  THBS1  THBS2  THBS3  THBS4  TLN1  ACTG1  TMOD1  TNNC2  TNNC1  TNNI2  TNNT1  TPM2  TPM3  ACTG2  TTN  VCL  VIM  FMNL1  MYH14  CSRP3  SSPN  DIAPH3  CAPZA1  TLN2  OBSCN  FBN3  MYPN  TRIM55  TRIM63  LMNB2  ITGA10  COL27A1  TCAP  PDLIM4  MYOM1  ACTN2  ACTN3  SGCE  FMNL3  PDLIM1  MYOM2  PDLIM7  MYOT
2.17863234253031e-07	230	370	1.21061580779789	Path:hsa04080 Neuroactive ligand-receptor interaction	https://www.genome.jp/kegg-bin/show_pathway?hsa04080	 NPY4R2  LPAR6  CALCRL  NMUR1  PGRMC2  PGRMC1  NMU  GPR83  OGFR  HRH3  CHRM1  CHRM2  CHRM3  CHRM4  CHRM5  CHRNA1  CHRNA3  CHRNA4  CHRNA5  CHRNA7  CHRNB2  CHRNB3  CHRNB4  CHRNE  GRIN3A  GRIN3B  ADCYAP1R1  LTB4R  CNR1  LYPD6  LYPD6B  CORT  ADM  ADORA2A  ADORA2B  CRH  ADRA1D  ADRA1B  ADRA1A  ADRA2A  ADRA2B  ADRA2C  ADRB1  ADRB2  GPR156  DRD2  DRD3  DRD4  AGT  AGTR1  APLNR  S1PR1  LPAR1  S1PR3  EDN1  EDN2  EDN3  EDNRA  EDNRB  F2R  F2RL1  F2RL2  LPAR3  FPR3  NTSR2  GABBR1  TAC4  GABRA2  GABRA3  GABRA4  GABRA5  GABRB1  GABRB2  GABRB3  GABRD  GABRE  GABRG3  GABRP  NPB  GABRR2  UTS2B  GALR1  GCG  GHR  GIPR  TMEM97  GLP1R  GLRA2  GLRB  GNRH1  GNRH2  NPW  LPAR4  MCHR1  GPR35  GRIA1  GRIA2  GRIA3  GRID1  GRID2  GRIK1  GRIK2  GRIK3  GRIK4  GRIK5  GRIN1  GRIN2B  GRIN2C  GRIN2D  GRM1  GRM2  GRM3  GRM4  GRM5  GRM7  GRM8  GRP  GRPR  HCRT  HCRTR1  HRH1  HRH2  HTR1A  HTR1B  HTR1D  HTR2A  HTR2B  HTR6  HTR7  PAQR9  LEPR  LHB  MC1R  MC5R  MTNR1A  NMB  NMBR  NPY  NPY1R  NPY2R  NPY5R  NTSR1  OPRD1  OPRK1  OPRL1  OPRM1  OXTR  P2RX3  P2RX4  P2RX5  P2RX7  P2RY1  P2RY2  P2RY4  P2RY6  P2RY11  GAL  RXFP3  PDYN  GHRL  S1PR5  PMCH  PNOC  POMC  CHRNA9  GABRQ  PRLR  LTB4R2  PRSS3  NMUR2  PYY  CHRNA10  CYSLTR2  PTAFR  PTGER1  PTGER3  PTGER4  PTGFR  PTH1R  PTH2R  HRH4  RXFP1  RLN1  RLN2  BDKRB2  NPFFR1  LYNX1  SST  SSTR1  SSTR2  SSTR3  TACR2  TAC3  TACR1  TACR3  TBXA2R  TSPO  C3  C3AR1  TRH  TSHR  C5  C5AR1  UCN  VGF  VIPR1  TRPV1  OGFRL1  ADM2  PAQR6  GLRA3  SPX  QRFPR  KISS1R  NPFF  GALR2  CCK  CCKAR  APLN  CCKBR  CHRNA6  CHRFAM7A  F2RL3  UCN2  P2RX6  LPAR2  GPR50  S1PR2  GLP2R  GABBR2
0.0339564478095914	63	103	1.20965205975739	Path:hsa04974 Protein digestion and absorption	https://www.genome.jp/kegg-bin/show_pathway?hsa04974	 SLC7A9  SLC16A10  COL1A1  COL1A2  COL2A1  COL4A3  COL4A4  COL4A5  COL4A6  COL5A1  COL5A2  COL6A1  COL6A2  COL6A3  COL7A1  COL8A1  COL8A2  COL9A1  COL9A2  COL9A3  COL10A1  COL11A1  COL11A2  COL12A1  COL13A1  COL16A1  COL19A1  CPA2  CPB1  COL26A1  CTRL  DPP4  ELN  SLC7A8  ATP1B4  COL24A1  COL28A1  KCNJ13  KCNN4  MME  ATP1A1  ATP1A2  ATP1A3  ATP1B1  ATP1B2  FXYD2  COL5A3  SLC38A2  PRCP  PRSS3  COL20A1  ACE2  SLC1A1  SLC3A1  SLC8A2  SLC8A3  SLC9A3  COL14A1  COL18A1  COL25A1  COL27A1  KCNK5  SLC7A7
