Enrichment FDR	nGenes	Pathway Genes	Fold Enrichment	Pathway	URL	Genes
0.000249948964534221	48	56	1.36325867052023	R-HSA-3000171 Non-integrin membrane-ECM interactions	https://reactome.org/PathwayBrowser/#/R-HSA-3000171	 CASK  LAMA5  SDC3  PDGFB  TGFB1  COL1A1  COL2A1  FN1  TTR  VTN  PDGFA  ITGB3  ITGB1  COL5A2  ITGAV  LAMB1  THBS1  COL1A2  FGF2  LAMC1  COL11A1  ITGB4  PRKCA  ITGA2  ITGB5  SDC1  COL5A1  LAMA2  TNC  LAMA1  COL5A3  COL4A5  SDC4  SDC2  COL4A4  LAMB2  HSPG2  COL4A3  COL10A1  LAMB3  LAMC2  COL4A6  DAG1  LAMA3  DDR2  NTN4  NRXN1  LAMC3
0.00424597503469086	50	63	1.31082564473099	R-HSA-1442490 Collagen degradation	https://reactome.org/PathwayBrowser/#/R-HSA-1442490	 ADAM10  COL1A1  COL2A1  MMP1  COL5A2  CTSD  CTSL  COL1A2  MMP2  MMP3  MMP7  MMP10  FURIN  COL11A1  COL6A1  COL6A2  COL6A3  MMP9  COL9A1  COL5A1  MMP8  MMP11  COL8A2  COL5A3  COL8A1  COL4A5  COL18A1  MMP12  CTSK  MMP13  MMP14  MMP15  COL4A4  ADAM17  COL4A3  COL7A1  COL10A1  COL14A1  COL16A1  ADAM9  COL4A6  COL9A3  COL9A2  COL19A1  COL13A1  COL23A1  COL26A1  MMP19  COL12A1  COL25A1
0.0014352339549886	61	74	1.2993559203396	R-HSA-3000178 ECM proteoglycans	https://reactome.org/PathwayBrowser/#/R-HSA-3000178	 NCAN  MUSK  LAMA5  MATN3  LRP4  MATN4  TGFB1  COL1A1  COL2A1  FN1  VTN  APP  ITGB3  SERPINE1  ITGB1  COL5A2  ITGAV  DCN  LAMB1  COL1A2  ITGA2B  SPARC  TGFB3  HAPLN1  LAMC1  COL6A1  COL6A2  COL6A3  VCAN  ACAN  ITGA2  ITGB5  ITGAX  COL9A1  COL5A1  BGN  IBSP  MATN1  LAMA2  TNC  LAMA1  COL5A3  COL4A5  COMP  LUM  COL4A4  LAMB2  TGFB2  HSPG2  COL4A3  FMOD  DMP1  ITGA7  COL4A6  COL9A3  COL9A2  DAG1  LAMA3  BCAN  DSPP  TNN
0.0372552968055836	40	44	1.29834159097165	R-HSA-1566948 Elastic fibre formation	https://reactome.org/PathwayBrowser/#/R-HSA-1566948	 EFEMP2  TGFB1  FN1  VTN  ITGB3  ITGB1  ITGAV  ITGA5  FURIN  TGFB3  BMP2  BMP4  ELN  BMP7  ITGB5  FBLN1  ITGB8  LOX  FBN2  GDF5  MFAP2  MFAP3  MFAP4  LOXL3  TGFB2  FBLN2  LOXL1  EFEMP1  MFAP5  LTBP1  LTBP2  FBN3  LTBP4  LOXL4  EMILIN2  LTBP3  EMILIN3  FBLN5  LOXL2  EMILIN1
0.000656328702152012	72	89	1.29150821417706	R-HSA-1474290 Collagen formation	https://reactome.org/PathwayBrowser/#/R-HSA-1474290	 PLOD2  P4HA2  PLOD3  CTSV  CRTAP  ADAMTS2  COL1A1  COL2A1  COL5A2  P4HB  CTSL  COL1A2  MMP3  MMP7  COL11A1  COL6A1  COL6A2  COL6A3  BMP1  P4HA1  MMP9  ITGB4  COL9A1  COL5A1  COL8A2  CTSS  COL5A3  COL8A1  LOX  COL4A5  COL18A1  MMP13  CD151  SERPINH1  COL4A4  LOXL3  COL4A3  COL7A1  PLOD1  COL10A1  COL14A1  COL16A1  LOXL1  LAMB3  LAMC2  COL4A6  COL9A3  COL9A2  COL19A1  PCOLCE  PLEC  LAMA3  COL24A1  COL28A1  P3H1  COL13A1  P4HA3  COL23A1  P3H2  P3H3  COLGALT2  COL27A1  COLGALT1  ADAMTS14  PXDN  COL26A1  LOXL4  COL12A1  COL25A1  COL20A1  PCOLCE2  LOXL2
0.0272151600880283	53	67	1.267591395396	R-HSA-1650814 Collagen biosynthesis and modifying enzymes	https://reactome.org/PathwayBrowser/#/R-HSA-1650814	 PLOD2  P4HA2  PLOD3  CRTAP  ADAMTS2  COL1A1  COL2A1  COL5A2  P4HB  COL1A2  COL11A1  COL6A1  COL6A2  COL6A3  BMP1  P4HA1  COL9A1  COL5A1  COL8A2  COL5A3  COL8A1  COL4A5  COL18A1  SERPINH1  COL4A4  COL4A3  COL7A1  PLOD1  COL10A1  COL14A1  COL16A1  COL4A6  COL9A3  COL9A2  COL19A1  PCOLCE  COL24A1  COL28A1  P3H1  COL13A1  P4HA3  COL23A1  P3H2  P3H3  COLGALT2  COL27A1  COLGALT1  ADAMTS14  COL26A1  COL12A1  COL25A1  COL20A1  PCOLCE2
3.94498346590147e-10	225	292	1.25197224843695	R-HSA-1474244 Extracellular matrix organization	https://reactome.org/PathwayBrowser/#/R-HSA-1474244	 CAPN8  CAPN14  PLOD2  NCAN  ADAM10  CAPN9  CASK  MUSK  LAMA5  MATN3  P4HA2  CAPN5  ADAM12  PLOD3  CTSV  SDC3  LRP4  ADAMTS4  ITGA10  CRTAP  ADAMTS2  MATN4  EFEMP2  A2M  TIMP1  PDGFB  TGFB1  COL1A1  COL2A1  FN1  TTR  MMP1  VTN  PDGFA  VWF  APP  ITGB3  SERPINE1  ICAM1  ITGB1  COL5A2  ITGAV  P4HB  CTSD  CAPN1  DCN  CTSL  LAMB1  THBS1  COL1A2  MMP2  MMP3  ITGA2B  ITGA5  FGF2  MMP7  MMP10  SPARC  FURIN  SPP1  TGFB3  HAPLN1  LAMC1  ITGAM  COL11A1  COL6A1  COL6A2  COL6A3  BMP2  BMP4  CDH1  BMP1  VCAN  ITGA4  P4HA1  CEACAM1  MMP9  ELN  TIMP2  CD44  ACAN  ITGB4  PECAM1  PRKCA  ITGA2  CAPN2  BMP7  ITGB5  SDC1  VCAM1  ITGAX  COL9A1  COL5A1  BGN  IBSP  MATN1  MMP8  FBLN1  LAMA2  MMP11  TNC  COL8A2  LAMA1  CTSS  COL5A3  ITGA3  ITGB7  ITGB8  COL8A1  LOX  COL4A5  SDC4  ICAM3  SDC2  FBN2  BSG  KDR  COL18A1  MMP12  CASP3  GDF5  CTSK  MMP13  CD151  COMP  MMP14  SERPINH1  MMP15  MMP16  LUM  COL4A4  MFAP2  MFAP3  MFAP4  LAMB2  ITGA1  JAM2  LOXL3  TGFB2  ADAM8  ADAM17  FBLN2  HSPG2  COL4A3  COL7A1  PLOD1  COL10A1  COL14A1  FMOD  COL16A1  LOXL1  EFEMP1  DMP1  MFAP5  ADAM9  ADAM15  ITGA7  LAMB3  LAMC2  COL4A6  COL9A3  COL9A2  NID2  DAG1  LTBP1  LTBP2  ICAM4  COL19A1  PCOLCE  PLEC  LAMA3  DDR2  COL24A1  COL28A1  P3H1  COL13A1  SH3PXD2A  CAPN12  FBN3  P4HA3  COL23A1  P3H2  P3H3  SCUBE1  SCUBE3  COLGALT2  COL27A1  LTBP4  COLGALT1  ADAMTS16  ADAMTS14  NCSTN  PXDN  HTRA1  COL26A1  BCAN  LOXL4  MMP19  COL12A1  JAM3  COL25A1  EMILIN2  ADAM19  NTN4  CAPN10  LTBP3  EMILIN3  DSPP  COL20A1  ADAMTS9  FBLN5  ADAMTS1  ITGA11  PCOLCE2  NRXN1  MMP17  ICAM5  ADAMTS5  ADAMTS8  TNN  LOXL2  MMP24  EMILIN1  LAMC3  CAPN6
0.0272151600880283	63	82	1.24471443830108	R-HSA-216083 Integrin cell surface interactions	https://reactome.org/PathwayBrowser/#/R-HSA-216083	 ITGA10  COL1A1  COL2A1  FN1  VTN  VWF  ITGB3  ICAM1  ITGB1  COL5A2  ITGAV  THBS1  COL1A2  ITGA2B  ITGA5  SPP1  ITGAM  COL6A1  COL6A2  COL6A3  CDH1  ITGA4  CD44  PECAM1  ITGA2  ITGB5  VCAM1  ITGAX  COL9A1  COL5A1  IBSP  TNC  COL8A2  COL5A3  ITGA3  ITGB7  ITGB8  COL8A1  COL4A5  ICAM3  BSG  KDR  COL18A1  COMP  LUM  COL4A4  ITGA1  JAM2  HSPG2  COL4A3  COL7A1  COL10A1  COL16A1  ITGA7  COL4A6  COL9A3  COL9A2  ICAM4  COL13A1  COL23A1  JAM3  ITGA11  ICAM5
0.0147786701300372	99	138	1.20502328912056	R-HSA-1474228 Degradation of the extracellular matrix	https://reactome.org/PathwayBrowser/#/R-HSA-1474228	 CAPN8  CAPN14  ADAM10  CAPN9  LAMA5  CAPN5  CTSV  ADAMTS4  A2M  TIMP1  COL1A1  COL2A1  FN1  MMP1  COL5A2  CTSD  CAPN1  DCN  CTSL  LAMB1  COL1A2  MMP2  MMP3  MMP7  MMP10  FURIN  SPP1  LAMC1  COL11A1  COL6A1  COL6A2  COL6A3  CDH1  BMP1  MMP9  ELN  TIMP2  CD44  ACAN  CAPN2  COL9A1  COL5A1  MMP8  MMP11  COL8A2  CTSS  COL5A3  COL8A1  COL4A5  FBN2  BSG  COL18A1  MMP12  CASP3  CTSK  MMP13  MMP14  MMP15  MMP16  COL4A4  ADAM8  ADAM17  HSPG2  COL4A3  COL7A1  COL10A1  COL14A1  COL16A1  ADAM9  ADAM15  LAMB3  LAMC2  COL4A6  COL9A3  COL9A2  COL19A1  LAMA3  COL13A1  CAPN12  FBN3  COL23A1  SCUBE1  SCUBE3  ADAMTS16  NCSTN  HTRA1  COL26A1  BCAN  MMP19  COL12A1  COL25A1  CAPN10  ADAMTS9  ADAMTS1  MMP17  ADAMTS5  ADAMTS8  MMP24  CAPN6
0.00114069448127714	142	576	1.20237721250853	R-HSA-9709957 Sensory Perception	https://reactome.org/PathwayBrowser/#/R-HSA-9709957	 XIRP2  ESPN  MYO1C  HSD17B6  PPEF1  FSCN2  CASK  OR1F1  AKR1B10  ADCY3  NMT2  SLC24A1  SCN2B  SDC3  RDH16  GPC4  CIB2  LRAT  APOM  APOA1  APOE  RBP4  TTR  OPN1SW  GSN  LPL  SYP  GNAT1  RLBP1  HSD17B1  EZR  PDE6A  GNB3  PRKCA  SYN1  PDE6G  SDC1  ATP2B1  RAB3A  MSN  CNGA1  SDC4  SDC2  GPC1  RDX  RCVRN  MYH9  PDE6B  SCNN1A  GNAL  AKR1C3  FNTB  LHX2  METAP2  SCNN1B  SCNN1G  SCNN1D  GPC3  CAPZA1  KCNQ4  OR2B6  SNAP25  GNB1  KCNJ2  ABCA4  HSPG2  LRP2  MPP1  PLCB2  CACNA1D  PRKCQ  AKR1C1  SCN1B  CACNB2  PJVK  KCNMA1  EPS8  GRM1  MYO7A  SPTAN1  CNGB1  LRP8  ITPR3  GRM4  SCN9A  KCNMB1  STX1A  OTOGL  USH1G  TWF2  PLB1  RGS9BP  ESPNL  CYP4V2  STRC  TAS1R3  TAS1R1  LRP10  LDB1  GPIHBP1  CNGA4  SCN4B  RDH10  GPC2  SLC17A8  TMIE  OR4N2  OR1L8  LHFPL5  RDH11  TRPM4  TMC1  GRK7  MYO3B  RDH5  RDH12  PCDH15  OR7D2  SCN2A  DHRS9  BCO2  CHRNA10  CDH23  DNAJC5  EPB41L1  EPS8L2  REEP1  OTOF  CACNA2D2  TAS2R14  TAS2R5  TAS2R4  CLIC5  CABP1  GNG13  CHRNA9  MYO15A  GUCA1B  BSN  EPB41L3  RIPOR2  LRP12
