Enrichment FDR	nGenes	Pathway Genes	Fold Enrichment	Pathway	URL	Genes
0.000204809743822467	75	105	1.20876926763038	R-HSA-6785807 Interleukin-4 and Interleukin-13 signaling	https://reactome.org/PathwayBrowser/#/R-HSA-6785807	 SOCS3  LAMA5  SOCS1  FOXO3  JAK2  SOCS5  F13A1  TIMP1  MYC  TGFB1  POMC  IL1A  IL1B  FN1  MMP1  IL6  ICAM1  ITGB1  HSP90AA1  COL1A2  MMP2  MMP3  VIM  IL6R  FGF2  HMOX1  BCL2  HSPA8  ITGAM  PIM1  CCL2  HGF  HSP90B1  MMP9  POU2F1  LIF  VEGFA  ALOX15  CD36  JUNB  LBP  VCAM1  TNFRSF1B  ITGAX  MAOA  S1PR1  JAK1  GATA3  CCND1  IL4R  PIK3R1  IL12A  NOS2  PTGS2  OPRM1  RORA  ZEB1  OPRD1  BCL6  STAT1  SOX2  CEBPD  RORC  JAK3  IL13RA1  LCN2  BCL2L1  MCL1  FOXO1  IL13RA2  IRF4  TWIST1  FSCN1  HIF1A  IL23A
0.000371820820229159	70	82	1.20876926763038	R-HSA-216083 Integrin cell surface interactions	https://reactome.org/PathwayBrowser/#/R-HSA-216083	 COL6A6  COL6A5  ITGA10  COL1A1  COL2A1  FN1  VTN  VWF  ITGB3  ICAM1  ITGB1  COL5A2  ITGAV  THBS1  COL1A2  ITGA2B  ITGA5  SPP1  ITGAM  COL6A1  COL6A2  COL6A3  CDH1  ICAM2  ITGA4  CD44  PECAM1  ITGA2  ITGB5  VCAM1  ITGAL  ITGAX  COL9A1  COL5A1  IBSP  TNC  COL8A2  COL5A3  ITGA3  ITGB7  ITGB8  COL8A1  COL4A5  ICAM3  BSG  KDR  ITGAE  COL18A1  COMP  LUM  COL4A4  ITGA8  ITGA1  JAM2  HSPG2  COL4A3  COL7A1  COL10A1  COL16A1  CD47  ITGA7  COL4A6  COL9A3  COL9A2  ICAM4  COL13A1  COL23A1  JAM3  ITGA11  ICAM5
0.00673936590535688	52	60	1.20876926763038	R-HSA-2022090 Assembly of collagen fibrils and other multimeric structures	https://reactome.org/PathwayBrowser/#/R-HSA-2022090	 COL6A6  COL6A5  TLL1  CTSV  COL1A1  COL2A1  COL5A2  CTSL  COL1A2  MMP3  MMP7  COL11A1  COL6A1  COL6A2  COL6A3  BMP1  MMP9  ITGB4  COL9A1  COL5A1  COL8A2  CTSS  COL5A3  COL8A1  LOX  COL4A5  COL18A1  MMP13  CD151  COL4A4  LOXL3  COL4A3  COL7A1  COL10A1  COL14A1  LOXL1  LAMB3  LAMC2  COL4A6  COL9A3  COL9A2  PCOLCE  PLEC  LAMA3  COL24A1  COL27A1  PXDN  LOXL4  COL12A1  COL17A1  LOXL2  TLL2
0.0101384151056557	49	180	1.20876926763038	R-HSA-198933 Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	https://reactome.org/PathwayBrowser/#/R-HSA-198933	 SH2D1B  SH2D1A  CRTAM  C3  CD8A  COL1A1  COL2A1  ICAM1  ITGB1  COL1A2  CDH1  IFITM1  ICAM2  ITGA4  HLA-E  SELL  CD1D  VCAM1  CD22  ITGAL  ITGB7  HLA-F  FCGR2B  ICAM3  SFTPD  CD81  CXADR  KLRD1  ICAM4  CD226  MICB  COLEC12  NCR3LG1  PIANP  RAET1E  CD200R1  CLEC2B  NECTIN2  KLRG1  ULBP3  ULBP1  SIGLEC1  NPDC1  HCST  CLEC2D  PILRB  PILRA  COL17A1  ICAM5
0.00140128786633926	76	89	1.19307096545336	R-HSA-1474290 Collagen formation	https://reactome.org/PathwayBrowser/#/R-HSA-1474290	 COL6A6  COL6A5  PLOD2  P4HA2  TLL1  CTSV  CRTAP  ADAMTS2  COL1A1  COL2A1  COL5A2  P4HB  CTSL  COL1A2  MMP3  MMP7  COL11A1  COL6A1  COL6A2  COL6A3  BMP1  P4HA1  MMP9  ITGB4  COL9A1  COL5A1  COL8A2  CTSS  COL5A3  COL8A1  LOX  COL4A5  COL18A1  MMP13  CD151  SERPINH1  COL4A4  LOXL3  COL4A3  COL7A1  PLOD1  COL10A1  COL14A1  COL16A1  LOXL1  LAMB3  LAMC2  COL4A6  COL9A3  COL9A2  COL19A1  PCOLCE  PLEC  LAMA3  COL24A1  COL28A1  P3H1  COL13A1  P4HA3  COL23A1  P3H2  P3H3  COLGALT2  COL27A1  COLGALT1  ADAMTS14  PXDN  COL26A1  LOXL4  COL12A1  COL25A1  COL20A1  PCOLCE2  COL17A1  LOXL2  TLL2
0.00154592754688184	75	103	1.19286440884577	R-HSA-5173105 O-linked glycosylation	https://reactome.org/PathwayBrowser/#/R-HSA-5173105	 B4GALT5  B4GAT1  ADAMTS4  GCNT3  ADAMTS2  LARGE1  THBS1  ST6GAL1  CFP  THBS2  MUC5AC  MUC3A  GCNT1  GALNT2  GALNT1  ST3GAL3  SEMA5A  DAG1  ST3GAL2  GALNT18  B3GNT9  ADAMTSL4  B3GLCT  THSD4  B3GNT8  GALNT5  GALNT7  GALNT10  ADAMTSL2  GALNT13  SBSPON  GALNT12  GALNT15  LARGE2  GALNT16  GALNT4  ADAMTSL1  POMGNT2  CHST4  GALNT6  ADAMTS17  ADAMTS16  ADAMTS15  ADAMTS18  ADAMTS14  POMGNT1  MUCL1  GALNT14  SPON2  B3GNT5  THSD7B  B3GNT4  MUC13  ST6GALNAC4  POMK  SPON1  C1GALT1  THSD1  GALNT8  B3GNT2  GCNT4  SEMA5B  ADAMTS9  B4GALT6  ADAMTS1  ST6GALNAC2  MUC12  ADAMTS7  ADAMTS6  POMT2  ADAMTS5  ADAMTS8  THSD7A  POFUT2  POMT1
4.97397744258199e-10	193	318	1.19026769720747	R-HSA-373076 Class A/1 Rhodopsin-like receptors	https://reactome.org/PathwayBrowser/#/R-HSA-373076	 CORT  F2RL2  ACKR2  CXCL11  RRH  NPFF  GPR37  CCL25  GNRH2  GALR2  HCRT  HCRTR1  CXCL13  GPR37L1  S1PR2  NTSR2  C3  C5  GNRH1  POMC  PENK  PDYN  LHB  PPY  NPY  CXCL10  OPN1SW  RLN2  EDN1  CCK  GRP  ADRB2  PSAP  CHRM2  CHRM4  ADRB1  HTR1A  CHRM5  ADRA2A  CXCL1  NPS  ECE2  PYY  CHRM1  CCL2  EDN3  DRD2  ADRA2B  ADRA2C  CXCL2  CXCL3  CHRM3  PMCH  TRH  EDN2  TACR2  S1PR1  CNR1  DRD1  C5AR1  TBXA2R  GAL  EDNRB  FPR3  ADRA1D  EDNRA  TACR1  PTAFR  ACKR3  F2R  NPY1R  HTR1D  HTR1B  HTR2A  NMBR  ADORA2A  ADORA2B  TACR3  BDKRB2  GRPR  AGTR1  OXTR  SSTR1  SSTR2  HTR1F  NTSR1  NTS  CCKAR  CCKBR  MC4R  CCR1  GPR183  CXCR5  SSTR3  MC5R  HTR7  PTGER1  ADRA1A  HRH1  ADRA1B  OPRM1  PTGER4  APLNR  DRD3  AVPR1A  OPRD1  OPRK1  P2RY2  HTR2B  ECE1  PTGFR  PTGER3  LPAR6  CCR10  GPR4  BDKRB1  GALR1  RGR  P2RY1  MTNR1A  NPBWR1  NMU  NPY2R  CX3CR1  HTR6  P2RY4  CCR3  GPR143  XK  CXCR4  SST  CX3CL1  CCL20  CCL7  CXCL6  MC1R  CXCL9  GPR17  PNOC  HTR4  GPR18  P2RY6  P2RY14  GPR68  NPY5R  C3AR1  PLPPR5  FFAR4  UTS2B  GPR65  NPB  PLPPR1  PROKR1  GPBAR1  LPAR1  KISS1R  P2RY11  PLPPR2  QRFPR  OXGR1  F2RL3  S1PR3  GPER1  LPAR4  CMKLR1  SUCNR1  HCAR1  NLN  NMUR2  NPFFR1  LPAR5  OPN3  S1PR5  P2RY12  CXCL16  HRH4  NMUR1  LPAR2  RXFP1  GPR35  ACKR4  CCL28  HEBP1  CYSLTR2  C5AR2  LPAR3  TAC3  APLN  GPR132  CYSLTR1  GPR55  HRH3  PTGDR2
0.00784021087818094	64	74	1.19017281735914	R-HSA-3000178 ECM proteoglycans	https://reactome.org/PathwayBrowser/#/R-HSA-3000178	 COL6A6  COL6A5  NCAN  MUSK  LAMA5  MATN3  LRP4  MATN4  TGFB1  COL1A1  COL2A1  FN1  VTN  ITGB3  SERPINE1  ITGB1  COL5A2  ITGAV  DCN  LAMB1  COL1A2  ITGA2B  SPARC  TGFB3  HAPLN1  LAMC1  COL6A1  COL6A2  COL6A3  VCAN  ACAN  ITGA2  ITGB5  ITGAX  COL9A1  COL5A1  BGN  IBSP  MATN1  LAMA2  TNC  LAMA1  COL5A3  COL4A5  COMP  LUM  COL4A4  ITGA8  LAMB2  TGFB2  HSPG2  COL4A3  FMOD  DMP1  ITGA7  COL4A6  COL9A3  COL9A2  DAG1  LAMA3  BCAN  ASPN  DSPP  TNN
8.95388728356554e-13	273	450	1.18277422961682	R-HSA-500792 GPCR ligand binding	https://reactome.org/PathwayBrowser/#/R-HSA-500792	 FZD9  GRM8  CORT  F2RL2  ACKR2  WNT10B  WNT7A  CXCL11  RRH  WNT9A  NPFF  GPR37  CCL25  DHH  GNRH2  GALR2  HCRT  HCRTR1  CXCL13  GNG7  FZD6  GPR37L1  RAMP1  RAMP2  RAMP3  FZD7  GABBR2  S1PR2  NTSR2  GLP2R  WNT11  C3  C5  GNRH1  POMC  PENK  PDYN  LHB  GCG  VIP  PPY  NPY  CXCL10  OPN1SW  RLN2  WNT1  EDN1  CCK  CRH  GRP  ADRB2  PSAP  CHRM2  CHRM4  CD55  ADRB1  HTR1A  CHRM5  ADRA2A  CXCL1  WNT2  NPS  ECE2  PYY  CALCB  CHRM1  PTHLH  CCL2  EDN3  DRD2  GNB3  ADRA2B  ADCYAP1  ADRA2C  CXCL2  CXCL3  CHRM3  PMCH  TRH  EDN2  TACR2  S1PR1  CNR1  DRD1  C5AR1  TBXA2R  GAL  CRHBP  EDNRB  FPR3  ADRA1D  EDNRA  TACR1  PTAFR  ACKR3  F2R  NPY1R  HTR1D  HTR1B  HTR2A  NMBR  ADORA2A  ADORA2B  TACR3  BDKRB2  GRPR  AGTR1  OXTR  SSTR1  SSTR2  HTR1F  NTSR1  NTS  CCKAR  CCKBR  VIPR1  MC4R  CCR1  GPR183  CXCR5  SSTR3  MC5R  HTR7  PTGER1  ADM  ADRA1A  HRH1  ADRA1B  OPRM1  PTGER4  APLNR  DRD3  AVPR1A  OPRD1  OPRK1  WNT5A  P2RY2  ADCYAP1R1  VIPR2  GRM5  HTR2B  ECE1  PTGFR  PTGER3  GLP1R  LPAR6  CCR10  GPR4  BDKRB1  GALR1  RGR  P2RY1  MTNR1A  NPBWR1  GIPR  NMU  ADGRE5  NPY2R  PTH2R  CX3CR1  GNG4  GNG10  HTR6  P2RY4  CCR3  GPR143  XK  UCN  WNT4  WNT7B  GNG2  CXCR4  SST  GNG11  GNAS  GNGT1  GNG5  CX3CL1  CCL20  CCL7  CXCL6  MC1R  GHRHR  PTH1R  CXCL9  GRM1  GPR17  FZD5  PNOC  HTR4  GPR18  FZD2  GRM2  IHH  GRM7  GRM3  GRM4  P2RY6  P2RY14  SHH  GPR68  NPY5R  C3AR1  CALCRL  PLPPR5  FFAR4  UTS2B  TAS1R3  TAS1R1  ADM2  GPR65  NPB  PLPPR1  PROKR1  GPBAR1  LPAR1  WNT2B  KISS1R  P2RY11  PLPPR2  QRFPR  OXGR1  F2RL3  UCN2  S1PR3  GPER1  LPAR4  CMKLR1  SMO  SUCNR1  HCAR1  NLN  NMUR2  NPFFR1  WNT10A  LPAR5  OPN3  S1PR5  P2RY12  CXCL16  HRH4  FZD8  GNB4  NMUR1  LPAR2  RXFP1  GPR35  ACKR4  FZD3  CCL28  HEBP1  CYSLTR2  TAS2R14  TAS2R5  TAS2R4  C5AR2  GNG13  GNG12  WNT16  LPAR3  TAC3  ADGRE2  GNG8  FZD4  FZD10  APLN  GPR132  FZD1  CYSLTR1  GPR55  HRH3  PTGDR2  WNT6
1.22921157401728e-10	240	292	1.1792870903711	R-HSA-1474244 Extracellular matrix organization	https://reactome.org/PathwayBrowser/#/R-HSA-1474244	 CAPN8  COL6A6  CAPN14  COL6A5  PLOD2  NCAN  ADAM10  CAPN9  CASK  MUSK  LAMA5  MATN3  P4HA2  CAPN5  ADAM12  TLL1  CTSV  SDC3  LRP4  ADAMTS4  ITGA10  CRTAP  BMP10  ADAMTS2  MATN4  EFEMP2  A2M  TIMP1  PDGFB  TGFB1  COL1A1  COL2A1  FN1  TTR  MMP1  VTN  PDGFA  VWF  CAPNS1  ITGB3  SERPINE1  ICAM1  ITGB1  COL5A2  ITGAV  P4HB  CTSD  CAPN1  DCN  CTSL  LAMB1  THBS1  COL1A2  MMP2  MMP3  CTSG  ITGA2B  ITGA5  FGF2  MMP7  MMP10  SPARC  FURIN  SPP1  TGFB3  HAPLN1  LAMC1  ITGAM  COL11A1  COL6A1  COL6A2  COL6A3  BMP2  BMP4  CDH1  BMP1  ICAM2  VCAN  ITGA4  P4HA1  CEACAM1  NID1  MMP9  ELN  TIMP2  CD44  ACAN  ITGB4  PECAM1  PRKCA  ITGA2  CAPN2  BMP7  ITGB5  SDC1  VCAM1  ITGAL  ITGAX  COL9A1  COL5A1  BGN  IBSP  MATN1  MMP8  FBLN1  LAMA2  MMP11  TNC  COL8A2  LAMA1  CTSS  COL5A3  ITGA3  ITGB7  ITGB8  COL8A1  LOX  COL4A5  SDC4  ICAM3  SDC2  FBN2  BSG  KDR  ITGAE  COL18A1  MMP12  CASP3  GDF5  CTSK  MMP13  CD151  COMP  PSEN1  MMP14  SERPINH1  MMP15  MMP16  LUM  COL4A4  ITGA8  MFAP2  MFAP4  LAMB2  ITGA1  JAM2  LOXL3  TGFB2  ADAM8  FBLN2  HSPG2  COL4A3  COL7A1  PLOD1  COL10A1  COL14A1  FMOD  COL16A1  LOXL1  CD47  EFEMP1  DMP1  MFAP5  ADAM9  ADAM15  ITGA7  LAMB3  LAMC2  COL4A6  COL9A3  COL9A2  NID2  DAG1  LTBP1  LTBP2  ICAM4  COL19A1  PCOLCE  PLEC  LAMA3  DDR2  COL24A1  COL28A1  P3H1  COL13A1  SH3PXD2A  CAPN13  CAPN12  FBN3  P4HA3  COL23A1  P3H2  P3H3  SCUBE1  SCUBE3  COLGALT2  COL27A1  LTBP4  COLGALT1  ADAMTS16  ADAMTS18  ADAMTS14  PXDN  HTRA1  COL26A1  BCAN  LOXL4  MMP19  COL12A1  SPOCK3  JAM3  ASPN  COL25A1  EMILIN2  ADAM19  NTN4  CAPN10  LTBP3  EMILIN3  DSPP  COL20A1  ADAMTS9  FBLN5  ADAMTS1  ITGA11  PCOLCE2  NRXN1  MMP17  COL17A1  ICAM5  CAPN11  ADAMTS5  ADAMTS8  TNN  LOXL2  MMP24  EMILIN1  TLL2  LAMC3  CAPN6
